method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.2948409592509461	0.005865951564809459	6.730821105127688
pca-plink-pure	1	1	0.2604611968983169	0.005622524091805622	5.210505591344419
pca-plink-pure	2	1	0.24235148332003978	0.006689768779348498	4.541207135648777
pca-plink-pure	3	1	0.10902835068216675	0.13428068861334064	1.883741216232898
pca-plink-pure	4	1	0.06951319552487012	0.16054013640189804	1.4980958223613503
pca-plink-pure	5	1	0.039310839838665824	0.17521968504046123	1.2598374694876906
pca-plink-pure	6	1	0.037872082997687385	0.17607471684995937	1.2457689833065935
pca-plink-pure	7	1	0.022429021772902995	0.18112969237695023	1.13859275998235
pca-plink-pure	8	1	0.022287639712188643	0.1816384790040998	1.1366647510998358
pca-plink-pure	9	1	0.01630002244971395	0.18609748739882306	1.1016739909868636
pca-plink-pure	10	1	0.016490063326467203	0.1862347631698017	1.1021576868494316
pca-plink-pure	11	1	0.015328981869809749	0.18745502537390493	1.0934680191300763
pca-plink-pure	12	1	0.01500416059355983	0.1872871290249704	1.0917372597284687
pca-plink-pure	13	1	0.015119933995068677	0.18769676626042517	1.0924666678007169
pca-plink-pure	14	1	0.013735731029099663	0.1874748795058469	1.0822064543003125
pca-plink-pure	15	1	0.012434960508006245	0.1885158150932432	1.0749872612321036
pca-plink-pure	16	1	0.011230156579511211	0.18995399939521354	1.066964555020335
pca-plink-pure	17	1	0.010475214420908366	0.1901669992257021	1.0622625597416444
pca-plink-pure	18	1	0.009560621560350866	0.19014418756747933	1.0592394590714804
pca-plink-pure	19	1	0.00869360689673117	0.19087623388911523	1.0505058296795564
pca-plink-pure	20	1	0.008220436795954281	0.1905321952353219	1.046851215613679
pca-plink-pure	21	1	0.008268241998622222	0.1905064391599417	1.0477971793008902
pca-plink-pure	22	1	0.008335679272035592	0.1906265967079186	1.048449102870681
pca-plink-pure	23	1	0.008158978048005448	0.1906146982046476	1.050092311768338
pca-plink-pure	24	1	0.008149523880652773	0.19066918387041795	1.049509721726787
pca-plink-pure	25	1	0.008267139483553529	0.19075922291551164	1.0510888282182964
pca-plink-pure	26	1	0.0076683523481794495	0.19125201276139833	1.0459806179949558
pca-plink-pure	27	1	0.007533717091543624	0.18974652050139254	1.0422799229700506
pca-plink-pure	28	1	0.007587711939626812	0.18993055328415945	1.0435693727964555
pca-plink-pure	29	1	0.0073348936245569585	0.18882190366302826	1.0433070573759755
pca-plink-pure	30	1	0.007143995100542317	0.18933011827110943	1.042371300485385
pca-plink-pure	31	1	0.0071925877369334095	0.18931982539222678	1.0427224374488777
pca-plink-pure	32	1	0.007136761577960463	0.18813046568945632	1.0424843282122145
pca-plink-pure	33	1	0.0061400185232386925	0.19033523726240556	1.0366667474703322
pca-plink-pure	34	1	0.0060177952223287616	0.18930111837457078	1.0355846006317635
pca-plink-pure	35	1	0.006071234625460186	0.18939473468410786	1.0352854810965768
pca-plink-pure	36	1	0.006111413997836233	0.18938608264976067	1.0349433662833434
pca-plink-pure	37	1	0.006065433066037115	0.18938395360350246	1.0349505426632213
pca-plink-pure	38	1	0.006114074711673924	0.18926607755988692	1.0349361899400622
pca-plink-pure	39	1	0.005944382858591945	0.18998654500822174	1.0373399173155142
pca-plink-pure	40	1	0.006011788656686417	0.18913493939341297	1.0381188956970993
pca-plink-pure	41	1	0.006039374748555562	0.1894145144711075	1.0387999554374236
pca-plink-pure	42	1	0.00611904313527578	0.18881515782144995	1.0383634638175954
pca-plink-pure	43	1	0.006117155513596844	0.18860524545948953	1.0382339812943215
pca-plink-pure	44	1	0.00613587710211356	0.1885697710106749	1.0376202999519515
pca-plink-pure	45	1	0.006105691156222825	0.18889234875322491	1.038272345247129
pca-plink-pure	46	1	0.006404959785928552	0.18876783052990403	1.0399469889189392
pca-plink-pure	47	1	0.006058429141806624	0.18996316384974352	1.0367577623130793
pca-plink-pure	48	1	0.005908395213309242	0.19063245106259208	1.0365422103706554
