pop	superpop	fam	x	y	country	comment
#
# SAfrica
#
Ju_hoan_South	SAfrica	Kxa	20.7	-21.2	Botswana	Laz14 NP
Ju_hoan_North	SAfrica	Kxa	21.5	-18.9	Namibia	Laz14 (P+NP); HGDP San
Taa_West	SAfrica	Tuu	20.3	-23.6	Botswana	Laz14 NP
Taa_East	SAfrica	Tuu	22.8	-24.2	Botswana	Laz14 NP
Taa_North	SAfrica	Tuu	22.4	-23.0	Botswana	Laz14 NP
Naro	SAfrica	Khoe	21.6	-22.0	Botswana	Laz14 NP
Gui	SAfrica	Khoe	23.3	-21.5	Botswana	Laz14 NP
Hoan	SAfrica	Kxa	23.4	-24.0	Botswana	Laz14 NP
Xuun	SAfrica	Kxa	19.7	-18.7	Namibia	Laz14 NP
Gana	SAfrica	Khoe	23.4	-21.7	Botswana	Laz14 NP
Tshwa	SAfrica	Khoe	25.9	-21.0	Botswana	Laz14 NP
Khomani	SAfrica	Khoe	21.1	-27.8	SAfrica	Laz14; Kgalagadi transfrontier park
Nama	SAfrica	Khoe	17.3	-24.3	Namibia	Laz14 NP
Haiom	SAfrica	Khoe	17.0	-19.3	Namibia	Laz14 NP
Kgalagadi	SAfrica	Bantu	21.8	-24.8	Botswana	Laz14 NP
Shua	SAfrica	Khoe	25.3	-20.6	Botswana	Laz14 NP
Khwe	SAfrica	Khoe	21.9	-18.4	Botswana	Laz14 NP
#
# MAfrica
#
Mbuti	MAfrica	Pygmy	29.0	1.0	Congo	Laz14; HGDP MbutiPygmy
Biaka	MAfrica	Pygmy	17.0	4.0	CntrAfrRep	Laz14; HGDP BiakaPygmy
BantuSA	MAfrica	Bantu	24.0	-26.0	Angola,Botswana,Namibia,Lesotho,SAfrica	Laz14; HGDP BantuSouthAfrica
Tswana	MAfrica	Bantu	25.4	-24.1	Botswana	Laz14 NP
Damara	MAfrica	Khoe	16.2	-19.8	Namibia	Laz14 NP
Himba	MAfrica	Bantu	14.1	-19.1	Namibia	Laz14 NP
Wambo	MAfrica	Bantu	18.1	-17.7	Namibia	Laz14 NP
Yoruba	MAfrica	NigerCongo	3.9	7.4	Nigeria	Laz14; HGDP
Esan	MAfrica	NigerCongo	6.0	6.5	Nigeria	Laz14; NE of Benin City
Mende	MAfrica	NigerCongo	-13.2	8.5	SierraLeone	Laz14; Freetown
BantuKenya	MAfrica	Bantu	37.0	-3.0	Kenya	Laz14; HGDP
Luhya	MAfrica	Bantu	36.8	1.3	Kenya	Laz14; Western Province, Kenya
Mandenka	MAfrica	NigerCongo	-12	12	Senegal	Laz14; HGDP 
Gambian	MAfrica	NigerCongo	-16.7	13.4	Gambia	Laz14 (x sign wrong)
Luo	MAfrica	NiloSaharan	34.3	-0.1	Kenya	Laz14
Dinka	MAfrica	NiloSaharan	27.4	8.8	Sudan	Laz14 NP
AA	MAfrica	NigerCongo	-105.0	39.7	USA	Laz14; Denver; African-Americans?
Kikuyu	MAfrica	Bantu	36.9	-0.4	Kenya	Laz14; Mount Kenya
Hadza	MAfrica	Hadza	35.2	-3.7	Tanzania	Laz14 (P+NP); Lake Eyasi
Sandawe	MAfrica	Sandawe	35.5	-5.5	Tanzania	Laz14 NP
Masai	MAfrica	NiloSaharan	35.55	-1.3	Kenya	Laz14; Lake Victoria
Datog	MAfrica	NiloSaharan	35.7	-3.3	Tanzania	Laz14; Manyara Region
Somali	MAfrica	Afroasiatic	48.3	5.6	Kenya	Laz14
Oromo	MAfrica	Afroasiatic	36.5	9.0	Ethiopia	Laz14 NP
Jew_Ethiopian	MAfrica	Afroasiatic	38.7	9.0	Ethiopia	Laz14; Addis Ababa
#
# NAfrica
#
Saharawi	NAfrica	Afroasiatic	-8.9	27.3	WSahara	Laz14
Moroccan	NAfrica	Afroasiatic	-6.4	32.3	Morocco	Laz14+Laz16
Mozabite	NAfrica	Afroasiatic	3.0	32.0	Algeria	Laz14; HGDP
Algerian	NAfrica	Afroasiatic	3.0	36.8	Algeria	Laz14
Tunisian	NAfrica	Afroasiatic	10.2	36.8	Tunisia	Laz14
Libyan	NAfrica	Afroasiatic	13.190	32.880	Libya	Laz16
Egyptian	NAfrica	Afroasiatic	31.2	30.6	Egypt	Laz14
Yemeni	NAfrica	Afroasiatic	44.6	14.0	Yemen	Laz14
Jew_Libyan	NAfrica	Afroasiatic	13.18	32.92	Libya	Laz14
Jew_Tunisian	NAfrica	Afroasiatic	10.18	36.8	Tunisia	Laz14
Jew_Moroccan	NAfrica	Afroasiatic	-6.84	34.02	Morocco	Laz14
Jew_Yemenite	NAfrica	Afroasiatic	44.2	15.35	Yemen	Laz14
#
# MiddleEast
#
Saudi	MiddleEast	Afroasiatic	42.52	18.49	SaudiArabia	Laz14
BedouinB	MiddleEast	Afroasiatic	35.0	31.0	Israel	Laz14; HGDP Bedouin
BedouinA	MiddleEast	Afroasiatic	35.0	31.0	Israel	Laz14; HGDP Bedouin
Palestinian	MiddleEast	Afroasiatic	35.0	32.0	Israel	Laz14; HGDP
Jordanian	MiddleEast	Afroasiatic	35.91	32.05	Jordan	Laz14
Syrian	MiddleEast	Afroasiatic	36.87	35.13	Syria	Laz14
Lebanese_Muslim	MiddleEast	Afroasiatic	35.500	33.890	Lebanon	Laz16
Lebanese_Christian	MiddleEast	Afroasiatic	35.500	33.890	Lebanon	Laz16
Jew_Turkish	MiddleEast	Afroasiatic	28.95	41.02	Turkey	Laz14
Assyrian	MiddleEast	Afroasiatic	44.21	37.27	Iraq,Turkey	Laz16; N Iraq?
Druze	MiddleEast	Afroasiatic	35.0	32.0	Israel	Laz14; HGDP
Lebanese	MiddleEast	Afroasiatic	35.57	33.82	Lebanon	Laz14
Jew_iraqi	MiddleEast	Afroasiatic	44.42	33.33	Iraq	Laz14
Iranian_Bandari	MiddleEast	Iranian	56.267	27.183	Iran	Laz16; South Iran, Afro-Iranians?
Iranian	MiddleEast	Iranian	51.46	35.59	Iran	Laz14+Laz16
Jew_Iranian	MiddleEast	Iranian	51.42	35.7	Iran	Laz14
Turkish	MiddleEast	Turkic	32.66	39.22	Turkey	Laz14
#
# Europe
#
Jew_Ashkenazi	Europe	Germanic	21.02	52.23	Poland	Laz14
Cypriot	Europe	Greek	33.43	35.13	Cyprus	Laz14
Maltese	Europe	Afroasiatic	14.38	35.94	Malta	Laz14
Canary_Islander	Europe	Romance	-15.4	28.1	Spain	Laz14
Italian_South	Europe	Romance	15.5	39.4	Italy	Laz14+Laz16
Sicilian	Europe	Romance	13.77	37.59	Italy	Laz14
Romanian	Europe	Romance	22.950	45.776	Romania	Laz16
Spanish	Europe	Romance	-2.83	40.43	Spain	Laz14
Greek	Europe	Greek	23.17	39.84	Greece	Laz14
Italian_North	Europe	Romance	11.0	43.0	Italy	Laz14 (diff coords); HGDP Italian and Tuscan
French	Europe	Romance	2.0	46.0	France	Laz14+Laz16; HGDP
Sardinian	Europe	Romance	9.0	40.0	Italy	Laz14; HGDP
Spanish_North	Europe	Romance	-2.7	42.8	Spain	Laz14
Basque	Europe	Basque	-0.65	43.04	France	Laz14; HGDP
Orcadian	Europe	Celtic	-3.0	59.0	UK	Laz14; HGDP
English	Europe	Germanic	-2.09	50.75	UK	Laz14
Icelandic	Europe	Germanic	-21.93	64.13	Iceland	Laz14
Norwegian	Europe	Germanic	5.36	60.36	Norway	Laz14
Irish	Europe	Celtic	-8.265	52.753	Ireland	Laz16 NP
Irish_Ulster	Europe	Celtic	-6.95	54.71	Ireland	Laz16 NP
Scottish	Europe	Celtic	-3.94	56.04	UK	Laz14+Laz16 (P+NP)
Shetlandic	Europe	Germanic/Celtic	-1.15	60.15	UK	Laz16 NP
German	Europe	Germanic	12.373	51.34	Germany	Laz16 NP
Sorb	Europe	Slavic	14.102	51.275	Germany	Laz16 NP
Polish	Europe	Slavic	19.743	51.745	Poland	Laz16 NP
Czech	Europe	Slavic	14.4	50.1	Czechoslovia(pre1989)	Laz14
Croatian	Europe	Slavic	16.45	43.51	Croatia	Laz14
Hungarian	Europe	FinnoUgric	19.08	47.49	Hungary	Laz14
Albanian	Europe	Albanian	19.83	41.33	Albania	Laz14
Bulgarian	Europe	Slavic	24.74	42.16	Bulgaria	Laz14
Mordovian	Europe	FinnoUgric	45.18	54.18	Russia	Laz14
Saami_WGA	Europe	FinnoUgric	23.6	68.4	Finland	Laz14; Norway
Finnish	Europe	FinnoUgric	24.9	60.2	Finland	Laz14
Russian	Europe	Slavic	40.0	61.0	Russia	Laz14; HGDP
Estonian	Europe	FinnoUgric	24.89	58.54	Estonia	Laz14
Ukrainian	Europe	Slavic	31.56	50.29	Ukraine	Laz14
Belarusian	Europe	Slavic	28.01	53.92	Belarus	Laz14
Lithuanian	Europe	Baltic	23.92	54.9	Lithuania	Laz14
#
# Caucasus
#
Armenian	Caucasus	Armenian	44.55	40.19	Armenia	Laz14
Jew_Georgian	Caucasus	Afroasiatic	44.78	41.72	Georgia	Laz14
Georgian	Caucasus	Kartvelian	41.85	42.5	Georgia	Laz14
Abkhasian	Caucasus	NWCaucasian	41.0	43.0	Georgia	Laz14
Adygei	Caucasus	NWCaucasian	39.0	44.0	Russia	Laz14; HGDP
North_Ossetian	Caucasus	Iranian	44.65	43.02	Russia	Laz14
Chechen	Caucasus	NECaucasian	45.65	43.33	Russia	Laz14
Lezgin	Caucasus	NECaucasian	48.18	42.12	Russia	Laz14; Dagestan, Russia and Azerbaijan
Kumyk	Caucasus	Turkic	46.58	43.25	Russia	Laz14; Dagestan
Balkar	Caucasus	Turkic	43.62	43.48	Russia	Laz14
Nogai	Caucasus	Turkic	41.9	44.4	Russia	Laz14; Dagestan
#
# SAsia
#
Makrani	SAsia	Iranian	64.0	26.0	Pakistan	Laz14; HGDP
Brahui	SAsia	Dravidian	66.5	30.5	Pakistan	Laz14; HGDP
Balochi	SAsia	Iranian	66.5	30.5	Pakistan	Laz14; HGDP
