method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.01423830416100668	0.0394613601660526	1.087547128678076	0.01402248660507108	1.8457579209382776e-4	5.273594059823651e-6	0	0.3775510204081632	0.05102040816326531	0.01020408163265306	0
gcta	0	1	-0.00368519363176194	0.07393792349501485	0.9838593772374766	0.00999346074336582	7.910391089735477e-5	0	0	0.3673469387755102	0.06122448979591836	0.03061224489795918	0.03061224489795918
pca-plink-pure	20	2	0.00923556925799177	0.0444605561645792	1.0543226349274468	0.01222946462473104	1.3711344555541492e-4	5.273594059823651e-6	0	0.3469387755102041	0.04081632653061224	0.01020408163265306	0
gcta	0	2	-0.00718872632660777	0.06605679578545354	0.9537188676197034	0.00980361135721216	1.3183985149559126e-4	5.273594059823651e-6	0	0.40816326530612246	0.05102040816326531	0.03061224489795918	0.03061224489795918
pca-plink-pure	20	3	0.01560792681153494	0.04580362646660973	1.0923048222510117	0.01363224064464413	1.7930219803400412e-4	5.273594059823651e-6	0	0.3469387755102041	0.05102040816326531	0.02040816326530612	0.02040816326530612
gcta	0	3	-0.00361546776607446	0.03876224024941465	0.9779038013940388	0.00922351601063156	1.1074547525629668e-4	5.273594059823651e-6	0	0.3163265306122449	0.05102040816326531	0.01020408163265306	0.01020408163265306
pca-plink-pure	20	4	0.01556585897473369	0.0671428715088979	1.0953355539729372	0.01361114626840484	1.4766063367506222e-4	0	0	0.3775510204081632	0.07142857142857142	0.02040816326530612	0.01020408163265306
gcta	0	4	-0.00529818250220121	0.11161662422486748	0.9724794463708748	0.00946082774332363	1.0547188119647302e-4	0	0	0.41836734693877553	0.1020408163265306	0.04081632653061224	0.04081632653061224
pca-plink-pure	20	5	0.01603047255919671	0.04240802026819112	1.093066897962528	0.01458676116947222	2.689532970510062e-4	1.0547188119647302e-5	0	0.3877551020408163	0.03061224489795918	0.01020408163265306	0.01020408163265306
gcta	0	5	-0.00347430375054509	0.0556151830372179	0.9808104625672336	0.0098141585453318091	1.0019828713664936e-4	5.273594059823651e-6	0	0.3775510204081632	0.07142857142857142	0.01020408163265306	0.01020408163265306
pca-plink-pure	20	6	0.01595708438281453	0.02821916932625975	1.0979601147635647	0.01435472303083997	2.1094376239294603e-4	0	0	0.2857142857142857	0.03061224489795918	0.01020408163265306	0.01020408163265306
gcta	0	6	-0.00400017982410824	0.03897786457621115	0.9800493029670794	0.00978251698097287	1.3183985149559126e-4	0	0	0.336734693877551	0.03061224489795918	0.02040816326530612	0.02040816326530612
pca-plink-pure	20	7	0.01298511242805379	0.02590345514822996	1.0783223091584837	0.01332109859511454	2.1094376239294603e-4	1.0547188119647302e-5	0	0.336734693877551	0.03061224489795918	0	0
gcta	0	7	-0.00631736006012303	0.02406764719780007	0.966819555892055	0.00950829008986204	1.3711344555541492e-4	1.0547188119647302e-5	0	0.35714285714285715	0.04081632653061224	0	0
pca-plink-pure	20	8	0.01284713512416461	0.06186884111739726	1.0720723304366782	0.01313124920896089	1.3711344555541492e-4	5.273594059823651e-6	0	0.2857142857142857	0.08163265306122448	0.02040816326530612	0.01020408163265306
gcta	0	8	-0.00617377041346691	0.0443499123452464	0.963052688027149	0.00921824241657174	8.437750495717842e-5	0	0	0.29591836734693877	0.06122448979591836	0.01020408163265306	0.01020408163265306
pca-plink-pure	20	9	0.01593107201717882	0.05256115974562336	1.0939116229785888	0.0132683626545163	2.373117326920643e-4	0	0	0.3775510204081632	0.07142857142857142	0.01020408163265306	0.01020408163265306
gcta	0	9	-0.00743544971436084	0.06943365997392385	0.9550901859008796	0.00904948740665738	6.855672277770746e-5	0	0	0.3775510204081632	0.1020408163265306	0	0
