method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.00341624434001287	0.1157147652195476	1.0207795972452816	0.01105345314939037	8.965109901700206e-5	0	0	0.5204081632653061	0.08163265306122448	0.04081632653061224	0.04081632653061224
gcta	0	1	-0.00100223355592209	0.1297491627316648	0.9939016966778146	0.00990380964434881	7.383031683753111e-5	0	0	0.5306122448979592	0.12244897959183672	0.05102040816326531	0.04081632653061224
pca-plink-pure	20	2	0.00865000882136922	0.09301068438152532	1.052347565022674	0.01244568198118381	2.3203813863224065e-4	5.273594059823651e-6	0	0.41836734693877553	0.07142857142857142	0.05102040816326531	0.03061224489795918
gcta	0	2	-8.823056477817648e-4	0.10424137612084976	0.9989553141540974	0.01022022528793823	1.3183985149559126e-4	5.273594059823651e-6	0	0.45918367346938777	0.1020408163265306	0.03061224489795918	0.03061224489795918
pca-plink-pure	20	3	0.00495258827098643	0.0693398339033762	1.0272094381765715	0.01086360376323672	1.0019828713664936e-4	0	0	0.4489795918367347	0.09183673469387756	0.01020408163265306	0.01020408163265306
gcta	0	3	-9.762222186184752e-4	0.0924559707871428	0.999843712988572	0.00986162089187022	7.910391089735477e-5	0	0	0.4387755102040816	0.1020408163265306	0.03061224489795918	0.03061224489795918
pca-plink-pure	20	4	0.0080739867931286	0.0244521597768876	1.047671658032577	0.01182339788212462	1.2129266337594396e-4	0	0	0.3979591836734694	0.02040816326530612	0	0
gcta	0	4	-4.718642948686336e-4	0.03319970879924369	1.000975445704126	0.0097666961987934	5.800953465806016e-5	0	0	0.40816326530612246	0.04081632653061224	0	0
pca-plink-pure	20	5	0.01080463938302014	0.05313651430152458	1.0649157659757762	0.01259334261485887	2.1094376239294603e-4	0	0	0.4489795918367347	0.06122448979591836	0.01020408163265306	0.01020408163265306
gcta	0	5	6.81506292284045e-4	0.06023111191228793	1.0060364403239073	0.00968759228789604	8.437750495717842e-5	0	0	0.45918367346938777	0.05102040816326531	0.01020408163265306	0.01020408163265306
pca-plink-pure	20	6	0.00749704041873567	0.04606088142051499	1.0466485911577903	0.01199215289203898	1.7930219803400412e-4	2.1094376239294604e-5	0	0.41836734693877553	0.06122448979591836	0	0
gcta	0	6	-9.164884850129956e-4	0.07237859236158949	0.9966216349188912	0.00974032822849428	9.492469307682572e-5	1.0547188119647302e-5	0	0.42857142857142855	0.08163265306122448	0.02040816326530612	0.01020408163265306
pca-plink-pure	20	7	0.00535114553436874	0.11466709944807604	1.0301124166289293	0.01101126439691178	1.1601906931612032e-4	5.273594059823651e-6	0	0.5102040816326531	0.11224489795918367	0.01020408163265306	0
gcta	0	7	-6.486247823156906e-4	0.14189246550966028	0.999309672120714	0.00961903556511833	6.855672277770746e-5	5.273594059823651e-6	0	0.5102040816326531	0.14285714285714285	0.02040816326530612	0.02040816326530612
pca-plink-pure	20	8	0.00777014371398347	0.06729101799722965	1.0417365891899293	0.01238239885246593	2.162173564527697e-4	5.273594059823651e-6	0	0.4387755102040816	0.07142857142857142	0	0
gcta	0	8	-7.485121675741851e-4	0.08330865054020505	1.0008027087339946	0.0098352529215711	1.3711344555541492e-4	5.273594059823651e-6	0	0.47959183673469385	0.07142857142857142	0.01020408163265306	0.01020408163265306
pca-plink-pure	20	9	0.00724412143673203	0.06858112259516967	1.040926784500969	0.01209762477323545	1.4766063367506222e-4	0	0	0.40816326530612246	0.08163265306122448	0	0
gcta	0	9	-0.00135621588496925	0.09052770885659768	0.9919986307110092	0.00975614901067375	1.0547188119647302e-4	0	0	0.45918367346938777	0.06122448979591836	0.03061224489795918	0.03061224489795918
pca-plink-pure	20	10	0.00538134092379475	0.07632555292112189	1.0276091633630369	0.01130131207020208	1.0547188119647302e-4	0	0	0.47959183673469385	0.07142857142857142	0	0
gcta	0	10	-0.00155026978269446	0.1242333557767862	0.9929219832969512	0.00984580010969075	7.910391089735477e-5	0	0	0.5102040816326531	0.11224489795918367	0.04081632653061224	0.03061224489795918
pca-plink-pure	20	11	0.00293244560523913	0.07424794809179519	1.0157872273391615	0.01108509471374931	6.855672277770746e-5	0	0	0.4387755102040816	0.1020408163265306	0	0
gcta	0	11	-0.00126490373911967	0.08093585891154913	0.9979370439841558	0.01005147027802387	7.910391089735477e-5	0	0	0.42857142857142855	0.09183673469387756	0.01020408163265306	0.01020408163265306
pca-plink-pure	20	12	0.00654419744962691	0.05377396897692729	1.036935018617552	0.01173374678310762	1.6875500991435683e-4	0	0	0.42857142857142855	0.07142857142857142	0	0
gcta	0	12	-0.00113276287004922	0.06827041840839614	0.9975108530463548	0.0097666961987934	1.1601906931612032e-4	0	0	0.42857142857142855	0.05102040816326531	0.01020408163265306	0.01020408163265306
