method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.01843623876836925	0.12467553168668366	1.112422888136354	0.01666860201205544	3.694750287662701e-4	1.0556429393322004e-5	0	0.4924242424242424	0.05303030303030303	0.00378787878787878	0.00378787878787878
gcta	0	1	-0.00236745488854275	0.24418696416961713	0.988269816030898	0.00967496753897961	6.861679105659301e-5	0	0	0.5871212121212122	0.125	0.04166666666666666	0.03787878787878788
pca-plink-pure	20	2	0.02152781380627595	0.0971759376581813	1.1272886908396818	0.01839985643256025	7.336718428358792e-4	4.222571757328801e-5	5.278214696661001e-6	0.4886363636363637	0.03409090909090909	0.00378787878787878	0
gcta	0	2	-0.00211977887527997	0.23710819364379343	0.993530158808092	0.00942689144823654	7.389500575325402e-5	0	0	0.571969696969697	0.13257575757575757	0.03409090909090909	0.03409090909090909
pca-plink-pure	20	3	0.02256618171852169	0.11716098878410355	1.1376271620006917	0.01927604007220598	7.231154134425572e-4	1.5834644089983003e-5	0	0.5113636363636364	0.05303030303030303	0.02272727272727272	0.02272727272727272
gcta	0	3	-0.00107613123579617	0.2631654085637717	0.9984612306597898	0.00968552396837293	8.445143514657602e-5	0	0	0.5795454545454546	0.1477272727272727	0.03787878787878788	0.03409090909090909
pca-plink-pure	20	4	0.02565843885200198	0.0967086113431497	1.1525525548154727	0.02125009236875719	0.00103980829524221	6.861679105659301e-5	5.278214696661001e-6	0.4431818181818182	0.05303030303030303	0	0
gcta	0	4	-0.00207265622656331	0.22492776206202905	0.9935185498747096	0.00959051610383304	1.2667715271986402e-4	0	0	0.553030303030303	0.12878787878787878	0.03409090909090909	0.0303030303030303
pca-plink-pure	20	5	0.02390335486661806	0.1103820750291132	1.1437419604935626	0.01968246260384887	7.970104191958112e-4	3.1669288179966006e-5	0	0.42424242424242425	0.05681818181818181	0.01515151515151515	0.01136363636363636
gcta	0	5	-6.365969377013874e-4	0.22936216549483177	1.001187895234702	0.0097435843300362	9.500786453989804e-5	0	0	0.5303030303030303	0.125	0.0303030303030303	0.0303030303030303
pca-plink-pure	20	6	0.02190922258332663	0.10504996307211412	1.1270949369959131	0.01875349681723653	6.492204076893032e-4	3.694750287662701e-5	1.0556429393322004e-5	0.4393939393939394	0.04924242424242424	0	0
