method	pc	rep	rmsd	auc	lambda
pca-plink-pure	20	1	0.00761842968717333	0.11941339134658294	1.0460722346782232
gcta	0	1	-9.712387640934536e-4	0.14123831289431313	0.9982678407222724
pca-plink-pure	20	2	0.00579869751614318	0.13328408615360682	1.0304485881974053
gcta	0	2	-0.00198018929568414	0.17482019456020506	0.983273933773933
pca-plink-pure	20	3	0.01217486540841066	0.1537666241442556	1.0748716333008534
gcta	0	3	8.848348182990467e-4	0.21667643027192177	1.0012836249758372
pca-plink-pure	20	4	0.01036266363642984	0.16651975247048317	1.0599672451126116
gcta	0	4	-9.074341910008914e-4	0.18013330811461897	0.9946032493111148
pca-plink-pure	20	5	0.00689773344663533	0.1437036034824654	1.040840304605379
gcta	0	5	5.840346527029316e-4	0.19614852240849795	1.0024118696158268
pca-plink-pure	20	6	0.00916595298069134	0.15958834091493454	1.0562761616722824
gcta	0	6	-0.00123499008868237	0.19053412390174543	0.993950468511076
pca-plink-pure	20	7	0.00758989035250375	0.1855437002762389	1.0473965156386855
gcta	0	7	-9.0246595717823e-4	0.1945179763599318	0.997471268256185
pca-plink-pure	20	8	0.00901834877772578	0.14479450336031474	1.0488234905978702
gcta	0	8	-0.0017380948419593	0.18161955571695532	0.9889777387977988
pca-plink-pure	20	9	0.01069599381471701	0.15737077207780392	1.059492560029571
gcta	0	9	-0.00145889934174395	0.19379100221584564	0.987324179148252
pca-plink-pure	20	10	0.01259900636236181	0.18429825298194777	1.07735844362801
gcta	0	10	-5.24962143215226e-4	0.22440578396133357	0.9997760718817482
pca-plink-pure	20	11	0.011114512971669	0.2138751891453343	1.066766394040478
gcta	0	11	6.541831919303732e-4	0.23685014121544257	1.0027460822609324
pca-plink-pure	20	12	0.01304969898472636	0.12682433135471388	1.0751471874605898
gcta	0	12	-0.00210891401564947	0.17267530985245094	0.9904688164872556
pca-plink-pure	20	13	0.01508105248010435	0.1524746796854567	1.0926957721830342
gcta	0	13	5.765017193811916e-4	0.2744734265010047	1.0025427404296658
pca-plink-pure	20	14	0.01057041498799029	0.18436271596795636	1.059533936562449
gcta	0	14	-9.331689989849998e-4	0.24273437564542633	0.9968636686218236
pca-plink-pure	20	15	0.00425369726722735	0.23156551420617572	1.0267860442981536
gcta	0	15	-0.00186345959068357	0.24475928615334824	0.9908209855405082
pca-plink-pure	20	16	0.00982387752221795	0.10227993678588752	1.05244201518557
gcta	0	16	-0.00141749333546774	0.13850478953304557	0.993024100755592
pca-plink-pure	20	17	0.00638401476212484	0.11991024369880277	1.0389198943689355
gcta	0	17	-5.566203403688142e-4	0.155545277629965	0.9973292381143768
pca-plink-pure	20	18	0.00699787308870443	0.1679318262200274	1.0384689768853164
gcta	0	18	-5.80561742226593e-4	0.21540066992287735	0.999659457100892
pca-plink-pure	20	19	0.01270161525892213	0.144372405685135	1.0770849313128388
gcta	0	19	3.693634054947674e-4	0.18668352930760712	1.0025731229332355
pca-plink-pure	20	20	0.00828130061444537	0.14313604524576579	1.0471672710632989
gcta	0	20	-9.512736789331756e-4	0.1635605151156822	0.9956539270984852
pca-plink-pure	20	21	0.01365290012160621	0.10752026529259298	1.0799853149465073
gcta	0	21	-8.905892414566658e-4	0.15698497272688702	0.996286581833102
pca-plink-pure	20	22	0.00826373897834431	0.19791826213008515	1.0492825521800762
gcta	0	22	6.06239517829709e-4	0.21391367619643972	1.001645590291761
pca-plink-pure	20	23	0.01085701126805753	0.16512592043161722	1.0640243072852622
gcta	0	23	7.772964968430862e-4	0.18754813101468729	1.0011178533026068
pca-plink-pure	20	24	0.01005197950628808	0.1434487446551755	1.0631895253236374
gcta	0	24	-5.509041160492861e-4	0.17195198268591855	0.999022914868488
pca-plink-pure	20	25	0.00809958597639827	0.15204410961787845	1.0456985722291892
gcta	0	25	-0.00149039040675404	0.186233006285886	0.9901213702494086
pca-plink-pure	20	26	0.01187519200353747	0.14058302055512686	1.0728312181277135
gcta	0	26	5.501696584161797e-4	0.17582560400306818	1.0036205604609847
pca-plink-pure	20	27	0.01390160599350989	0.09189504281013164	1.0807384901971289
gcta	0	27	-9.0317133469196e-4	0.13277788305727634	0.9949355668772464
pca-plink-pure	20	28	0.00418282760726104	0.17769517672521484	1.0264317287645044
gcta	0	28	-9.265373225986694e-4	0.23776430587794817	0.9988550847352736
pca-plink-pure	20	29	0.00650156331428219	0.1676218771396637	1.0397669533821583
gcta	0	29	-9.770727565917817e-4	0.19960475532041683	0.9931239047281988
pca-plink-pure	20	30	0.00837038302712237	0.1573409579258779	1.047809249238737
gcta	0	30	-0.00150965427134752	0.1973444335945826	0.9887093326719024
pca-plink-pure	20	31	0.00261583118060981	0.14197139457517796	1.0142260665275644
gcta	0	31	-0.00288935731474286	0.15188349236378634	0.9823386697650722
pca-plink-pure	20	32	0.00938989170508491	0.19696560820637168	1.053192995844085
