# updated version most coherent with HO16ep
# since superpop is distinguished anyway, coords will be sampling
pop	superpop	x	y	native	HumanOrigins	HGDP	comment
#
# MAfrica: African Ancestry (AFR)
#
MSL	AFR	-13.2	8.5	1	Mende	NA	Mende in Sierra Leone; coords of HO Mende
YRI	AFR	4	7	1	Yoruba	Yoruba	Yoruba in Ibadan, Nigeria
ESN	AFR	6.0	6.5	1	Esan	NA	Esan in Nigeria; coords HO Esan
GWD	AFR	-16.7	13.4	1	Gambian	NA	Gambian in Western Division, The Gambia; coords of HO Gambian
LWK	AFR	35	1	1	Luhya	NA	Luhya in Webuye, Kenya
ACB	AFR	-59	13	0	NA	NA	African Caribbean in Barbados; coords of Bridgetown, Barbados
ASW	AFR	-112	33	0	NA	NA	African Ancestry in Southwest US; coords of Phoenix, AZ
#
# Europe: European Ancestry (EUR)
# 
CEU	EUR	-111	40	0	NA	NA	Utah residents with Northern and Western European ancestry; coords of Salt Lake City
GBR	EUR	0	52	1	English	NA	British in England and Scotland; coords of London
IBS	EUR	-4	40	1	Spanish	NA	Iberian populations in Spain; coords of Madrid
TSI	EUR	11	44	1	Italian_North	BergamoItalian	Toscani in Italy; coords of Florence
FIN	EUR	25	60	1	Finnish	NA	Finnish in Finland; coords of Helsinki
#
# SAsia: South Asian Ancestry (SAS)
#
PJL	SAS	74.3	31.5	1	Punjabi	NA	Punjabi in Lahore, Pakistan; coords of HO Punjabi
GIH	SAS	-95	29	0	Gujarati	NA	Gujarati Indian in Houston, TX
ITU	SAS	0	52	0	NA	NA	Indian Telugu in the UK; coords of London
STU	SAS	0	52	0	NA	NA	Sri Lankan Tamil in the UK; coords of London
BEB	SAS	90.4	23.7	1	Bengali	NA	Bengali in Bangladesh; coords of HO Bengali
#
# EAsia: East Asian Ancestry (EAS)
# 
CHS	EAS	113	23	1	NA	NA	Southern Han Chinese, China; coords of Guangzhou
CDX	EAS	101	22	1	Dai	Dai	Chinese Dai in Xishuangbanna, China
KHV	EAS	107	11	1	Kinh	NA	Kinh in Ho Chi Minh City, Vietnam
CHB	EAS	116	40	1	Han	Han	Han Chinese in Bejing, China
JPT	EAS	140	36	1	Japanese	Japanese	Japanese in Tokyo, Japan
#CHD	EAS	-105	39	0	NA	NA	Chinese in metropolitan Denver; NOT in final data only chip
#
# Americas: Americas Ancestry (AMR)
#
PEL	AMR	-77	-12	0	NA	NA	Peruvian in Lima, Peru
MXL	AMR	-118	34	0	NA	NA	Mexican Ancestry in Los Angeles, California
CLM	AMR	-76	6	0	NA	NA	Colombian in Medellin, Colombia
PUR	AMR	-66	18	0	NA	NA	Puerto Rican in Puerto Rico
