method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.46384953281321456	0.003910457845572618	43.03542979599151
pca-plink-pure	1	1	0.024999588771650223	0.3472722519370327	1.1615008509655833
pca-plink-pure	2	1	0.017115318051491947	0.37193977525895494	1.112839430284219
pca-plink-pure	3	1	0.018921265844843316	0.3750343953246238	1.12762782069005
pca-plink-pure	4	1	0.018729733904488156	0.3780615817259056	1.1313991387716535
pca-plink-pure	5	1	0.01839209816751895	0.38079935912295637	1.12629979040776
pca-plink-pure	6	1	0.011039066539520356	0.3970236984020145	1.0754572487561604
pca-plink-pure	7	1	0.008400723483832525	0.39726235491115736	1.0583442307521669
pca-plink-pure	8	1	0.006573677682796332	0.40142942424078243	1.0467064809053641
pca-plink-pure	9	1	0.006601112858771683	0.40236811664271827	1.0463181824250747
pca-plink-pure	10	1	0.005929714947505168	0.4037558375363447	1.0450358650988059
pca-plink-pure	11	1	0.005926712968130317	0.4042659854594651	1.0444240399880635
pca-plink-pure	12	1	0.0054475251858077355	0.4049068277083026	1.0432733690107012
pca-plink-pure	13	1	0.0053783471500025255	0.4041462865172999	1.042340039091967
pca-plink-pure	14	1	0.005418828939085615	0.40412648261423495	1.0420298673305546
pca-plink-pure	15	1	0.0054475085398700595	0.40461147339444453	1.0429990793190385
pca-plink-pure	16	1	0.005548953500744027	0.40346859179210204	1.0416067969775844
pca-plink-pure	17	1	0.005570933192226277	0.4033332649744842	1.0417510112825497
pca-plink-pure	18	1	0.005578142883201934	0.4038140532574073	1.0418135087175937
pca-plink-pure	19	1	0.005516221720331309	0.40407596207368324	1.042340039091967
pca-plink-pure	20	1	0.005664072496053349	0.4035965166532532	1.0442891849674332
pca-plink-pure	21	1	0.005662046842081259	0.4040557773897979	1.043251712627987
pca-plink-pure	22	1	0.005734148901685892	0.40394561584254945	1.0454744220391197
pca-plink-pure	23	1	0.005707437334480336	0.40222656018428227	1.04663894309628
pca-plink-pure	24	1	0.005699791892059204	0.4033770391162242	1.0442819609537726
pca-plink-pure	25	1	0.005728818728456012	0.4032892917759718	1.0447853220754906
pca-plink-pure	26	1	0.005760790833391125	0.4033951576781556	1.045443092041189
pca-plink-pure	27	1	0.0057890602027038515	0.4031592107806065	1.0462506631083686
pca-plink-pure	28	1	0.005569625458944523	0.40412396076227475	1.0480506695549654
pca-plink-pure	29	1	0.0055656759536798495	0.4011888746537605	1.0478358034633548
pca-plink-pure	30	1	0.005539683589672323	0.400222084404805	1.0460867010116204
pca-plink-pure	31	1	0.005551924456072488	0.39946998127612304	1.0431265933509897
pca-plink-pure	32	1	0.005726208974542628	0.3984966565824351	1.0495266400613057
pca-plink-pure	33	1	0.005816670393428703	0.39761204959966956	1.0496064006377888
pca-plink-pure	34	1	0.005853719652127758	0.3978742998156162	1.049560477334763
pca-plink-pure	35	1	0.005884260838653439	0.3979906865587406	1.0497441794535047
pca-plink-pure	36	1	0.005978434318579539	0.39742980956050306	1.0503292839251874
pca-plink-pure	37	1	0.005969380289539154	0.3983252189005436	1.046952538698653
pca-plink-pure	38	1	0.006037501644779482	0.39967844823144755	1.0467547241669188
pca-plink-pure	39	1	0.006051074842901138	0.39952183157406845	1.0470755836050256
pca-plink-pure	40	1	0.006007050764997065	0.40024014975898	1.046272365395203
pca-plink-pure	41	1	0.006041814135118674	0.4007747511773388	1.0471214265933657
pca-plink-pure	42	1	0.006111992520410602	0.3986828991577094	1.0476788993424193
pca-plink-pure	43	1	0.006139917360991568	0.3986191212889537	1.0483066199310913
pca-plink-pure	44	1	0.005733058113974214	0.3969366081485163	1.043550118635066
pca-plink-pure	45	1	0.005780641704682094	0.39700109949093976	1.0444794305924021
pca-plink-pure	46	1	0.0057931291899879335	0.3972282871988223	1.0437595217064695
pca-plink-pure	47	1	0.005810000889294233	0.39718750018587967	1.0439183998773354
pca-plink-pure	48	1	0.005831952819659674	0.3976052745575863	1.0432324627882785
pca-plink-pure	49	1	0.00582204746053524	0.39772221885313513	1.0433768429698431
pca-plink-pure	50	1	0.005844720010782105	0.3977364015245546	1.0430255435503673
pca-plink-pure	51	1	0.005747792290985036	0.3979896688052012	1.043718601429381
pca-plink-pure	52	1	0.005759551635589544	0.3987826172248718	1.0425805291382197
pca-plink-pure	53	1	0.005812766867914411	0.39861649338477806	1.0432613376460507
pca-plink-pure	54	1	0.005788259751045405	0.39672306627817294	1.0418303354222112
pca-plink-pure	55	1	0.005784328033640694	0.3958258231958482	1.0414409687155113
pca-plink-pure	56	1	0.005792685339617222	0.3943304095942466	1.0417438002178463
pca-plink-pure	57	1	0.005659809313838108	0.3946046616547891	1.0421500808683906
pca-plink-pure	58	1	0.005572421862774993	0.39105729995818694	1.042385729053897
pca-plink-pure	59	1	0.005613616538026559	0.3912572544563267	1.0432372752236532
pca-plink-pure	60	1	0.005620857983137851	0.3912146025157618	1.0415923763563208
pca-plink-pure	61	1	0.005591546145666508	0.39118960588617474	1.0427873832890342
pca-plink-pure	62	1	0.005584428506556835	0.3911766754099911	1.042840304326572
pca-plink-pure	63	1	0.005420194818272874	0.3893840845286704	1.0444023659935426
pca-plink-pure	64	1	0.005648519091078966	0.39063853769966145	1.0428523321112264
pca-plink-pure	65	1	0.005678071660197292	0.3910599965909775	1.0427176267645262
pca-plink-pure	66	1	0.005748480642720288	0.3916591729065674	1.043196370044685
pca-plink-pure	67	1	0.0057934333604216575	0.3917306440356643	1.0430808794519557
pca-plink-pure	68	1	0.005863133668158364	0.39218238438501407	1.0437041592610976
pca-plink-pure	69	1	0.005833423511667563	0.39132960385956034	1.0431939638945138
pca-plink-pure	70	1	0.005633361050303258	0.38961707997543077	1.045739549752873
pca-plink-pure	71	1	0.005681004678906664	0.38968355664804216	1.0446383895738711
pca-plink-pure	72	1	0.005718495223468973	0.38973183692673297	1.0452985010270384
pca-plink-pure	73	1	0.005718367522159928	0.39027017243619905	1.0440459967737252
pca-plink-pure	74	1	0.005716621851247766	0.39049990172392157	1.0442265780734998
pca-plink-pure	75	1	0.005731615161596084	0.3911700679648925	1.0451466963415257
pca-plink-pure	76	1	0.005868630987760987	0.39048907395912813	1.0426286320551545
pca-plink-pure	77	1	0.005835961665868912	0.3893689048947316	1.0428860104523345
pca-plink-pure	78	1	0.005949799389846416	0.38971053685168466	1.0473868624884468
pca-plink-pure	79	1	0.005909085460241328	0.3898275437587273	1.0474882238418108
pca-plink-pure	80	1	0.005930533185497493	0.3895689964091834	1.0487703456831525
pca-plink-pure	81	1	0.005722821976376968	0.3899448447261483	1.0436560197644391
pca-plink-pure	82	1	0.005625313907755393	0.3902481872341305	1.0419096640132646
pca-plink-pure	83	1	0.0057374817294833114	0.3902508896352067	1.0435260513016962
pca-plink-pure	84	1	0.005790145937310688	0.389613620210765	1.0429678040475212
pca-plink-pure	85	1	0.005814481258153268	0.39010432037321024	1.042342443790002
pca-plink-pure	86	1	0.005801530406020977	0.3859994186943168	1.0425372379117392
