method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	-0.01948410479697332	0.021215508132400526	0.8745356108783872
pca-plink-pure	1	1	-0.018505788235427232	0.021742947670105584	0.8820251129636626
pca-plink-pure	2	1	-0.01833766670173614	0.021795492822411493	0.8834399818170037
pca-plink-pure	3	1	-0.02130146346161062	0.021531168523657853	0.8608386262939046
pca-plink-pure	4	1	-0.022081563749125763	0.021362684369612996	0.8544031370925524
pca-plink-pure	5	1	-0.022414539476447087	0.02117947940847997	0.8522605638695562
pca-plink-pure	6	1	-0.022600680854564844	0.021706286564993515	0.8507413525209956
pca-plink-pure	7	1	-0.022548200009049533	0.021693385994093775	0.8511948379201472
pca-plink-pure	8	1	-0.022492981682666092	0.021699114117163718	0.8516484909600589
pca-plink-pure	9	1	-0.022463625264505058	0.021713560588369176	0.8520710801288053
pca-plink-pure	10	1	-0.02268523588074164	0.021465649460127155	0.8523022125663818
pca-plink-pure	11	1	-0.022674124186449252	0.02149014839348848	0.852046095443475
pca-plink-pure	12	1	-0.022615704539221446	0.021530040954792468	0.852706278219799
pca-plink-pure	13	1	-0.0224305891873172	0.021563631213109884	0.8530417119804525
pca-plink-pure	14	1	-0.022371022020344054	0.021598025629580252	0.8536836665146346
pca-plink-pure	15	1	-0.0223860847435948	0.021633417198222114	0.853047963167919
pca-plink-pure	16	1	-0.02251533927129758	0.021486304616309928	0.8525708805933233
pca-plink-pure	17	1	-0.022436522169025783	0.0215364299527456	0.8533709844474966
pca-plink-pure	18	1	-0.022420990861249216	0.021605060733671744	0.8529250289834324
pca-plink-pure	19	1	-0.022434524000644305	0.021513334777411266	0.8524646559782112
pca-plink-pure	20	1	-0.02241483761051939	0.021528401431292	0.8524917319686982
pca-plink-pure	21	1	-0.022380301859773126	0.021515348160890232	0.8527958571577595
pca-plink-pure	22	1	-0.02229954624646797	0.02155884263336499	0.8535127237986707
pca-plink-pure	23	1	-0.022317673854910347	0.02155054862996493	0.853114644479192
pca-plink-pure	24	1	-0.022250078387207523	0.0216088667885575	0.8537649768772453
pca-plink-pure	25	1	-0.022460055473337313	0.021487546381734612	0.8524584077574584
pca-plink-pure	26	1	-0.022437093997520738	0.021226388414245446	0.8531271476277894
pca-plink-pure	27	1	-0.022364949944948673	0.021210859880752168	0.8529291960425766
pca-plink-pure	28	1	-0.02234650840455098	0.021018143523378136	0.8534752029684723
pca-plink-pure	29	1	-0.02233869124516241	0.021005903161404958	0.8533376363865126
pca-plink-pure	30	1	-0.022206153989026006	0.02110908187933549	0.8543593312029661
pca-plink-pure	31	1	-0.02194819085267957	0.020807076970615516	0.8557222157344031
pca-plink-pure	32	1	-0.02198183523748715	0.020822193250345476	0.8558245451168255
pca-plink-pure	33	1	-0.021990583135093764	0.020793441005095233	0.8555008792119557
pca-plink-pure	34	1	-0.02200035325177162	0.02078597145079141	0.855713862690681
pca-plink-pure	35	1	-0.02205941298669423	0.020679873092189577	0.8549790166030143
pca-plink-pure	36	1	-0.02204230061937345	0.02045261762064194	0.8559080856082639
pca-plink-pure	37	1	-0.022084161268830674	0.020401750635078066	0.8553776996968242
pca-plink-pure	38	1	-0.02208245245856725	0.020549107508951916	0.8547724201349258
pca-plink-pure	39	1	-0.022079004986642833	0.020559303537630764	0.8548725837893446
pca-plink-pure	40	1	-0.02210322157276352	0.020383603416194218	0.8546388812735899
pca-plink-pure	41	1	-0.021903454925596588	0.020590735299581622	0.8557639818026254
pca-plink-pure	42	1	-0.021826353283075584	0.02054624648079492	0.8556261591511622
pca-plink-pure	43	1	-0.021731469152281666	0.020588290052170225	0.8564324315089259
pca-plink-pure	44	1	-0.021785297408715747	0.020453320827171474	0.856027140596456
pca-plink-pure	45	1	-0.021757252824359433	0.020488780772740325	0.8560396733696811
