method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.03648700312958575	0.0023993569515813173	1.1632310558631849
pca-plink-pure	1	1	0.0194222595311061	0.003745188470464957	1.08033592487327
pca-plink-pure	2	1	-0.008895614061060923	0.0041169960252633725	0.9412907374814028
pca-plink-pure	3	1	-0.008970096735596868	0.00411412487163992	0.9405718311689993
pca-plink-pure	4	1	-0.009424973798406393	0.004098072216254185	0.9364624099666778
pca-plink-pure	5	1	-0.009131874897955087	0.004043876684323139	0.9389880501823781
pca-plink-pure	6	1	-0.010135592405121087	0.0040151866931564285	0.9312084611962497
pca-plink-pure	7	1	-0.009950854894651338	0.004080518306234479	0.932461189075065
pca-plink-pure	8	1	-0.009636333323703707	0.004063640487369483	0.9350569263556702
pca-plink-pure	9	1	-0.009906571114393506	0.004048956661732369	0.9330447263709134
pca-plink-pure	10	1	-0.009836339019288886	0.004054828160321906	0.9330979898689241
pca-plink-pure	11	1	-0.009716072292409937	0.0040592341780216505	0.934385849839801
pca-plink-pure	12	1	-0.009818135896938232	0.004085531512699658	0.9332222797862934
pca-plink-pure	13	1	-0.00999363333242402	0.004066683012284446	0.9324456612158888
pca-plink-pure	14	1	-0.009873839850711934	0.004107846111910013	0.9330314108347783
pca-plink-pure	15	1	-0.009841896181892181	0.004095018194038212	0.9334398155162329
pca-plink-pure	16	1	-0.00975846211569814	0.004161364369135123	0.9333465814953971
pca-plink-pure	17	1	-0.010128560699079508	0.004097014330017536	0.9304330363015244
pca-plink-pure	18	1	-0.010222855246252462	0.004076343581650167	0.9305083431310949
pca-plink-pure	19	1	-0.010666609785212259	0.003967832843724496	0.9274994505599846
pca-plink-pure	20	1	-0.010588093214844769	0.003977857940224026	0.9276143690411444
pca-plink-pure	21	1	-0.010681582356905119	0.003966495672128733	0.9276276295173013
pca-plink-pure	22	1	-0.01058229526272518	0.003945961425558945	0.9279326576707113
pca-plink-pure	23	1	-0.010546087000039728	0.003904160536044354	0.9285075421611406
pca-plink-pure	24	1	-0.010492419710036997	0.003914910927828095	0.9291402076174378
pca-plink-pure	25	1	-0.010433106460263441	0.003918649124577405	0.92928182507924
pca-plink-pure	26	1	-0.010599427945689237	0.003912916569065668	0.92829967008329906
pca-plink-pure	27	1	-0.01043657708426966	0.0039028299817174764	0.9298395931078315
pca-plink-pure	28	1	-0.010434133101269661	0.0039031861466100612	0.930096423509987
pca-plink-pure	29	1	-0.01078072318792819	0.003808582949271218	0.9282952476327488
pca-plink-pure	30	1	-0.010901557556449322	0.0038092028467532598	0.9272917389927818
pca-plink-pure	31	1	-0.010908038699231588	0.003802182319733519	0.9273160439568098
pca-plink-pure	32	1	-0.010907458133212557	0.003799216259099575	0.9273005771091183
pca-plink-pure	33	1	-0.010888563939307132	0.0037976564335709655	0.9272829009363311
pca-plink-pure	34	1	-0.010747751296705797	0.003830692394921116	0.9283969677862538
pca-plink-pure	35	1	-0.010568411414696808	0.003810339207965314	0.9295783863716217
pca-plink-pure	36	1	-0.010684531454507111	0.003805529039365383	0.9286446673936374
pca-plink-pure	37	1	-0.010652801183111698	0.0038114451270348055	0.9287795949849906
pca-plink-pure	38	1	-0.010826221735964493	0.0037774508502422584	0.927808869533215
pca-plink-pure	39	1	-0.010728102573048142	0.0037921134112481754	0.928450042317369
pca-plink-pure	40	1	-0.010746349095644515	0.003794080720934447	0.9283129375248496
pca-plink-pure	41	1	-0.01062758857607574	0.0037827581599867597	0.9290694046439542
pca-plink-pure	42	1	-0.01142718982611838	0.003807838526564268	0.9228933853953842
pca-plink-pure	43	1	-0.011783322989144333	0.0038366339480408592	0.9206755917776018
pca-plink-pure	44	1	-0.011720188782259099	0.0038450004453034307	0.9210845426465352
pca-plink-pure	45	1	-0.011759246761927685	0.003942168249287404	0.9210955377279288
pca-plink-pure	46	1	-0.011689614506156337	0.0038528003483649293	0.9216344108084107
pca-plink-pure	47	1	-0.011656573980428115	0.0038242840591499595	0.9220040530522224
pca-plink-pure	48	1	-0.011369288270293458	0.003819600630966087	0.9237701051544908
pca-plink-pure	49	1	-0.011104247732724807	0.0037807150334231853	0.9255826899172449
pca-plink-pure	50	1	-0.01082293369618784	0.003721502287020765	0.9267085557032524
pca-plink-pure	51	1	-0.010811093126595806	0.003709044656676417	0.9270509233717906
pca-plink-pure	52	1	-0.010863131431117714	0.003691876051409017	0.9268101522117286
pca-plink-pure	53	1	-0.010380032214905282	0.0037132960987012057	0.9296802065166236
