method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.09827435593861163	0.03561857445157397	1.7286142593187748
pca-plink-pure	1	1	0.1051686661484454	0.04369793016041515	1.8000353141488354
pca-plink-pure	2	1	-0.004754916524806923	0.07163331089106188	0.9988154611683138
pca-plink-pure	3	1	-0.0038637372458068396	0.07467722014724441	0.9843435957865583
pca-plink-pure	4	1	-0.00591062263115569	0.07679119250006348	0.9593688268092363
pca-plink-pure	5	1	-0.005860071021115488	0.07671544098954125	0.9599530332702857
pca-plink-pure	6	1	-0.005704280464728357	0.07679513701038289	0.961426004287857
pca-plink-pure	7	1	-0.00559830069883609	0.07861122861541656	0.9626100887698444
pca-plink-pure	8	1	-0.005522363182343063	0.07861744033494117	0.963064038649744
pca-plink-pure	9	1	-0.005603383773855451	0.07859380059036512	0.9624648573060213
pca-plink-pure	10	1	-0.00676947001561312	0.07703897066114747	0.9530675355957247
pca-plink-pure	11	1	-0.006625151711886034	0.07700249717906509	0.9547900892808019
pca-plink-pure	12	1	-0.007459631484033968	0.07524192318368907	0.9482768870838733
pca-plink-pure	13	1	-0.007391014587508001	0.07523744739381581	0.9486294106415767
pca-plink-pure	14	1	-0.007841978272767969	0.07654662368934326	0.9449628187496775
pca-plink-pure	15	1	-0.007711445450518937	0.0766413793131307	0.9459171726549779
pca-plink-pure	16	1	-0.0075799793610199125	0.07667659562659437	0.9466524498805167
pca-plink-pure	17	1	-0.008256992625527057	0.07678337675970118	0.9420726023530899
pca-plink-pure	18	1	-0.008200138120982848	0.07678702650000578	0.9424480622089132
pca-plink-pure	19	1	-0.008116922370513275	0.07684189501949269	0.9432306135748072
pca-plink-pure	20	1	-0.00794905370450525	0.07679564058864193	0.944537390027153
pca-plink-pure	21	1	-0.007799902481592177	0.07683039213649688	0.9454555915601563
pca-plink-pure	22	1	-0.008003547028767532	0.07634302952992657	0.9446358981775484
pca-plink-pure	23	1	-0.007708796539630301	0.07713509499220658	0.9466300268520836
pca-plink-pure	24	1	-0.007237925486666958	0.07814336587792249	0.9491257970151654
pca-plink-pure	25	1	-0.007169140307791263	0.0787452322319787	0.9497324942374901
pca-plink-pure	26	1	-0.007126123838369361	0.0787447313570984	0.9500786606866004
pca-plink-pure	27	1	-0.007416311005549544	0.08134247514957668	0.9473073698607384
pca-plink-pure	28	1	-0.007419339850097742	0.08138713692007954	0.9467376608536623
pca-plink-pure	29	1	-0.0074448378065312204	0.08134659277301542	0.9467556007050247
pca-plink-pure	30	1	-0.007753273780857317	0.07870741519229679	0.9452674202633711
pca-plink-pure	31	1	-0.007745963123928482	0.07868683498949797	0.9453032603503644
pca-plink-pure	32	1	-0.007676441257784046	0.07867351560219492	0.9459844066435981
pca-plink-pure	33	1	-0.00778729045709599	0.078691144838554	0.9455720919753732
pca-plink-pure	34	1	-0.007745539245845132	0.07865119279462904	0.9456482708737978
