method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.27260151210888167	6.195294963764936e-4	5.4825220836289175
pca-plink-pure	1	1	0.11067712303016923	0.00751694400926814	1.895688390137387
pca-plink-pure	2	1	0.03174632741556838	0.0564580547665785	1.1969278688828944
pca-plink-pure	3	1	0.03124878528520141	0.04381859609767951	1.1947274446913163
pca-plink-pure	4	1	0.032096724738933775	0.05353100884774852	1.2008189200590682
pca-plink-pure	5	1	0.028661608085777567	0.04468617474191473	1.1760743767739679
pca-plink-pure	6	1	0.014257242473485242	0.05691272238455597	1.0853748017348355
pca-plink-pure	7	1	0.013930967042353245	0.057989480702230596	1.0816008007726436
pca-plink-pure	8	1	0.011106291344622456	0.06809551528446948	1.0649548562945004
pca-plink-pure	9	1	0.011376729647386301	0.06716961211509541	1.066040037602489
pca-plink-pure	10	1	0.007213095522863731	0.07748667509627596	1.0418808167378277
pca-plink-pure	11	1	0.006930127109750872	0.08478879876706184	1.0400142080716752
pca-plink-pure	12	1	0.006857825121262602	0.0870221555695045	1.0400766287218706
pca-plink-pure	13	1	0.007055701369395986	0.08650760811627584	1.0410805396090799
pca-plink-pure	14	1	0.00555690235105812	0.09675180261671686	1.0312929484912698
pca-plink-pure	15	1	0.005397943228245487	0.09856972098681051	1.0311378725090456
pca-plink-pure	16	1	0.0052545882054521095	0.09446468092669234	1.0299050317992908
pca-plink-pure	17	1	0.004198549151578147	0.10209534815614485	1.025488117761955
pca-plink-pure	18	1	0.004275626762820621	0.10245412990966228	1.0255427680349767
pca-plink-pure	19	1	0.002774043661411807	0.09611222605701839	1.016186052698126
pca-plink-pure	20	1	0.002840173022750913	0.09613077300571807	1.0163489196298203
pca-plink-pure	21	1	0.0029477010585035363	0.09705193303149892	1.017584024513917
pca-plink-pure	22	1	0.0027227592043394242	0.09849898062557164	1.0157707104141365
pca-plink-pure	23	1	0.002582653242167845	0.10180513581588341	1.0143038471891153
pca-plink-pure	24	1	0.0029469061895797265	0.10218498753677607	1.0157400366457037
pca-plink-pure	25	1	0.0030019959119872075	0.10078326690512261	1.0162592224368965
pca-plink-pure	26	1	0.0031599789943285482	0.09921412807161366	1.0165590225533556
pca-plink-pure	27	1	0.003350601896682015	0.09922038100336751	1.0195416551100058
pca-plink-pure	28	1	0.0035158924735926547	0.10014113509690731	1.0207417089012878
pca-plink-pure	29	1	0.0029414445865358486	0.0973951109141038	1.0172249516866327
pca-plink-pure	30	1	0.002997943520326547	0.09737926222567247	1.0175934750506332
pca-plink-pure	31	1	0.0030779815430940676	0.09627503880504563	1.0175225975901117
pca-plink-pure	32	1	0.0028967574247464635	0.0987852679844791	1.0163371170368842
pca-plink-pure	33	1	0.002939513724343605	0.09917919827989301	1.017350144186735
pca-plink-pure	34	1	0.0029946138470965645	0.0983332675265907	1.0173903026586306
pca-plink-pure	35	1	0.0029984387635180075	0.10213484812423342	1.0170265564657304
pca-plink-pure	36	1	0.002857816133105931	0.10205615158764743	1.016030284793964
