method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.18594300657455792	0.00535800265858914	3.026845703091623
pca-plink-pure	1	1	0.04773822506619605	0.03922819485174312	1.313579819360369
pca-plink-pure	2	1	0.03020821861507019	0.05144330435377566	1.1880228140267886
pca-plink-pure	3	1	0.0175183339922684	0.04598466414935753	1.099435529310638
pca-plink-pure	4	1	0.01656929388216661	0.04936765580739635	1.0928750963504077
pca-plink-pure	5	1	0.01730084250065382	0.04986674869788123	1.0978676382668948
pca-plink-pure	6	1	0.01837999267742279	0.04445515085633454	1.1039133621815398
pca-plink-pure	7	1	0.01428122188092757	0.04782191593803955	1.0766956967046153
pca-plink-pure	8	1	0.01427320808408334	0.04590174483382982	1.078097925046812
pca-plink-pure	9	1	0.01332127653161914	0.04440002099061199	1.0713555608854088
pca-plink-pure	10	1	0.01342254344265749	0.04483637959220267	1.070928614286252
pca-plink-pure	11	1	0.01374352240939876	0.044854768975438	1.0728582409119316
pca-plink-pure	12	1	0.01392216156587723	0.04491300054734315	1.0741608480226368
pca-plink-pure	13	1	0.01434624972175276	0.0467490593815246	1.0766932335281814
pca-plink-pure	14	1	0.01446162107710588	0.04021935807418037	1.0769469627524353
pca-plink-pure	15	1	0.01469811544220047	0.04012415710729928	1.0785467280738057
pca-plink-pure	16	1	0.01375852145410252	0.04935178259015083	1.0741141304553568
pca-plink-pure	17	1	0.01390061540416368	0.04971573614492802	1.0751348848141369
pca-plink-pure	18	1	0.0141336845522463	0.04944439337624951	1.076616877140722
pca-plink-pure	19	1	0.01322723810982695	0.04210656868328408	1.069628924271382
pca-plink-pure	20	1	0.01328295335787555	0.0414955854018202	1.071039019378199
pca-plink-pure	21	1	0.01299346057788695	0.04109498993559997	1.0688447736644369
pca-plink-pure	22	1	0.0130753987855733	0.04130222084854017	1.0692269936930583
pca-plink-pure	23	1	0.01268282106098706	0.04251243530001528	1.067365853556614
pca-plink-pure	24	1	0.01268224636722074	0.04129285021116691	1.066494884497711
pca-plink-pure	25	1	0.01263426451546553	0.041835625128189	1.0664704266986398
pca-plink-pure	26	1	0.01287764789537652	0.04042121795033625	1.067042848372662
pca-plink-pure	27	1	0.01213413534008399	0.03786588789489247	1.0620016539398305
pca-plink-pure	28	1	0.01219377822253807	0.03810720726466374	1.06257961205817
pca-plink-pure	29	1	0.01225686592892644	0.0383026728511956	1.062572294675209
pca-plink-pure	30	1	0.01228525402283716	0.03600962756587005	1.0622162272034092
pca-plink-pure	31	1	0.01231879857192709	0.03620394345639309	1.0632724935840396
pca-plink-pure	32	1	0.01231665439985179	0.03610534394275457	1.0625283911623082
pca-plink-pure	33	1	0.01237949370864432	0.03599692300913332	1.0626747414378734
pca-plink-pure	34	1	0.01232133649094035	0.0353666512013512	1.062547903668601
pca-plink-pure	35	1	0.01232362379583565	0.03580562361105098	1.0626405917030073
pca-plink-pure	36	1	0.01240623127403185	0.03544098181072627	1.0629772460543714
pca-plink-pure	37	1	0.01242629851973465	0.03561698980139993	1.063033362803601
pca-plink-pure	38	1	0.01252112661696477	0.03502676109254236	1.0633969549806592
pca-plink-pure	39	1	0.01251009204212862	0.03492544933003597	1.063484816591411
pca-plink-pure	40	1	0.0126030241170374	0.03499292943880541	1.0642684874420287
pca-plink-pure	41	1	0.01265466258547481	0.03502618052317927	1.064429669123272
pca-plink-pure	42	1	0.01268813485441434	0.03494575379471059	1.0650086072217615
pca-plink-pure	43	1	0.01273668662097434	0.03528285891664685	1.0648180448383018
pca-plink-pure	44	1	0.01272683046362069	0.0349622668479974	1.0649450836149728
pca-plink-pure	45	1	0.01275605299481491	0.03511263279640984	1.0648082730906316
pca-plink-pure	46	1	0.01278911533011165	0.03503958306930301	1.0652285183484305
pca-plink-pure	47	1	0.01281028223308216	0.03516743578870641	1.0652896107539522
pca-plink-pure	48	1	0.01283833231179899	0.03504422461424019	1.0656391093035462
pca-plink-pure	49	1	0.0128397434016137	0.0327675206221821	1.0658395594566392
pca-plink-pure	50	1	0.01283342820964339	0.03259445426665011	1.065842004143462
pca-plink-pure	51	1	0.01277775162424227	0.03355288275438459	1.066859355046868
pca-plink-pure	52	1	0.01283472101746401	0.03371577979884111	1.0663970558004603
pca-plink-pure	53	1	0.0128503574085429	0.03382894506593103	1.0657564425816737
pca-plink-pure	54	1	0.01288620867393063	0.03422966705336069	1.066206309007138
pca-plink-pure	55	1	0.01292054687869058	0.038578075734483	1.0657295528583275
pca-plink-pure	56	1	0.01293883448792554	0.03863452007664702	1.0659104570647473
pca-plink-pure	57	1	0.01297213704008502	0.03856947354895106	1.0669107308156325
pca-plink-pure	58	1	0.01302048208249632	0.03410361601028044	1.0673536171885547
pca-plink-pure	59	1	0.01298222379012775	0.03850082237065228	1.065389807929395
pca-plink-pure	60	1	0.01298804636510429	0.03843925986227137	1.0648962212157942
pca-plink-pure	61	1	0.01300641858908947	0.03824183840770432	1.065487568013215
pca-plink-pure	62	1	0.01303996840122129	0.03384747385595949	1.0659911379123863
pca-plink-pure	63	1	0.01307704165791332	0.03358137952843657	1.0657124414784531
pca-plink-pure	64	1	0.01310716693111949	0.03359969012988856	1.0658395594566392
pca-plink-pure	65	1	0.01307810322190215	0.03792430155634203	1.0657197749019942
pca-plink-pure	66	1	0.01310384012971802	0.03746725769594942	1.0655364505522915
pca-plink-pure	67	1	0.01313177174524417	0.03289822456491224	1.0654484631806114
pca-plink-pure	68	1	0.01316828702947748	0.03115269708469299	1.06607426837653
pca-plink-pure	69	1	0.01323016145278909	0.03104043863377664	1.0667957494978355
pca-plink-pure	70	1	0.01324344749474206	0.03085406973444562	1.0666612085778735
pca-plink-pure	71	1	0.01316937231538989	0.02990601967760798	1.0677990881262296
pca-plink-pure	72	1	0.01321868603533604	0.03066210973438531	1.0665927198592624
pca-plink-pure	73	1	0.0132491680471953	0.0307404260010072	1.0670722094798382
pca-plink-pure	74	1	0.01325440031925886	0.03060437994955427	1.0674735380886875
pca-plink-pure	75	1	0.0132496284159777	0.03054624368188708	1.0674613008036455
pca-plink-pure	76	1	0.01328872409770461	0.03054219778841568	1.0681051234366612
pca-plink-pure	77	1	0.01334243641846505	0.02992137166294597	1.068722288735542
pca-plink-pure	78	1	0.01334018026779804	0.02884473196953996	1.0682716340100515
pca-plink-pure	79	1	0.01337044319126229	0.02983283125852765	1.0685508273583453
pca-plink-pure	80	1	0.01335814361116101	0.02841017002299642	1.0674906704628129
pca-plink-pure	81	1	0.0133826241246596	0.02843089261112162	1.0672581770936922
pca-plink-pure	82	1	0.01345313941917071	0.02785386238834297	1.0681345062542056
pca-plink-pure	83	1	0.01343556742073688	0.02756819005687962	1.0691926877472413
pca-plink-pure	84	1	0.01341696614003223	0.02757377742958701	1.0697588404779323
pca-plink-pure	85	1	0.01346288200853532	0.02765495165898055	1.0696534358654948
pca-plink-pure	86	1	0.01343570762697644	0.02763197897251154	1.069668143022372
pca-plink-pure	87	1	0.01336519007178266	0.0282559766905505	1.068673297684618
pca-plink-pure	88	1	0.01333489041244056	0.02801636003180007	1.0683793864225344
pca-plink-pure	89	1	0.01338794317913258	0.02806366749703093	1.06871738955535
pca-plink-pure	90	1	0.01339611467290211	0.02822686598839686	1.068969719038562
gcta	0	1	-0.00302440238975401	0.13601382523915134	0.984410477615974
gcta	1	1	-0.00340697704099118	0.13520579010258252	0.9824699364476136
gcta	2	1	-0.00359955219370783	0.1364140306816457	0.9811394340986884
gcta	3	1	-0.0039626295897847	0.13292637275434233	0.9786913156444106
gcta	4	1	-0.00433203606127846	0.13345048605374402	0.9764470751935096
gcta	5	1	-0.00476274253182005	0.1334405111770076	0.973989113594335
gcta	6	1	-0.00517507890283212	0.13399356592098963	0.9717298156451348
gcta	7	1	-0.00557072949609685	0.13219402405377748	0.9698575615443328
gcta	8	1	-0.00578898862556897	0.13149822480194265	0.9689041696618648
gcta	9	1	-0.0059368501617467	0.1311931446356676	0.9669265556533944
gcta	10	1	-0.00621176021773517	0.13056858051315318	0.964933662798562
gcta	11	1	-0.00653475366161122	0.12941913782718217	0.9631207932056736
gcta	12	1	-0.00689080054677491	0.1274541705379213	0.9610043422144032
gcta	13	1	-0.00721924639735269	0.12619172619602506	0.9594842892251236
gcta	14	1	-0.00759900292689233	0.12462782397178752	0.9574617461464268
gcta	15	1	-0.00797444120804167	0.12422957436213826	0.95552352740949
gcta	16	1	-0.00835149378255101	0.12420973178361414	0.953437110468729
gcta	17	1	-0.00872119690143898	0.12636719936665242	0.9522251086986452
gcta	18	1	-0.00903228961508405	0.12396978969068402	0.9502382873332604
gcta	19	1	-0.00940000360206012	0.1212118522914312	0.9480434199257292
gcta	20	1	-0.00951894238922815	0.11881246775517117	0.9458432192147106
gcta	21	1	-0.00987634301353574	0.11881270489547888	0.9439420198544606
gcta	22	1	-0.01019210935749368	0.12030447680534238	0.9430718299180564
gcta	23	1	-0.01053305559332934	0.12118839780485864	0.9410138451358584
gcta	24	1	-0.01087717842451077	0.12114536599708274	0.9380854787516228
gcta	25	1	-0.01122208018271063	0.12219546278370208	0.9359551948854978
gcta	26	1	-0.01149975221576961	0.12222874899540524	0.935065817090414
gcta	27	1	-0.01169855370582154	0.12112283186890949	0.9331512555325548
gcta	28	1	-0.01189184068922607	0.12037546005618294	0.9330247531174652
gcta	29	1	-0.01226013443713181	0.12061613611733772	0.9307763820363332
gcta	30	1	-0.01261406298067402	0.11863419161186406	0.9286092788580989
gcta	31	1	-0.01288195675498178	0.11861341261471492	0.9280498251175204
gcta	32	1	-0.01323852883001725	0.1200826950864016	0.9256179964200686
gcta	33	1	-0.0133619945915593	0.11927465534843916	0.926008638460902
gcta	34	1	-0.0137109452602956	0.1196008054380894	0.9237656980497546
gcta	35	1	-0.01400424176809969	0.11469229154281756	0.9216806103364044
gcta	36	1	-0.01438159144722298	0.11440901561421814	0.9196867273009756
gcta	37	1	-0.0147562486176799	0.11457886637386396	0.9175445786697678
gcta	38	1	-0.0151347078137627	0.11459911671756104	0.915519821772997
gcta	39	1	-0.0154858190716866	0.11219765538661557	0.913511348429881
gcta	40	1	-0.01576426843374302	0.11188058719852584	0.9120736440983293
gcta	41	1	-0.01611344471090589	0.1117971924577376	0.9097129974560249
gcta	42	1	-0.01649892085400715	0.1122721761732514	0.9079834432750516
gcta	43	1	-0.01673156924869222	0.11040206138102844	0.9072152571459752
gcta	44	1	-0.01711030535575304	0.11023908687345554	0.9058215093673752
gcta	45	1	-0.01746629822259276	0.10981469976347734	0.902433697954587
gcta	46	1	-0.01781633012710803	0.10871636108364412	0.8999673924860575
gcta	47	1	-0.01820465183438469	0.1088176351157964	0.8979614854775091
gcta	48	1	-0.01841378265201576	0.10734036755576712	0.897864296415771
gcta	49	1	-0.01879896259274781	0.10751312954158856	0.8959802938606755
gcta	50	1	-0.01919287356343845	0.10737375800079912	0.8943165769014598
gcta	51	1	-0.01956748175216032	0.107223420223373	0.8915994058116123
gcta	52	1	-0.01995914568212495	0.10744464513396144	0.8896044973007428
gcta	53	1	-0.02023173485791447	0.10516695598568084	0.8883220287953443
gcta	54	1	-0.02064271413426418	0.10561798095709908	0.8859385498635401
gcta	55	1	-0.02103776295384937	0.1071871483967868	0.8842131754996053
