pop	y	x	superpop	HumanOrigins
#
# SAfrica
#
San	-21	20	AFRICA	Ju_hoan_North
#
# MAfrica
#
Mbuti	1	29	AFRICA	Mbuti
Biaka	4	17	AFRICA	Biaka
BantuSouthAfrica	-25.6	24.25	AFRICA	BantuSA
Yoruba	8	5	AFRICA	Yoruba
Mandenka	12	-12	AFRICA	Mandenka
BantuKenya	-3	37	AFRICA	BantuKenya
#
# NAfrica
#
Mozabite	32	3	MIDDLE_EAST	Mozabite
#
# MiddleEast
#
Bedouin	31	35	MIDDLE_EAST	BedouinA,BedouinB
Palestinian	32	35	MIDDLE_EAST	Palestinian
Druze	32	35	MIDDLE_EAST	Druze
#
# Europe
#
BergamoItalian	46	10	EUROPE	Italian_North
Tuscan	43	11	EUROPE	Italian_North
French	46	2	EUROPE	French
Sardinian	40	9	EUROPE	Sardinian
Basque	43	0	EUROPE	Basque
Orcadian	59	-3	EUROPE	Orcadian
Russian	61	40	EUROPE	Russian
#
# Caucasus
#
Adygei	44	39	EUROPE	Adygei
#
# SAsia
#
Makrani	26	64	CENTRAL_SOUTH_ASIA	Makrani
Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	Brahui
Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	Balochi
Kalash	36	71.5	CENTRAL_SOUTH_ASIA	Kalash
Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	Pathan
Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	Sindhi
Burusho	36.5	74	CENTRAL_SOUTH_ASIA	Burusho
Hazara	33.5	70	CENTRAL_SOUTH_ASIA	Hazara
Uygur	44	81	CENTRAL_SOUTH_ASIA	Uygur
#
# NAsia
#
Yakut	63	129.5	EAST_ASIA	Yakut
Xibo	43.5	81.5	EAST_ASIA	Xibo
Hezhen	47.5	133.5	EAST_ASIA	Hezhen
Oroqen	50.4	126.5	EAST_ASIA	Oroqen
#
# EAsia
#
Cambodian	12	105	EAST_ASIA	Cambodian
Tu	36	101	EAST_ASIA	Tu
Mongolian	48.5	119	EAST_ASIA	Mongola
Daur	48.5	124	EAST_ASIA	Daur
Dai	21	100	EAST_ASIA	Dai
Lahu	22	100	EAST_ASIA	Lahu
Naxi	26	100	EAST_ASIA	Naxi
Yi	28	103	EAST_ASIA	Yi
Tujia	29	109	EAST_ASIA	Tujia
Han	32.3	114	EAST_ASIA	Han
NorthernHan	34.7	107.8	EAST_ASIA	Han
Miao	28	109	EAST_ASIA	Miao
She	27	119	EAST_ASIA	She
Japanese	37.5	139	EAST_ASIA	Japanese
#
# Americas
#
Pima	29	-108	AMERICA	Pima
Maya	19	-91	AMERICA	Mayan
Colombian	3	-68	AMERICA	Piapoco
Karitiana	-10	-63	AMERICA	Karitiana
Surui	-11	-62	AMERICA	Surui
#
# Oceania
#
Bougainville	-6	155	OCEANIA	Nasoi
PapuanSepik	-4	143	OCEANIA	Papuan
PapuanHighlands	-6.1	145.4	OCEANIA	Papuan
