method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.00467213394089353	0.12858172616296384	1.0241462922661522	0.01175629339676533	2.058109942649975e-4	3.957903735865336e-6	0	0.7419354838709677	0.1935483870967742	0.06451612903225806	0.06451612903225806
gcta	0	1	-0.01111619950227079	0.17124565957055196	0.9348791243122	0.00924960882769684	1.4248434651137633e-4	3.9578985142048974e-6	0	0.7741935483870968	0.25806451612903225	0.0967741935483871	0.06451612903225806
gcta-labs	0	1	-0.02934304534155931	0.2347073256233305	0.8439963784464908	0.00537218758328078	2.242809158049442e-5	0	0	0.8064516129032258	0.3225806451612903	0.12903225806451613	0.0967741935483871
pca-plink-pure	20	2	0.01638780063023111	0.07527678011124284	1.0937645708203814	0.01539888413500673	3.4169902252970737e-4	9.235108717019118e-6	1.3193012452884454e-6	0.6774193548387096	0.2258064516129032	0.03225806451612903	0.03225806451612903
gcta	0	2	-0.00409004914596207	0.04186243360495059	0.9768965430275738	0.00943035285984553	1.0686325988353224e-4	1.319299504734966e-6	0	0.8387096774193549	0.2258064516129032	0	0
gcta-labs	0	2	-0.00992477445932507	0.26316418382099027	0.9463564964953723	0.00818097622886152	8.047726978883293e-5	1.319299504734966e-6	0	0.8387096774193549	0.3548387096774194	0.1935483870967742	0.0967741935483871
pca-plink-pure	20	3	0.00296083770714706	0.13199815902355946	1.0179810023379658	0.01130905027461255	1.6755125815163258e-4	1.3193012452884454e-6	0	0.8387096774193549	0.3548387096774194	0.06451612903225806	0.03225806451612903
gcta	0	3	-0.01374414031066131	0.1529234957405455	0.919761415184559	0.00893033834755098	1.0422466087406233e-4	3.9578985142048974e-6	0	0.7741935483870968	0.2903225806451613	0.03225806451612903	0.03225806451612903
gcta-labs	0	3	-0.01754061991639993	0.3362234422249628	0.9039713181505112	0.00671655377860571	3.6940386132579045e-5	0	0	0.8709677419354839	0.5161290322580645	0.16129032258064516	0.16129032258064516
pca-plink-pure	20	4	0.01087191839745978	0.06947610331440791	1.0628333044417166	0.01273785352325994	1.6755125815163258e-4	1.3193012452884454e-6	0	0.7419354838709677	0.1935483870967742	0.03225806451612903	0.03225806451612903
gcta	0	4	-0.00906694638096899	0.16214737623757491	0.9470381854431752	0.00872188902580286	1.002667623598574e-4	0	0	0.7096774193548387	0.3225806451612903	0.0967741935483871	0.0967741935483871
gcta-labs	0	4	-0.0166514375159467	0.13068285831741555	0.910772789669863	0.00716247701120613	5.145268068466367e-5	1.319299504734966e-6	0	0.8064516129032258	0.2903225806451613	0.06451612903225806	0.03225806451612903
pca-plink-pure	20	5	0.00931809599356826	0.07695170601197712	1.053663165945314	0.01251884951654206	1.7942496935922857e-4	1.3193012452884454e-6	0	0.7741935483870968	0.2258064516129032	0.06451612903225806	0
