method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.00356437342890786	0.00643809526129512	1.01879657987731	0.01152805428133043	1.2533361830240232e-4	1.3193012452884454e-6	0	0.4838709677419355	0.0967741935483871	0	0
gcta	0	1	-3.704855422236491e-4	0.01350726778349039	0.9969893568145428	0.01024831855278121	1.0950185889300217e-4	1.319299504734966e-6	0	0.5161290322580645	0.0967741935483871	0	0
pca-plink-pure	20	2	0.00525134491016579	0.00580295190006683	1.0275687097919393	0.01140272066302803	1.4380383573644055e-4	0	0	0.4838709677419355	0.03225806451612903	0	0
gcta	0	2	6.022241602865409e-4	0.01390991355908987	1.004556445794512	0.00996071126074899	8.575446780777279e-5	0	0	0.4838709677419355	0.12903225806451613	0	0
pca-plink-pure	20	3	0.00138331862210173	0.00303116280283834	1.0070489960876174	0.01017577050490978	1.015861958872103e-4	1.3193012452884454e-6	0	0.4516129032258064	0.03225806451612903	0	0
gcta	0	3	4.6811531509783266e-4	0.00781743082020925	1.0044019809403602	0.00982350411225655	8.971236632197769e-5	2.638599009469932e-6	0	0.4838709677419355	0.03225806451612903	0	0
pca-plink-pure	20	4	0.00656550639447653	0.0027257044097491	1.0391789972601608	0.01211250473299321	1.4248453449115212e-4	2.638602490576891e-6	0	0.4516129032258064	0.03225806451612903	0	0
gcta	0	4	5.879793189419098e-4	0.00431689686667792	1.0021525017255433	0.00998182005282475	7.915797028409796e-5	0	0	0.5806451612903226	0.03225806451612903	0	0
pca-plink-pure	20	5	-0.00160882045987147	0.02767041057710808	0.9917713681779824	0.00968103253792661	8.839318343432584e-5	2.638602490576891e-6	0	0.6451612903225806	0.16129032258064516	0	0
gcta	0	5	-0.00142297843725126	0.02536802364924621	0.9898481079996154	0.00992377087461641	1.0422466087406233e-4	1.319299504734966e-6	0	0.6129032258064516	0.16129032258064516	0	0
pca-plink-pure	20	6	0.00623386825466483	0.00256412153401236	1.0347687523186722	0.01214680656537071	1.9657588554797837e-4	2.638602490576891e-6	0	0.41935483870967744	0.03225806451612903	0	0
gcta	0	6	0.00115638662053028	0.00487810599860359	1.0064160617242228	0.0100741710181562	1.1741765592141196e-4	0	0	0.3548387096774194	0.0967741935483871	0	0
pca-plink-pure	20	7	0.00233423207975747	0.00997694880210087	1.014395775408562	0.01033936385932554	8.179667720788362e-5	3.957903735865336e-6	0	0.3870967741935484	0.12903225806451613	0	0
gcta	0	7	4.6306194035392766e-4	0.01564338861794716	1.0041773356758226	0.00970344785732567	7.256147276042312e-5	2.638599009469932e-6	0	0.41935483870967744	0.0967741935483871	0	0
pca-plink-pure	20	8	0.00349136993389181	0.00623667008239468	1.0203652494370703	0.01066786986940237	1.279722207929792e-4	0	0	0.41935483870967744	0.06451612903225806	0	0
gcta	0	8	9.326182452180112e-4	0.00696404940363588	1.0073116317754354	0.00976809353305768	9.367026483618258e-5	0	0	0.5483870967741935	0.06451612903225806	0	0
pca-plink-pure	20	9	0.00122588196572697	0.01603321418180495	1.005361815533866	0.01051878882868477	1.1477920834009476e-4	1.3193012452884454e-6	0	0.5161290322580645	0.0967741935483871	0	0
gcta	0	9	-4.204573305262902e-4	0.02230686187388154	0.9984705513447576	0.00985384800086546	9.498956434091757e-5	0	0	0.5806451612903226	0.06451612903225806	0.03225806451612903	0
pca-plink-pure	20	10	-7.4590208138016e-4	0.01452560365234482	0.9969404767044462	0.00979317314377613	8.971248467961428e-5	0	0	0.5483870967741935	0.12903225806451613	0	0
gcta	0	10	-7.205136849213069e-4	0.04345332383265278	0.9959004416490818	0.00989210768650277	1.0950185889300217e-4	0	0	0.5483870967741935	0.12903225806451613	0.03225806451612903	0.03225806451612903
pca-plink-pure	20	11	0.00420281000206225	0.01373355719858489	1.024393186442572	0.01079452278895006	1.3456872701942142e-4	1.3193012452884454e-6	0	0.5161290322580645	0.0967741935483871	0	0
gcta	0	11	7.88978999889957e-4	0.04016006672553094	1.003770259419438	0.00977337073107662	1.0422466087406233e-4	0	0	0.5806451612903226	0.06451612903225806	0.03225806451612903	0.03225806451612903
pca-plink-pure	20	12	0.00498620795618587	0.00611635917472244	1.0275044624042473	0.01125627822480101	1.3720732950999834e-4	1.3193012452884454e-6	0	0.4838709677419355	0.06451612903225806	0	0
gcta	0	12	-5.267288155239366e-4	0.00908216607288426	0.996868323534705	0.00987363749343648	9.498956434091757e-5	2.638599009469932e-6	0	0.4838709677419355	0.12903225806451613	0	0
pca-plink-pure	20	13	0.00410931919109444	0.01412119993112407	1.0226065627076069	0.01092777221472419	1.1741781083067164e-4	1.3193012452884454e-6	0	0.5483870967741935	0.0967741935483871	0	0
gcta	0	13	-3.444978856510867e-4	0.01682927728842604	0.999920687952572	0.00989210768650277	1.0290536136932734e-4	0	0	0.6129032258064516	0.0967741935483871	0	0
pca-plink-pure	20	14	0.00356964007984089	0.01060813265181658	1.0222580461353648	0.01061113991585496	9.498968966076808e-5	1.3193012452884454e-6	0	0.3870967741935484	0.0967741935483871	0	0
gcta	0	14	4.228591742125636e-4	0.01687485322849083	1.0016666105576904	0.00993696386966376	8.047726978883293e-5	0	0	0.41935483870967744	0.0967741935483871	0.03225806451612903	0
pca-plink-pure	20	15	0.00519448964010252	0.00371694570192568	1.029912182489921	0.01136841883065053	1.6359335441576723e-4	0	0	0.4838709677419355	0.03225806451612903	0	0
gcta	0	15	8.419373524251935e-4	0.00486775513382726	1.0052119436952238	0.00976545493404821	9.498956434091757e-5	0	0	0.5161290322580645	0.06451612903225806	0	0
pca-plink-pure	20	16	0.004183112469523	0.00608144500963011	1.02453564523466	0.01115073412517794	1.108213046042294e-4	1.3193012452884454e-6	0	0.4516129032258064	0.06451612903225806	0	0
gcta	0	16	-2.989083322721242e-4	0.01715156662427072	0.9994495754284484	0.00977469003058136	9.23509653314476e-5	0	0	0.4516129032258064	0.0967741935483871	0	0
pca-plink-pure	20	17	0.00844615832273441	0.00222644074498773	1.042419396286267	0.01418248838685078	3.707236499260532e-4	1.978951867932668e-5	1.3193012452884454e-6	0.41935483870967744	0.03225806451612903	0	0
gcta	0	17	0.00182682688880304	0.00424311801364869	1.0096447129658557	0.01067709089182008	1.306106509687616e-4	5.277198018939864e-6	0	0.4838709677419355	0.03225806451612903	0	0
pca-plink-pure	20	18	0.00445969108067939	0.01068988786430068	1.024925106699258	0.01107421465295121	1.2005641332124851e-4	1.3193012452884454e-6	0	0.5806451612903226	0.0967741935483871	0	0
gcta	0	18	-2.911326832155009e-4	0.00967795515809975	0.9989180186322506	0.01008340611468934	9.630886384565252e-5	0	0	0.5161290322580645	0.06451612903225806	0	0
pca-plink-pure	20	19	0.00744890850833909	0.00765803889360524	1.039543741198215	0.01254523554144782	2.2560051294432415e-4	2.638602490576891e-6	0	0.5806451612903226	0.06451612903225806	0	0
gcta	0	19	4.0892027056854354e-4	0.01351034025633359	1.0021384832314926	0.00992904807263535	9.23509653314476e-5	1.319299504734966e-6	0	0.6129032258064516	0.12903225806451613	0	0
pca-plink-pure	20	20	-0.00153036981403221	0.00645515807763798	0.990626354575326	0.01007550361026785	1.306108232835561e-4	0	0	0.5483870967741935	0.0967741935483871	0	0
gcta	0	20	-9.36803327354156e-4	0.00822513153054295	0.995105242597367	0.01008472541419408	1.1741765592141196e-4	1.319299504734966e-6	0	0.5483870967741935	0.06451612903225806	0	0
pca-plink-pure	20	21	0.00309786780203765	0.0521725194719509	1.016164810592227	0.01082486671759169	1.1214060584951786e-4	0	0	0.4516129032258064	0.0967741935483871	0.03225806451612903	0.03225806451612903
