method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.00703984773329303	0.03051563733944254	1.0361566941512776	0.0126332094421201	1.9790928629953176e-4	3.958185725990635e-6	0	0.5294117647058824	0.08235294117647059	0.02352941176470588	0
gcta	0	1	-5.187726268886966e-4	0.04931003502944212	1.000051321998681	0.01000628031306569	8.839936458008982e-5	1.3193935011953703e-6	0	0.5411764705882353	0.1176470588235294	0.01176470588235294	0
pca-plink-pure	20	2	0.01018934244593797	0.02244520401803469	1.05250256345842	0.01517436467820609	4.076931297770354e-4	1.451334766196566e-5	0	0.5411764705882353	0.0588235294117647	0	0
gcta	0	2	8.083473442376636e-4	0.06644065023371284	1.0039527270123976	0.01019495358373662	9.89545125896528e-5	2.638787002390741e-6	0	0.5647058823529412	0.12941176470588237	0	0
pca-plink-pure	20	3	0.00951996776274095	0.0148624278838069	1.0538667929083914	0.0131860360485168	2.308941673494537e-4	3.958185725990635e-6	0	0.4941176470588235	0.02352941176470588	0	0
gcta	0	3	7.527796158431936e-4	0.03123062050449036	1.0056194457991443	0.00966587678975728	7.916361007172223e-5	1.3193935011953703e-6	0	0.4941176470588235	0.1411764705882353	0	0
pca-plink-pure	20	4	0.00797474172374007	0.00959234680429848	1.0401102409841931	0.01346178965409414	2.665178388833694e-4	2.6387904839937568e-6	0	0.4705882352941176	0.04705882352941176	0	0
gcta	0	4	4.415976561135812e-4	0.05134746805205811	1.0003172939558025	0.01007752756213024	8.312179057530834e-5	0	0	0.4588235294117647	0.10588235294117648	0.02352941176470588	0.02352941176470588
pca-plink-pure	20	5	0.00382948735087143	0.04248042286402048	1.0218953968136095	0.01101695027067393	1.213843622637128e-4	0	0	0.4823529411764706	0.10588235294117648	0.01176470588235294	0.01176470588235294
gcta	0	5	-0.00217851181752198	0.05123631133907504	0.988015423764924	0.00948116169958993	9.103815158248055e-5	1.3193935011953703e-6	0	0.5764705882352941	0.16470588235294115	0	0
