method	pc	rep	rmsd	auc	lambda
pca-plink-pure	20	1	0.0020664197287676	0.01952948781714403	1.0124971621532903
gcta	0	1	4.1123358966097505e-4	0.02610261862951013	1.0002286309194337
pca-plink-pure	20	2	0.00250418832093584	0.01175385139041246	1.0151337788357528
gcta	0	2	6.946830026367149e-4	0.01542943471549998	1.0038451149968284
pca-plink-pure	20	3	-0.00124475591752759	0.10298420569682616	0.9908812340793692
gcta	0	3	-3.3003939266152587e-4	0.06829306515661841	0.9996967727542214
pca-plink-pure	20	4	0.00362250170436682	0.06622519927284842	1.020069362113984
gcta	0	4	4.6452466670859774e-4	0.09792324483236615	1.0030172514122504
pca-plink-pure	20	5	0.00409648566468825	0.05276848742728524	1.0233228358576858
gcta	0	5	1.8997415752226057e-4	0.07129337465363497	1.001437740502731
pca-plink-pure	20	6	0.00481540612417633	0.0996659651489105	1.0262510386043255
gcta	0	6	7.073396308303925e-4	0.08792947513413678	1.0011622127788753
pca-plink-pure	20	7	0.00139606622070308	0.06225729357280426	1.0082265565282376
gcta	0	7	2.7817743018964823e-4	0.08913704592904971	1.0011668822806377
pca-plink-pure	20	8	0.00550594347833914	0.03970722152767109	1.0315267877432432
gcta	0	8	3.1507840589888795e-4	0.05450463220723313	1.001624570346897
pca-plink-pure	20	9	0.00722074332268203	0.03567683997269756	1.041099760174107
gcta	0	9	6.754438252570031e-4	0.07591933231115343	1.0032370310944896
pca-plink-pure	20	10	0.00599696461062739	0.0237959967829506	1.031691453031139
gcta	0	10	-6.655582085865887e-4	0.0963276992924708	0.997976642210622
pca-plink-pure	20	11	0.00799809650743221	0.02509068495690434	1.0423520626230356
gcta	0	11	7.484811226213842e-4	0.07512926043523051	1.001699309387315
pca-plink-pure	20	12	0.00616393344556492	0.03331234150651638	1.031431338446568
gcta	0	12	-3.6433524446394586e-4	0.04694839756320537	0.9995148685137668
pca-plink-pure	20	13	0.00939909196329131	0.1314280233488259	1.0556497709792636
gcta	0	13	5.193266012824282e-4	0.09828583196482224	1.004518998180289
pca-plink-pure	20	14	0.00567081137554716	0.03267687096391013	1.030854008557763
gcta	0	14	5.499897306128004e-4	0.06835661862509865	1.0025591001559837
pca-plink-pure	20	15	0.00376727701396385	0.05307542621202643	1.0224666714512205
gcta	0	15	-5.775009563461459e-4	0.07736623985117495	0.9963191528461084
pca-plink-pure	20	16	0.00318114262869066	0.08284343251659479	1.0169132004745218
gcta	0	16	-0.01026596352890208	0.03994071502553585	0.9415498184731116
pca-plink-pure	20	17	0.00770438614419825	0.05023352011038541	1.0449298607190478
gcta	0	17	6.747575028306773e-4	0.095606233610319	1.0049824839922612
pca-plink-pure	20	18	0.0039799018076634	0.08917282212494915	1.0235956855008634
gcta	0	18	-0.00142466286372354	0.03410353142512232	0.9912335094909211
pca-plink-pure	20	19	0.00426286925637093	0.12121593269644255	1.0214333332885004
gcta	0	19	4.4717257736076946e-4	0.13019872313028	1.0015731896110631
pca-plink-pure	20	20	0.00692505700335988	0.05020175771284727	1.0373351249347271
gcta	0	20	0.00134184890633004	0.09151079160898978	1.0080904524497716
pca-plink-pure	20	21	0.00136015535232245	0.08969365952499905	1.0070912020270488
gcta	0	21	-0.00128703512047854	0.10792109629721694	0.9920403769163462
pca-plink-pure	20	22	0.00405895678294208	0.02611699480600888	1.0243551998837646
gcta	0	22	4.968881699888582e-4	0.03905612225046871	1.0033773343326542
pca-plink-pure	20	23	8.093846219745281e-4	0.01691744515673144	1.0046945426616298
gcta	0	23	-6.66812093297765e-4	0.01855672845409932	0.9972733614326016
pca-plink-pure	20	24	0.00301954308467612	0.02059898700146106	1.0160892857338917
gcta	0	24	5.014327858954829e-4	0.016814385195116	1.0050293094031866
pca-plink-pure	20	25	0.00997775362205802	0.04431383558472492	1.0545651635083857
gcta	0	25	3.07813115101213e-4	0.11898067829066378	1.000779367563962
pca-plink-pure	20	26	0.00708139077478183	0.01704725913616217	1.0418135087175937
gcta	0	26	6.217669789142703e-4	0.07829421088777624	1.0056241304310556
pca-plink-pure	20	27	0.00453565647913655	0.07562161681348298	1.0252291520294148
gcta	0	27	2.7987443061081827e-4	0.08860875291593577	1.0009894523551837
pca-plink-pure	20	28	0.00704056212720026	0.01861716072310897	1.0379534766037548
gcta	0	28	-8.204159935001124e-4	0.01410655156593643	0.9933676427018904
pca-plink-pure	20	29	0.00736511921988152	0.01575505227550631	1.0402110825719433
gcta	0	29	7.041290551578245e-4	0.06312467775188567	1.0031622085426946
pca-plink-pure	20	30	0.00334075017367314	0.07096945072597013	1.0184395581462045
gcta	0	30	7.503978196612932e-4	0.09536626557555516	1.005113599148754
pca-plink-pure	20	31	0.0069614055265718	0.04748473284035359	1.0387375912223051
gcta	0	31	0.0010836704708208	0.04910157847827298	1.007466422618279
pca-plink-pure	20	32	0.00941744207202707	0.04846357549618352	1.052015828227154
gcta	0	32	5.521794363470371e-4	0.07000169383839791	1.000419963562341
pca-plink-pure	20	33	0.00551831163297833	0.05668697198960996	1.0319205846865809
gcta	0	33	8.415815234705522e-4	0.06463818525544487	1.003213648610517
pca-plink-pure	20	34	0.00141409748535812	0.03638481042782101	1.0079567080489915
gcta	0	34	-4.942851406961046e-4	0.05144758623157076	0.9973012994890474
pca-plink-pure	20	35	0.00950735521494837	0.01088253797071121	1.0552468897929106
gcta	0	35	4.8513386136369256e-4	0.02216485424973878	1.0027460822609324
pca-plink-pure	20	36	0.00226081839432882	0.07313328361461609	1.014329775044874
gcta	0	36	-0.00130595983648165	0.0778252820811462	0.992880210170011
pca-plink-pure	20	37	0.00695515370704127	0.03626835445176412	1.0358622404245603
gcta	0	37	7.116094279617214e-4	0.07065875328902577	1.0016759530011623
pca-plink-pure	20	38	0.00357910971392935	0.05166451452424149	1.0193263702071742
gcta	0	38	-9.0789181739117e-4	0.07341253877193074	0.9961004766007676
