method	pc	rep	rmsd	auc	lambda
pca-plink-pure	20	1	0.00777717861530557	0.09481127565176752	1.041241519916059
gcta	0	1	-0.00128433107803401	0.165018664910565	0.9912033771204356
pca-plink-pure	20	2	0.01253669172385565	0.03070209806907866	1.0670575288512445
gcta	0	2	-0.00206666283365129	0.11945321136910302	0.9886630610913724
pca-plink-pure	20	3	0.01127204146300985	0.02673197785121436	1.056370872569919
gcta	0	3	-0.00281709996835726	0.10375044273951783	0.9837948277936792
pca-plink-pure	20	4	0.00833096377402028	0.05091622070301845	1.047020091443471
gcta	0	4	-8.121219830573387e-4	0.08782857423279598	0.9940828579610884
pca-plink-pure	20	5	0.01276104028486246	0.0546920491862627	1.0588793541811308
gcta	0	5	-0.00659653034377169	0.13087944592280956	0.960252028397912
pca-plink-pure	20	6	0.0087412955265389	0.05424858018499112	1.046313359510098
gcta	0	6	3.572915639303605e-4	0.10296593440780184	1.0017320089938695
pca-plink-pure	20	7	0.00982259295467477	0.03920780597500849	1.0539031579289952
gcta	0	7	-4.091304184681528e-4	0.11403319152048838	0.9988923785483712
pca-plink-pure	20	8	0.01183908274122753	0.02986464668165126	1.0636288236554174
gcta	0	8	-5.04076385653696e-4	0.10949595647292736	0.9999276858903292
pca-plink-pure	20	9	0.00873054131371064	0.09157097816921451	1.0471262522572713
gcta	0	9	-9.8219859712274e-4	0.1435802483788046	0.9949007046059812
pca-plink-pure	20	10	0.00674762438649761	0.0487496065333864	1.035352478348673
gcta	0	10	3.1883401684405934e-4	0.0908799204827816	1.0002869612209777
pca-plink-pure	20	11	0.00996987161358276	0.01976247362554289	1.0480023822063231
gcta	0	11	0.00167835146147814	0.06385173524160531	1.0088274519081852
pca-plink-pure	20	12	0.01154192251679257	0.04712438676339518	1.0596629416742236
gcta	0	12	-0.00154912235113026	0.16641116960849206	0.9908117167703894
pca-plink-pure	20	13	0.00421341714915248	0.09699604461043172	1.0228010111295651
gcta	0	13	-0.0036744897578615	0.10333004697898472	0.9779083919863936
pca-plink-pure	20	14	0.00790572075562615	0.08192893008844018	1.046007138004844
gcta	0	14	3.4903200338172577e-4	0.12380929680151564	1.001176221331709
pca-plink-pure	20	15	0.00622650660399222	0.07852022617650602	1.0337860560677
gcta	0	15	-4.056985079544507e-4	0.13285787735276666	0.9969753908910712
pca-plink-pure	20	16	0.01371966647322514	0.03710882007687188	1.0702957884257611
gcta	0	16	-0.0049456854767998	0.06864512220458689	0.9719491766125248
pca-plink-pure	20	17	0.00909806101955879	0.073733111375921	1.0500995654318346
gcta	0	17	-0.00140607958008822	0.15429543749551558	0.9900866304879504
pca-plink-pure	20	18	0.00645833509133766	0.085176924553421	1.0358526657272116
gcta	0	18	-2.2579157743592596e-4	0.13257500702160704	0.9988923785483712
pca-plink-pure	20	19	0.00698129332593744	0.07191502386772086	1.0391286124162515
gcta	0	19	-0.00177706695504203	0.096490536197064	0.9902811845382504
pca-plink-pure	20	20	0.00703464003979049	0.05808458168064197	1.040588101810855
gcta	0	20	9.038100635149088e-4	0.08089052566314307	1.0062684187749962
pca-plink-pure	20	21	0.00825699898677487	0.09078767269423677	1.0446697017796986
gcta	0	21	9.705725038472472e-4	0.13286856631279176	1.0073749532059215
pca-plink-pure	20	22	0.01146449150989243	0.02561089803207606	1.0606150183764775
gcta	0	22	0.0014478442670905	0.12530065007392235	1.009109211526794
pca-plink-pure	20	23	0.00329996945159936	0.1804653453536385	1.0186547059748914
gcta	0	23	-0.00137608919370523	0.15298260823235885	0.991525596133746
pca-plink-pure	20	24	0.0088115403769759	0.05188686784955315	1.0491279043376756
gcta	0	24	0.00148739796362374	0.10228807780292576	1.012631345964934
pca-plink-pure	20	25	0.01170638650954033	0.02753036101623134	1.0625649773296224
gcta	0	25	-0.00297798132323919	0.07805333056140111	0.98129589610388
pca-plink-pure	20	26	0.00681493237552917	0.08073142142419623	1.0372584490581125
gcta	0	26	-0.00114643198940299	0.1035397728444658	0.99277578293352
pca-plink-pure	20	27	0.01100591146163957	0.01719066389128488	1.0507670608770392
gcta	0	27	-0.00107554550302375	0.1037315369973913	0.9937089488185888
pca-plink-pure	20	28	0.01097768153644825	0.02483294869712276	1.056880962400099
gcta	0	28	-9.94231416470083e-4	0.14649447200662513	0.9946520461407584
pca-plink-pure	20	29	0.0068525449231574	0.10638955680808322	1.0380134088162067
gcta	0	29	7.268495679123546e-4	0.1555827749586937	1.0049169310874326
pca-plink-pure	20	30	0.00791797863702071	0.1038034166933072	1.0402951227296062
gcta	0	30	-0.00164846294386374	0.14432203664256324	0.9879876747527884
pca-plink-pure	20	31	0.00867641219154328	0.03582113149557944	1.0469332385053456
gcta	0	31	4.151567403006741e-4	0.09708362137901526	1.000536642875899
pca-plink-pure	20	32	0.00763405846115623	0.063393678451422	1.0420298673305546
gcta	0	32	-0.00113728798892301	0.08136338299909796	0.9955144102099136
pca-plink-pure	20	33	0.00539694518170247	0.12503723052347662	1.0294903541101987
gcta	0	33	-4.278279970800217e-4	0.16123614255789778	0.9966681765447704
pca-plink-pure	20	34	0.00881356108499001	0.0925589233690097	1.049560477334763
gcta	0	34	-0.00191603770342792	0.15547235374578203	0.987654730660112
pca-plink-pure	20	35	0.01190100790402006	0.04160058336116316	1.060481056239852
gcta	0	35	4.581435332374084e-4	0.14028904741556353	1.0003102940345243
pca-plink-pure	20	36	0.00878842961074009	0.04541550086342467	1.0442000913748068
gcta	0	36	0.00123679407237433	0.19633446605552024	1.0036135437212843
pca-plink-pure	20	37	0.00635997815893477	0.08770493288309598	1.0386464484820372
gcta	0	37	-4.861678075989163e-4	0.1246362150002272	0.9994425799247424
pca-plink-pure	20	38	0.0130419239275186	0.02684658467559839	1.060992615523993
gcta	0	38	-0.0040517116476647104	0.10175750040200517	0.9753309316772796
pca-plink-pure	20	39	0.01102823522969312	0.01864461523596837	1.057053462585822
gcta	0	39	3.0025319301965516e-4	0.09946281388225402	1.0008844059486026
pca-plink-pure	20	40	0.01041887429852399	0.03634282540480195	1.0519286693433518
gcta	0	40	-4.142795552895394e-4	0.17654649549061224	0.999141806953378
pca-plink-pure	20	41	0.01079474555848947	0.0180068940595165	1.0569489881530547
gcta	0	41	0.00104423019238531	0.06769580933902833	1.004577510524432
pca-plink-pure	20	42	0.00569059956163782	0.10253179908978388	1.0339079591736862
gcta	0	42	-0.00135189509945741	0.1292714990558364	0.9936067802382994
pca-plink-pure	20	43	0.00792254648492491	0.07466264984885793	1.0423135876834635
gcta	0	43	0.00107423848806607	0.11144361996355316	1.004015894499922
pca-plink-pure	20	44	0.00703588130617983	0.0597590876752538	1.0417558186794549
gcta	0	44	-8.50759926719461e-4	0.13616350904423105	0.9946566935485444
pca-plink-pure	20	45	0.00521669110715912	0.1533533024236133	1.030069506907189
gcta	0	45	-5.794106495388663e-4	0.17102838136701554	0.9964610784331478
pca-plink-pure	20	46	0.00907382842636044	0.03371246945717945	1.0471962262287549
gcta	0	46	0.00109887574461196	0.09886159740091029	1.0070888572188037
pca-plink-pure	20	47	0.01038464045059748	0.0133614112587278	1.0510815695056777
gcta	0	47	-9.588002248205468e-4	0.06050342815979356	0.995809737743909
pca-plink-pure	20	48	0.01128699679490081	0.06287352842865647	1.0618456208478046
gcta	0	48	0.0010119518715652	0.08177290965905609	1.0059825519205063
pca-plink-pure	20	49	0.01209462166797345	0.02939640289228912	1.057804445652314
gcta	0	49	0.00216462105264843	0.06270914459017489	1.0106128993185153
pca-plink-pure	20	50	0.01018587564075117	0.03384763136296495	1.056098899194693
gcta	0	50	-6.999993770570387e-4	0.08201445298674086	0.9956795067354256
