method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.19083758893563948	0.02640074388742604	3.13626765470795
pca-plink-pure	1	1	0.13827937374049656	0.0365215078819981	2.2588660984100373
pca-plink-pure	2	1	0.07685577290551567	0.04161614639977108	1.5395709719077604
pca-plink-pure	3	1	0.0237007943241347	0.06808266748850156	1.1444484233157852
pca-plink-pure	4	1	0.00881654546445519	0.1034833720001476	1.0510476960033228
pca-plink-pure	5	1	0.00937117486085042	0.10432061816967536	1.0541916866532204
pca-plink-pure	6	1	0.0051049346917565	0.10922622242080936	1.0302149284995934
pca-plink-pure	7	1	-0.0019129986214814	0.10687473079752095	0.9878720599484728
pca-plink-pure	8	1	-0.00284908006033459	0.10848287796121468	0.9827854889770696
pca-plink-pure	9	1	-0.00255660631141802	0.10652403103216052	0.9833085002002444
pca-plink-pure	10	1	-0.00269048641197986	0.11321165212261272	0.982407755910959
pca-plink-pure	11	1	-0.00329123951561842	0.10973281581599752	0.9804171817528486
pca-plink-pure	12	1	-0.00361983864769065	0.11019984954898884	0.9794310316907464
pca-plink-pure	13	1	-0.00352363953879875	0.1075129986785686	0.9794034573867432
pca-plink-pure	14	1	-0.00458906126920373	0.10982447387278745	0.9733347170491982
pca-plink-pure	15	1	-0.00492305017509625	0.11045180208856745	0.9712889167238205
pca-plink-pure	16	1	-0.00428455536139221	0.1089805249175984	0.9751591228753392
pca-plink-pure	17	1	-0.00481192792620576	0.11171624938777626	0.9725274552215512
pca-plink-pure	18	1	-0.00555756127870501	0.11338816073587986	0.9695974785718026
pca-plink-pure	19	1	-0.00596860776290545	0.10907500409975802	0.9670608865709032
pca-plink-pure	20	1	-0.00585113639435763	0.10862688533760788	0.9678215895294964
pca-plink-pure	21	1	-0.00613992962354533	0.10481794343328424	0.9652837971880106
pca-plink-pure	22	1	-0.00620625021946556	0.1028812212855622	0.9643268281766216
pca-plink-pure	23	1	-0.0062983727645758	0.0999371254475618	0.965001863628428
pca-plink-pure	24	1	-0.00628129396399402	0.09903389936000884	0.9648040907761474
pca-plink-pure	25	1	-0.00629357846198025	0.10079027758370808	0.9649609427143322
pca-plink-pure	26	1	-0.00627044191132956	0.10106144209162438	0.965274701632062
pca-plink-pure	27	1	-0.00629750659944818	0.1013722340940962	0.9652542368566596
pca-plink-pure	28	1	-0.00629456927360275	0.10327122842819632	0.9648086369509764
pca-plink-pure	29	1	-0.0063810262121179	0.10271831443381302	0.964547256931606
pca-plink-pure	30	1	-0.00409364007021976	0.09807193854363708	0.9781907433388944
pca-plink-pure	31	1	-0.00656789590601077	0.09909209036989795	0.9634591002443462
pca-plink-pure	32	1	-0.00659474263533377	0.0979300990225556	0.9634318508762992
pca-plink-pure	33	1	-0.00673411214619188	0.10059300787510664	0.9625034328770256
pca-plink-pure	34	1	-0.00869277976621144	0.0971200193591776	0.9519008941509326
pca-plink-pure	35	1	-0.0086741876910676	0.09707922679304058	0.9516397788493728
pca-plink-pure	36	1	-0.00867961613163895	0.09689225066414724	0.9517748320798376
pca-plink-pure	37	1	-0.00868924032149806	0.09878258776284204	0.9517253109676332
pca-plink-pure	38	1	-0.00870848100276962	0.09846419575720795	0.9518198528748212
pca-plink-pure	39	1	-0.0087366420802783	0.09635724144000424	0.9508612397344968
pca-plink-pure	40	1	-0.00876869910302001	0.09654857372894686	0.9507577689071066
pca-plink-pure	41	1	-0.00869494064818972	0.09741295600056624	0.95138321553814
pca-plink-pure	42	1	-0.00865140816149954	0.0960779768447924	0.9512662031181396
pca-plink-pure	43	1	-0.00850054781250167	0.09481409067207255	0.9519571757236862
pca-plink-pure	44	1	-0.00848982647163799	0.0948056226053745	0.9522769002943812
pca-plink-pure	45	1	-0.00848784612301772	0.0947735645929328	0.9521643124445164
pca-plink-pure	46	1	-0.00848416857664501	0.0947138491606228	0.9523534654813955
pca-plink-pure	47	1	-0.00863514192804646	0.09429668224912743	0.9501168794026608
pca-plink-pure	48	1	-0.00872520630858901	0.09416410127518324	0.9495100063596208
pca-plink-pure	49	1	-0.00867407210849209	0.09381979076570926	0.949581917551016
pca-plink-pure	50	1	-0.00865413055448697	0.09304326209668604	0.9510007131768018
pca-plink-pure	51	1	-0.00872365414092535	0.09387829003277992	0.9494111348380292
pca-plink-pure	52	1	-0.00865660342488036	0.09155794817521888	0.949613379923415
pca-plink-pure	53	1	-0.00861968753345771	0.09193968682759789	0.950260771502518
pca-plink-pure	54	1	-0.00876074661160428	0.0927233460168778	0.9493392329068214
pca-plink-pure	55	1	-0.00853690734010767	0.09667862522698574	0.951538497937316
pca-plink-pure	56	1	-0.00853740462607176	0.09683000498279644	0.9515857614018378
pca-plink-pure	57	1	-0.00851773677939832	0.09692364351874432	0.9518401127303644
pca-plink-pure	58	1	-0.00850522661201952	0.09644882246511204	0.9511222019855878
pca-plink-pure	59	1	-0.0085481874378534	0.0954361268801363	0.9510997032193084
pca-plink-pure	60	1	-0.00852686441528022	0.09658180764477677	0.9508589902829212
pca-plink-pure	61	1	-0.0086748503023258	0.09423965390205856	0.9509872151064808
pca-plink-pure	62	1	-0.00854588171872957	0.093568036902988	0.9502135551871236
pca-plink-pure	63	1	-0.00850904194233945	0.09599691102239508	0.9517928402147344
pca-plink-pure	64	1	-0.0085233475064728	0.09706109946499351	0.9516262742815332
pca-plink-pure	65	1	-0.00846557244165362	0.09513033803758068	0.95255390700642
pca-plink-pure	66	1	-0.00846882724640392	0.09814583753999712	0.9526800430122668
pca-plink-pure	67	1	-0.00845368332161723	0.09926735969137324	0.952634993064646
pca-plink-pure	68	1	-0.00855138755193929	0.1027363249874728	0.9516015162637712
pca-plink-pure	69	1	-0.00850376025567607	0.10506306290773292	0.9520089568764944
pca-plink-pure	70	1	-0.00851283654522504	0.10507604910276323	0.952319686178631
pca-plink-pure	71	1	-0.00853387892519278	0.10472976106625564	0.9522543819612478
pca-plink-pure	72	1	-0.00855856634998345	0.09960631858467872	0.951396717634714
pca-plink-pure	73	1	-0.00855815681271664	0.09962055350960523	0.951407969486726
pca-plink-pure	74	1	-0.0085636197799724	0.10032368225604242	0.9514282230605908
pca-plink-pure	75	1	-0.00857541746334951	0.09986487586714513	0.952173319121459
pca-plink-pure	76	1	-0.00877079131107402	0.10323094538294549	0.9503821926003556
pca-plink-pure	77	1	-0.00877291163064348	0.10308811666640466	0.9503754466923268
pca-plink-pure	78	1	-0.00876351113744132	0.1030642309468383	0.9503731980639376
pca-plink-pure	79	1	-0.00875923416422541	0.10300081087010313	0.949939284110095
pca-plink-pure	80	1	-0.00876105620563169	0.10298123160793224	0.950114631212417
pca-plink-pure	81	1	-0.00880776910227035	0.10287060294815552	0.9499932345962444
pca-plink-pure	82	1	-0.00881109492649812	0.10297513259276526	0.9498156558543532
pca-plink-pure	83	1	-0.0088021046308323	0.10528974987561142	0.9506543061447682
pca-plink-pure	84	1	-0.00879628404414347	0.10628715029893224	0.9508342465671684
pca-plink-pure	85	1	-0.00879207549103726	0.10685990858133652	0.9506970397863964
pca-plink-pure	86	1	-0.00879288643466402	0.10692892429570831	0.9505306112534916
pca-plink-pure	87	1	-0.00874388019143893	0.0976178678479076	0.9511469510688428
pca-plink-pure	88	1	-0.00880084301171709	0.09979454226164636	0.9505058736585889
pca-plink-pure	89	1	-0.00882283908820502	0.09531421448851136	0.9502090584828085
pca-plink-pure	90	1	-0.00889225695709739	0.09425371862094269	0.9496336061283795
gcta	0	1	-0.0051126021756549	0.11044746501051482	0.9675641777436874
gcta	1	1	-0.00620037991540953	0.10691125311928058	0.9612310257316988
gcta	2	1	-0.00692321451252106	0.10923712680539874	0.9573215938930254
gcta	3	1	-0.00631879916612032	0.099835822509285	0.9624376281604116
gcta	4	1	-0.00750269160020777	0.11207021415652078	0.9561308941287016
gcta	5	1	-0.010681536572020041	0.105897548994161	0.9379161763223478
gcta	6	1	-0.01238501352113504	0.10808835939901916	0.9273845422012176
gcta	7	1	-0.01601421525491612	0.10950323228341084	0.908647543485126
gcta	8	1	-0.03120019570819147	0.1031272206223125	0.8313644311135426
gcta	9	1	-0.03216770069919032	0.10533685411185774	0.8255670876942344
gcta	10	1	-0.0326012137119116	0.10383095482478098	0.8239018780453403
gcta	11	1	-0.03345616034691246	0.1082910450850392	0.8179217781809952
gcta	12	1	-0.03392667478389277	0.10726425816280404	0.816275262720779
gcta	13	1	-0.0351299874541419	0.1075674861993995	0.8104780478067466
gcta	14	1	-0.0354223885152777	0.1130045578706928	0.8090869048588862
gcta	15	1	-0.03583900532340438	0.1108583189074988	0.8068488329053086
gcta	16	1	-0.03617956280699428	0.11366163841176992	0.8057083463208538
gcta	17	1	-0.03662766342591415	0.1131030546797232	0.8035706536577165
gcta	18	1	-0.03649612747363	0.11599278966683887	0.8036786461570268
gcta	19	1	-0.03685051183877736	0.11535432926736602	0.8021516735606736
gcta	20	1	-0.03725798201740556	0.11567624234522966	0.800850117251357
gcta	21	1	-0.03766487365330168	0.11578079866781256	0.7990419136079716
gcta	22	1	-0.03809868470575661	0.1126309327142138	0.7967234447551277
gcta	23	1	-0.03851099197021707	0.11190669457892602	0.7944710746691668
gcta	24	1	-0.03892439871535169	0.11177976762089892	0.7926132630342108
gcta	25	1	-0.03933932972992749	0.11337218977216253	0.7904894335212841
gcta	26	1	-0.03978555237787994	0.110252324196792	0.7861134993240856
gcta	27	1	-0.04021994508286675	0.11042132385451175	0.7847057417502282
gcta	28	1	-0.04061518400828302	0.1058875403446782	0.7826022240676354
gcta	29	1	-0.04105344128446377	0.1064206080612548	0.7805142961940111
gcta	30	1	-0.04149423577223208	0.106260464582233	0.7786650115457857
gcta	31	1	-0.04195716318924717	0.10507896766081223	0.7761642016540854
gcta	32	1	-0.04235956772554132	0.10466634661218284	0.7736844226986995
gcta	33	1	-0.04276162779818665	0.10558431247514138	0.7713169696158757
gcta	34	1	-0.04322682614912179	0.1060023123826294	0.769565955584626
gcta	35	1	-0.04369167443166976	0.10730484314278288	0.7671605151846845
gcta	36	1	-0.0441402395108158	0.10554088638762268	0.7645532608023575
gcta	37	1	-0.04459049048308061	0.10574437427697216	0.7622973187005408
gcta	38	1	-0.0450675026830253	0.10478699454231262	0.7601383006796488
gcta	39	1	-0.04558050642736525	0.10434939153344425	0.757693189285393
gcta	40	1	-0.04605714054765714	0.10414703348071536	0.7553856885969003
gcta	41	1	-0.04653997650683752	0.10455602763199932	0.7531498995680411
gcta	42	1	-0.0470250365894929	0.10458826161818992	0.7501681279293025
gcta	43	1	-0.0475237278976731	0.10445607734131385	0.747843659362666
gcta	44	1	-0.0479925473928271	0.1040163235984622	0.7463093800351498
gcta	45	1	-0.04840644976696515	0.10369590891786935	0.7431712690051223
gcta	46	1	-0.04892043410411031	0.10477381935263852	0.7407364187978991
gcta	47	1	-0.04943678068820962	0.10418444923597309	0.7383314591839294
gcta	48	1	-0.04980138827971501	0.10414547973295984	0.7353759223334783
gcta	49	1	-0.0500425913647436	0.1089212020562906	0.7328322527020994
gcta	50	1	-0.05055602460026894	0.10796065566237271	0.7295129013318873
gcta	51	1	-0.05114609060226829	0.1080311963125054	0.7272089715058982
gcta	52	1	-0.05173586105698684	0.10802879187148784	0.7246356668044278
gcta	53	1	-0.0523218478717096	0.10812819937067832	0.7225467604898279
gcta	54	1	-0.05286823211805309	0.10231653460020304	0.7201497469149726
gcta	55	1	-0.05342903896215885	0.10265816295038802	0.7166909601727427
gcta	56	1	-0.05393553426299756	0.10763328934075526	0.7141461358699936
gcta	57	1	-0.05454506687896571	0.10722914673561634	0.7119206443812344
gcta	58	1	-0.05515900569445006	0.10871847982277448	0.7090542305581768
gcta	59	1	-0.05573299503039069	0.10659199830261318	0.7061477859081001
gcta	60	1	-0.05632081979523745	0.10743613843783743	0.7036680478379772
