method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	0	1	0.0921560192957296	0.10045508579157604	1.7275213488244836	0.03880880880880881	8.808808808808808e-4	1.001001001001001e-5	0	0.38	0.1	0.02	0.02
pca-plink-pure	1	1	-0.00162548454169389	0.1839849290454161	0.9910573604304942	0.01067067067067067	1.001001001001001e-4	0	0	0.56	0.1	0.02	0.02
pca-plink-pure	2	1	0.00135092070531868	0.1954556374766225	1.0045307004504882	0.01087087087087087	1.101101101101101e-4	0	0	0.57	0.11	0.03	0.02
pca-plink-pure	3	1	0.00187374326189287	0.19767946292383767	1.0091655703388354	0.01101101101101101	1.001001001001001e-4	0	0	0.58	0.11	0.02	0.02
pca-plink-pure	4	1	0.00197400198729781	0.19756421535574864	1.0087570209717618	0.01115115115115115	1.101101101101101e-4	0	0	0.58	0.11	0.02	0.02
pca-plink-pure	5	1	0.00202526666642309	0.1970381798113675	1.0097504285339545	0.01117117117117117	1.101101101101101e-4	0	0	0.58	0.11	0.02	0.02
pca-plink-pure	6	1	0.00207523798769301	0.1969800417422559	1.0105964438943928	0.01112112112112112	1.001001001001001e-4	0	0	0.57	0.11	0.02	0.02
pca-plink-pure	7	1	0.00222073516989732	0.19518342779336065	1.010925589537027	0.01111111111111111	1.101101101101101e-4	1.001001001001001e-5	0	0.57	0.11	0.03	0.02
pca-plink-pure	8	1	0.00229648535714904	0.1966098792052635	1.0105940931354824	0.01122122122122122	1.101101101101101e-4	1.001001001001001e-5	0	0.58	0.11	0.03	0.02
pca-plink-pure	9	1	0.00232330191129279	0.1966565950406701	1.0134367216135929	0.01108108108108108	1.001001001001001e-4	0	0	0.58	0.12	0.03	0.03
pca-plink-pure	10	1	0.00231720490899105	0.1960405723221287	1.01379717269002	0.01104104104104104	1.001001001001001e-4	0	0	0.58	0.12	0.03	0.03
pca-plink-pure	11	1	0.00227530835933218	0.19946933022859087	1.0129468467832603	0.01104104104104104	1.001001001001001e-4	0	0	0.57	0.12	0.04	0.02
pca-plink-pure	12	1	0.00222929106439683	0.1999843214992315	1.0117558541779277	0.01117117117117117	1.101101101101101e-4	0	0	0.58	0.12	0.04	0.02
pca-plink-pure	13	1	0.00220660088206266	0.2035527296672298	1.0122264799559333	0.01105105105105105	1.001001001001001e-4	0	0	0.59	0.12	0.04	0.03
pca-plink-pure	14	1	0.0021620719382398	0.20065252270290115	1.0103684388614358	0.01109109109109109	1.001001001001001e-4	0	0	0.57	0.12	0.04	0.03
pca-plink-pure	15	1	0.00219040665261509	0.2002234790659073	1.0125607212873513	0.01113113113113113	9.009009009009008e-5	0	0	0.58	0.12	0.04	0.03
pca-plink-pure	16	1	0.00212354194845402	0.2005214457104342	1.0123347464925097	0.01119119119119119	1.001001001001001e-4	0	0	0.58	0.12	0.03	0.03
pca-plink-pure	17	1	0.00217397050211148	0.20040184235727404	1.0123418076473178	0.01119119119119119	1.001001001001001e-4	0	0	0.58	0.12	0.03	0.03
pca-plink-pure	18	1	0.0021564127253747	0.1983015664096641	1.0122194193885703	0.01117117117117117	1.001001001001001e-4	0	0	0.57	0.13	0.03	0.03
pca-plink-pure	19	1	0.00220248647626294	0.19814848629791	1.012614866551723	0.01116116116116116	1.001001001001001e-4	0	0	0.57	0.13	0.03	0.03
pca-plink-pure	20	1	0.00224250279882005	0.19833371026821864	1.013116399261084	0.01123123123123123	9.009009009009008e-5	0	0	0.57	0.13	0.03	0.03
pca-plink-pure	21	1	0.00228938066708386	0.19830587868669705	1.0137052841109515	0.01124124124124124	9.009009009009008e-5	0	0	0.58	0.13	0.03	0.03
pca-plink-pure	22	1	0.00212909644348889	0.1948299919763694	1.0132953938102585	0.01146146146146146	1.001001001001001e-4	0	0	0.59	0.12	0.03	0.03
pca-plink-pure	23	1	0.00216851810998005	0.19406033248673688	1.0131187543025597	0.01149149149149149	1.001001001001001e-4	0	0	0.59	0.12	0.03	0.03
pca-plink-pure	24	1	0.00219935041148796	0.19395173307585553	1.0128714967797312	0.01148148148148148	1.001001001001001e-4	0	0	0.59	0.12	0.03	0.03
pca-plink-pure	25	1	0.00224678068698601	0.19448256534587993	1.01427791981765	0.01134134134134134	9.009009009009008e-5	0	0	0.59	0.12	0.03	0.03
pca-plink-pure	26	1	0.00232143993845196	0.19321462702089495	1.0109679139388323	0.01132132132132132	9.009009009009008e-5	0	0	0.58	0.11	0.03	0.02
pca-plink-pure	27	1	0.00223963298664179	0.19630676677804296	1.0113206675930475	0.01123123123123123	9.009009009009008e-5	0	0	0.58	0.11	0.03	0.03
pca-plink-pure	28	1	0.00223100368336962	0.19758076394031307	1.011304203757397	0.0114014014014014	8.008008008008008e-5	0	0	0.57	0.13	0.04	0.03
pca-plink-pure	29	1	0.0020774012723838	0.19596182993633623	1.0106834247798602	0.01119119119119119	1.101101101101101e-4	0	0	0.58	0.1	0.04	0.03
pca-plink-pure	30	1	0.00213926412264571	0.1939660125831214	1.0138018850888768	0.01112112112112112	1.2012012012012012e-4	0	0	0.56	0.1	0.04	0.03
pca-plink-pure	31	1	0.00218658183544625	0.1954408282505542	1.0162190966192912	0.01096096096096096	1.2012012012012012e-4	0	0	0.55	0.09	0.04	0.03
pca-plink-pure	32	1	0.00232816665699627	0.1911888167986811	1.0135333038939698	0.01098098098098098	1.101101101101101e-4	0	0	0.55	0.1	0.05	0.02
pca-plink-pure	33	1	0.00238864116840235	0.19192741952285552	1.013323658219066	0.01103103103103103	1.101101101101101e-4	0	0	0.55	0.1	0.05	0.02
