method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	0	1	0.10091317338979612	0.12614198344596264	1.815064928847847	0.04437437437437437	0.00139139139139139	1.001001001001001e-5	0	0.3	0.1	0.1	0.1
pca-plink-pure	1	1	0.0037611650485582	0.20684745867148793	1.0205428119879263	0.01051051051051051	1.001001001001001e-4	0	0	0.37	0.19	0.1	0.1
pca-plink-pure	2	1	0.00195527206952209	0.22203146063937265	1.0102250734831215	0.01045045045045045	9.009009009009008e-5	0	0	0.39	0.18	0.1	0.1
pca-plink-pure	3	1	0.00209685012758091	0.21925797031484015	1.0080458695448986	0.01038038038038038	8.008008008008008e-5	0	0	0.4	0.19	0.1	0.1
pca-plink-pure	4	1	0.00132879476058166	0.22278694697905235	1.0081843158973594	0.01009009009009009	1.101101101101101e-4	0	0	0.39	0.18	0.12	0.11
pca-plink-pure	5	1	0.00133400860151065	0.22462933794272147	1.008829799667842	0.01015015015015015	1.101101101101101e-4	0	0	0.39	0.18	0.13	0.13
pca-plink-pure	6	1	0.00137576850237329	0.22435811704292172	1.009447398846098	0.01013013013013013	1.101101101101101e-4	0	0	0.39	0.18	0.13	0.13
pca-plink-pure	7	1	0.00147277623213848	0.2232213612157047	1.0106246533126222	0.01025025025025025	1.001001001001001e-4	0	0	0.39	0.18	0.13	0.13
pca-plink-pure	8	1	0.00153076232099896	0.2225968717101995	1.0108103796627714	0.01029029029029029	1.001001001001001e-4	0	0	0.39	0.18	0.12	0.12
pca-plink-pure	9	1	0.00153225819616201	0.22163349389123532	1.0124124211736616	0.01026026026026026	1.001001001001001e-4	0	0	0.39	0.18	0.12	0.11
pca-plink-pure	10	1	0.00156726880197683	0.2206046138780441	1.0114288633809667	0.01024024024024024	9.009009009009008e-5	0	0	0.38	0.18	0.12	0.12
pca-plink-pure	11	1	0.00153125190703144	0.21725088363118397	1.0098420552260912	0.01024024024024024	1.001001001001001e-4	0	0	0.38	0.18	0.1	0.1
pca-plink-pure	12	1	0.00157185096269356	0.21715072402775465	1.0100676237009771	0.01024024024024024	1.001001001001001e-4	0	0	0.38	0.18	0.1	0.1
pca-plink-pure	13	1	0.00157512991335313	0.2173213310547044	1.0081186108148144	0.01024024024024024	8.008008008008008e-5	0	0	0.37	0.18	0.11	0.11
pca-plink-pure	14	1	0.00158469793910927	0.21659695122101824	1.0086701610901183	0.01006006006006006	8.008008008008008e-5	0	0	0.38	0.18	0.12	0.11
pca-plink-pure	15	1	0.00174888233650773	0.21580365736149895	1.0092360220831238	0.01002002002002002	8.008008008008008e-5	0	0	0.38	0.18	0.12	0.11
pca-plink-pure	16	1	0.0017821413946375	0.2153109592935419	1.0087218068486523	0.01002002002002002	9.009009009009008e-5	0	0	0.38	0.18	0.11	0.11
pca-plink-pure	17	1	0.00183538332187585	0.2158948232684269	1.0091749636974274	0.01013013013013013	8.008008008008008e-5	0	0	0.38	0.18	0.11	0.11
pca-plink-pure	18	1	0.0017921784009639	0.21684923644682577	1.0076001195760158	0.01024024024024024	8.008008008008008e-5	0	0	0.38	0.18	0.1	0.1
pca-plink-pure	19	1	0.00183293276638591	0.2168669493617786	1.0085903487117067	0.01024024024024024	8.008008008008008e-5	0	0	0.38	0.18	0.11	0.1
pca-plink-pure	20	1	0.00182312630190678	0.2160146851945008	1.0085410551322431	0.01019019019019019	9.009009009009008e-5	0	0	0.38	0.18	0.11	0.1
pca-plink-pure	21	1	0.00186840037806715	0.2170592240221662	1.0078910137849573	0.0103003003003003	9.009009009009008e-5	0	0	0.39	0.18	0.12	0.1
pca-plink-pure	22	1	0.00192676657555156	0.2178217115599501	1.0072436231012123	0.01025025025025025	9.009009009009008e-5	0	0	0.4	0.19	0.12	0.11
pca-plink-pure	23	1	0.00184856877041646	0.2096680700650424	1.0058068434808785	0.01033033033033033	9.009009009009008e-5	0	0	0.38	0.17	0.1	0.1
pca-plink-pure	24	1	0.00188871454605426	0.20968710323274323	1.0067910989214968	0.01034034034034034	9.009009009009008e-5	0	0	0.38	0.17	0.1	0.1
pca-plink-pure	25	1	0.00182742319150404	0.20983911205008937	1.008081066455561	0.01022022022022022	1.2012012012012012e-4	0	0	0.39	0.17	0.1	0.1
pca-plink-pure	26	1	-0.00173743373131182	0.2100811178206157	1.0006860068448928	0.01035035035035035	9.009009009009008e-5	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	27	1	-0.00176325667533137	0.20975116187838175	1.0009287578973096	0.01039039039039039	9.009009009009008e-5	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	28	1	-0.00162789128225925	0.2094451354273936	1.0004759683972615	0.01028028028028028	1.001001001001001e-4	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	29	1	-0.00166739747268368	0.2101043885098512	1.0003359605867728	0.01034034034034034	1.001001001001001e-4	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	30	1	-0.00171042179968287	0.21038938042465968	0.9995195324242924	0.01031031031031031	1.001001001001001e-4	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	31	1	0.00156894675110537	0.21226852680611977	1.0042054143321375	0.01036036036036036	1.101101101101101e-4	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	32	1	0.00161089646993374	0.21237691479546353	1.0040182340920898	0.01037037037037037	1.101101101101101e-4	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	33	1	0.00163638599342991	0.21390890178996447	1.0041165005490338	0.01041041041041041	1.2012012012012012e-4	0	0	0.39	0.19	0.11	0.11
pca-plink-pure	34	1	0.00168184669933534	0.2140188735403368	1.003903598745608	0.01039039039039039	1.2012012012012012e-4	0	0	0.39	0.19	0.11	0.11
pca-plink-pure	35	1	0.00161503437693318	0.2141608536790804	1.0067512463827832	0.0104004004004004	1.101101101101101e-4	0	0	0.39	0.18	0.11	0.11
pca-plink-pure	36	1	0.00167808250249238	0.21337445278290423	1.0033703188314054	0.01052052052052052	1.3013013013013012e-4	0	0	0.39	0.18	0.11	0.11
