method	pc	rep	rmsd	auc	lambda
pca-plink-pure	0	1	0.29704688598953966	0.00585072819459629	6.634801398887049
pca-plink-pure	1	1	0.10430118331847804	0.07910839647655533	1.8237925310064953
pca-plink-pure	2	1	0.0655912167186513	0.13617102631425446	1.4590930749400854
pca-plink-pure	3	1	0.06646731789723649	0.13760488189919678	1.4670845143283748
pca-plink-pure	4	1	0.06708568468076316	0.13748646777180423	1.4712277480874376
pca-plink-pure	5	1	0.06752453386771935	0.13670680985554068	1.4765745267070642
pca-plink-pure	6	1	0.06648411283794456	0.1320307109352616	1.4653728130140466
pca-plink-pure	7	1	0.06704262051822736	0.13243848124126803	1.4672039244400807
pca-plink-pure	8	1	0.0672430121683634	0.13568535869416873	1.4727938272993677
pca-plink-pure	9	1	0.0657465876151233	0.14458456411938905	1.4555932067954105
pca-plink-pure	10	1	0.06579829631499318	0.1436074567859069	1.4559303897171456
pca-plink-pure	11	1	0.06624218853524867	0.14050966715098573	1.4603134207202269
pca-plink-pure	12	1	0.06353532428496085	0.1343744188593088	1.4455109311579362
pca-plink-pure	13	1	0.06138236074814259	0.1511110679013114	1.4269686421056085
pca-plink-pure	14	1	0.06068878306156864	0.14748874613142376	1.4169895910236667
pca-plink-pure	15	1	0.0608936558919668	0.15086216460078242	1.4220530529235904
pca-plink-pure	16	1	0.06025698726156604	0.14825878295384426	1.4135703933949415
pca-plink-pure	17	1	0.05947586331198663	0.1471824937733849	1.4112105069353598
pca-plink-pure	18	1	0.05962152937891406	0.1487908985970935	1.4141342001021415
pca-plink-pure	19	1	0.05978627209004808	0.15046531432415777	1.417343794134872
pca-plink-pure	20	1	0.05985821034968586	0.15126758066778492	1.410717623574011
pca-plink-pure	21	1	0.05818347412334959	0.15577923930202436	1.3925497613552602
pca-plink-pure	22	1	0.05764593541145204	0.16633666455995413	1.3879297574868663
pca-plink-pure	23	1	0.05778499385036204	0.1675236368342903	1.3857488594673049
pca-plink-pure	24	1	0.0581883680279277	0.1689311163574017	1.3900773872024368
pca-plink-pure	25	1	0.0582463754183699	0.1673959667947297	1.3873535126137573
pca-plink-pure	26	1	0.05856003186971063	0.16939147980794497	1.390173568258753
pca-plink-pure	27	1	0.05890700085473174	0.16730054829385904	1.3909462193893332
pca-plink-pure	28	1	0.05895283648184703	0.17189986754412917	1.3960388342712535
pca-plink-pure	29	1	0.05932174829545701	0.1709869340129876	1.3998645106880614
pca-plink-pure	30	1	0.05944570851838883	0.1735685875774308	1.4033746226968298
pca-plink-pure	31	1	0.0597189490244298	0.17218372540566962	1.4040047835721738
pca-plink-pure	32	1	0.05887408282441142	0.17494299092714727	1.4037775353826327
pca-plink-pure	33	1	0.0587935628056328	0.17668895538672558	1.396373653996863
pca-plink-pure	34	1	0.05761006170779353	0.17073091902956664	1.3839630278020532
pca-plink-pure	35	1	0.0580041842323518	0.17145371103093124	1.387617600619204
pca-plink-pure	36	1	0.05837206398946829	0.17061932482415723	1.3903328800817791
pca-plink-pure	37	1	0.05875547215543628	0.17051821231833184	1.3937360891188708
pca-plink-pure	38	1	0.05835420721493833	0.17262409313969604	1.3990424910472734
pca-plink-pure	39	1	0.05871460980720409	0.17494725931718208	1.402596330487528
pca-plink-pure	40	1	0.05908755813927682	0.17418480446905416	1.4059603627775716
pca-plink-pure	41	1	0.05165439596307925	0.1770551874848157	1.3515899105955833
pca-plink-pure	42	1	0.05144636488076094	0.17556603934069798	1.3436355646026057
pca-plink-pure	43	1	0.05165992922589129	0.1748514512052915	1.3447470120376437
pca-plink-pure	44	1	0.05109500892222316	0.18069944178577704	1.3393371498421696
pca-plink-pure	45	1	0.05140788228902534	0.17999094007796643	1.342007754132171
pca-plink-pure	46	1	0.05175216585327927	0.18138994847563616	1.3432935048508727
pca-plink-pure	47	1	0.05183946590913876	0.18077476991693409	1.3472739202182582
pca-plink-pure	48	1	0.05218039693780451	0.17877007801144723	1.348349674661571
pca-plink-pure	49	1	0.05145412786191696	0.17775658174484468	1.348144436437045
pca-plink-pure	50	1	0.05182530882176037	0.17707068990077357	1.3508468020052744
pca-plink-pure	51	1	0.05191691831447824	0.17867484346688955	1.3494143857910812
pca-plink-pure	52	1	0.05225116671141277	0.18147613577953045	1.3524479798066038
pca-plink-pure	53	1	0.05221428620934636	0.18027003746490355	1.3532947255557295
pca-plink-pure	54	1	0.05258225444990414	0.1826652228880647	1.3586880556059957
pca-plink-pure	55	1	0.05142323588867938	0.1859167414747164	1.3404515699756778
pca-plink-pure	56	1	0.0482220314992848	0.1785256144941317	1.3283207675456354
pca-plink-pure	57	1	0.04679277215246445	0.179893875631963	1.3149844860342714
pca-plink-pure	58	1	0.04633416071972358	0.18985950398886056	1.3129884373504486
pca-plink-pure	59	1	0.046362273058884	0.18343276312883025	1.3140881184936055
pca-plink-pure	60	1	0.04537972967719612	0.17763783842194453	1.3014846279711254
pca-plink-pure	61	1	0.04545785054222028	0.17974302746966037	1.3029616987062886
pca-plink-pure	62	1	0.04189559298320033	0.18527625444831552	1.273632727974014
pca-plink-pure	63	1	0.0422373811357307	0.18625901520297583	1.274002598978918
pca-plink-pure	64	1	0.0425205887145634	0.18525745314186717	1.2804384491883882
pca-plink-pure	65	1	0.04281441840675081	0.1843912215775761	1.2788692441572012
pca-plink-pure	66	1	0.04294660308365872	0.1862805567988028	1.279903961133368
pca-plink-pure	67	1	0.04317682418452862	0.18266763558562027	1.2803005906360436
pca-plink-pure	68	1	0.04240612445846099	0.18351362753231493	1.2749220397157142
pca-plink-pure	69	1	0.04244964279120895	0.1862150368645242	1.271197062175943
pca-plink-pure	70	1	0.04259507614364668	0.18686848478271753	1.275920562463801
pca-plink-pure	71	1	0.041100484068007453	0.18780927876005135	1.2672518289384194
pca-plink-pure	72	1	0.04142030454026364	0.18796764308161076	1.2687622804079428
pca-plink-pure	73	1	0.03937314546767074	0.184729653637315	1.2526204167865884
pca-plink-pure	74	1	0.03951800178719605	0.1912754940604831	1.253618993603659
pca-plink-pure	75	1	0.0396944523752976	0.18564202400593585	1.25132402932886
pca-plink-pure	76	1	0.0389013943079109	0.177742631235504	1.247581758407072
pca-plink-pure	77	1	0.03913733584389616	0.17646668362467158	1.246793581103226
pca-plink-pure	78	1	0.03924033588503982	0.1780797464084548	1.2489992544968422
pca-plink-pure	79	1	0.0394018188599866	0.1780518458268168	1.2522333251493345
pca-plink-pure	80	1	0.03953639453156884	0.17741258348877115	1.2540091891352247
pca-plink-pure	81	1	0.03984377361378821	0.17756819567670837	1.2559061774132907
pca-plink-pure	82	1	0.03948207722422049	0.16309913928399924	1.2508295237422096
pca-plink-pure	83	1	0.0394173355000656	0.1693091230253062	1.248723378168195
pca-plink-pure	84	1	0.03823235800481315	0.15811597452382609	1.242319954525707
pca-plink-pure	85	1	0.03831348641032834	0.1567027999322627	1.241627751181895
pca-plink-pure	86	1	0.03861621364735675	0.1530886496849145	1.244274585204384
pca-plink-pure	87	1	0.03694560626110651	0.17245261081795554	1.2349601930826866
pca-plink-pure	88	1	0.03657354016388945	0.17149089586722785	1.2314636408448782
pca-plink-pure	89	1	0.03644426632802024	0.17699318296173389	1.229271321749076
pca-plink-pure	90	1	0.0367324007751011	0.17547252465153873	1.2305552584798698
gcta	0	1	-0.00145776638599811	0.3014659090862992	0.9956655541470016
gcta	1	1	-0.00184034423576648	0.29882028096141194	0.989741596854932
gcta	2	1	-0.00181060696052475	0.3015640596237381	0.9895494347290088
gcta	3	1	-0.00196058517576532	0.3016256590803091	0.9888481568326992
gcta	4	1	-0.00214287748643667	0.3016264804465593	0.9877726390589354
gcta	5	1	-0.0023217814451565	0.3011917207183159	0.9868920404396828
gcta	6	1	-0.0025021343168593	0.2991226014580473	0.987689408542124
gcta	7	1	-0.00268583024990634	0.3022667802855027	0.9866610064631424
gcta	8	1	-0.00287471619123627	0.3024308782021674	0.9844842820730816
gcta	9	1	-0.00303012172027205	0.30099272868552085	0.9833845494335448
gcta	10	1	-0.00302037432886556	0.3002584240548799	0.9881588026594034
gcta	11	1	-0.00324757316803635	0.30089052329846006	0.9863191480863208
gcta	12	1	-0.00344051606006037	0.29926847297142395	0.9840922417751844
gcta	13	1	-0.00362137532774456	0.2993645746271784	0.9837141452994402
gcta	14	1	-0.00386255759076888	0.3003256794244811	0.9828891536153572
gcta	15	1	-0.00407261235397789	0.30127820032509345	0.9813143045848548
gcta	16	1	-0.00427803607021965	0.3016882281572148	0.9810359029862884
gcta	17	1	-0.00447165421620697	0.30124102125563296	0.9800240149674396
gcta	18	1	-0.004791879920983	0.29776449539171973	0.9730579524819516
gcta	19	1	-0.00494129587059686	0.2988736094941521	0.972081724499152
gcta	20	1	-0.00517734860673586	0.29838638344663987	0.9704554866361652
gcta	21	1	-0.00537686558447634	0.2979296272801974	0.9690615011954624
gcta	22	1	-0.0055644597240648	0.29692807448761205	0.9700127226908316
gcta	23	1	-0.00578122890807569	0.2979143775123189	0.9694720179184602
gcta	24	1	-0.00597917270314035	0.29710615940839424	0.967443461768277
gcta	25	1	-0.00627062945720422	0.2971606643543835	0.9658660410630964
gcta	26	1	-0.00647321653100224	0.297166419198273	0.9631684688912372
gcta	27	1	-0.00665742906382369	0.2977530902279335	0.9617502757424128
gcta	28	1	-0.00686274902121424	0.29934341389486313	0.96224250215647
gcta	29	1	-0.00705291850115732	0.3010731209670298	0.9616323497561144
gcta	30	1	-0.00730587175670001	0.298786303146361	0.95837083266103
gcta	31	1	-0.00748904939905457	0.29885551569608476	0.9575657395930882
gcta	32	1	-0.00767636782987127	0.29881883935078235	0.9553429513119698
gcta	33	1	-0.00797430622900277	0.30234567323587697	0.9518378616200458
gcta	34	1	-0.00816031658013025	0.3017587250870939	0.9509444721225072
gcta	35	1	-0.00833827661078847	0.3003229493530841	0.9483869002928318
gcta	36	1	-0.0085969458552432	0.30233083183611953	0.9458768339022208
gcta	37	1	-0.00878600378537107	0.3021098186505329	0.9495077591977186
gcta	38	1	-0.00897546327940949	0.3025368437429819	0.9481534137496024
gcta	39	1	-0.00914989206002283	0.30459112720820225	0.945816328079819
gcta	40	1	-0.00944447971568253	0.30634881311716083	0.9429779105489028
gcta	41	1	-0.00966952859267538	0.3007138418025389	0.939913549977047
gcta	42	1	-0.00987797253723965	0.2935069153960877	0.9446090315900262
gcta	43	1	-0.01039972639714578	0.2859751833596445	0.944369495333934
gcta	44	1	-0.01061050374429777	0.2865776367192591	0.9410272418133452
gcta	45	1	-0.01080860886643178	0.2855843946867344	0.940268311506032
gcta	46	1	-0.0111978267032541	0.28090279201265245	0.9389590691324134
gcta	47	1	-0.011422883497606	0.2774420379952737	0.9395499628186494
gcta	48	1	-0.01180106834578202	0.27718209683567435	0.9336085415603363
gcta	49	1	-0.01199990316643024	0.27855646372585874	0.9335330561710364
gcta	50	1	-0.01219041317371224	0.2787287921931026	0.9324944636790712
gcta	51	1	-0.01238406760570528	0.2790570761675694	0.930506128162432
gcta	52	1	-0.01256622519604541	0.27928632004227066	0.9297554699843862
gcta	53	1	-0.01287691869970738	0.27848973505692876	0.9264060216928836
gcta	54	1	-0.01304232397797757	0.2787488024430283	0.9254833955082816
gcta	55	1	-0.01321306145521061	0.27856882123625115	0.9271105708047098
gcta	56	1	-0.01339695874463132	0.2794759313400101	0.9238935101491704
gcta	57	1	-0.01357980117986676	0.278686195930242	0.9243894518106112
gcta	58	1	-0.01392453600223975	0.2785486397948725	0.9248966098048832
gcta	59	1	-0.01414576982517076	0.2772173150259564	0.9218720258893668
gcta	60	1	-0.01431923765015574	0.276072090546012	0.919921788997088
gcta	61	1	-0.01448989473924616	0.27587164171491646	0.9197416444438204
gcta	62	1	-0.01470752840796356	0.2740360297220945	0.9196186332735624
gcta	63	1	-0.01487493064663254	0.2741652429936154	0.9194275497781746
gcta	64	1	-0.01505984907185368	0.27343998805968506	0.9184440253245924
gcta	65	1	-0.01528015071313474	0.27480873849782955	0.9190257074301694
gcta	66	1	-0.01545128299382597	0.27485136251470255	0.9185186416359472
gcta	67	1	-0.01561754134864319	0.2747027815395832	0.9175972119949136
gcta	68	1	-0.01591173036106148	0.27077170872565565	0.9130239226091934
gcta	69	1	-0.01627473523826202	0.2674439405273152	0.9127988508619016
gcta	70	1	-0.01651769176114232	0.2697718250760468	0.9082686377250164
gcta	71	1	-0.01668108646037093	0.2700081129238768	0.907767956624812
gcta	72	1	-0.01684496762317426	0.27157147886919625	0.9068432981008424
gcta	73	1	-0.01700495700278118	0.27182310807342586	0.9063409981545212
gcta	74	1	-0.0172259972156162	0.2684031327786556	0.9069672724784754
gcta	75	1	-0.0174311788512678	0.2691160442626083	0.9069433466664836
gcta	76	1	-0.01760344670909638	0.2705439971556139	0.9055868302766612
gcta	77	1	-0.01780871156454453	0.27033412805801094	0.9044922286618056
gcta	78	1	-0.01813068565070225	0.2637987891058274	0.8975878880322918
gcta	79	1	-0.01837866897867869	0.26469683080594697	0.8968755490385967
gcta	80	1	-0.01854169142425773	0.26474795064111073	0.8956741100694029
gcta	81	1	-0.01869310870745457	0.2643737386748179	0.8961247864360506
gcta	82	1	-0.01891024949468951	0.2634641159752505	0.8981558858276337
gcta	83	1	-0.01906242262538329	0.2638683040963456	0.8975619778188844
gcta	84	1	-0.01921580729056437	0.263945336728364	0.895137388094986
