method	pc	rep	rmsd	auc	lambda
pca-plink	0	1	0.17071600016923075	0.1154687249433651	2.741561599602621
pca-plink	1	1	0.09452777839870037	0.17416865658868405	1.735090271845145
pca-plink	2	1	0.05165794305360044	0.19573598124479322	1.3411842260772238
pca-plink	3	1	0.050587413670025484	0.19783142803098622	1.3318502541410342
pca-plink	4	1	0.04537684780413125	0.2065998097502638	1.302128900201925
pca-plink	5	1	0.04596588607787095	0.2057099820733627	1.3066030345449906
pca-plink	6	1	0.04433579993924194	0.21080109653347984	1.298878773151306
pca-plink	7	1	0.04448306913190398	0.2100997337722903	1.295697583744045
pca-plink	8	1	0.04480860088996353	0.2111595842106819	1.299325602657488
pca-plink	9	1	0.04429814066495178	0.20387125866408873	1.2943576000847357
pca-plink	10	1	0.04220439784558934	0.20907394661805184	1.2746416668954277
pca-plink	11	1	0.042005984132390276	0.20874845722777308	1.2802696444119475
pca-plink	12	1	0.04212773754813566	0.2090396351269195	1.2802077537392553
pca-plink	13	1	0.042329924816672415	0.20719813083402228	1.2780458801813388
pca-plink	14	1	0.04145943684770385	0.21212872590347553	1.2690556008475464
pca-plink	15	1	0.04134726467054857	0.2102156682735037	1.2700588814700569
pca-plink	16	1	0.04166344550260918	0.20897406768644083	1.271423675711246
pca-plink	17	1	0.04094342882188481	0.21230595563989013	1.2679831458485984
pca-plink	18	1	0.041248546932837825	0.21261881969588345	1.2699470643666053
pca-plink	19	1	0.04145774447419783	0.21270619559749362	1.267801681239505
pca-plink	20	1	0.04157246545102538	0.21302168469131283	1.2687622804079428
pca-plink	21	1	0.04170545884728678	0.21285749476200702	1.2688712217577507
pca-plink	22	1	0.04131292110750662	0.2139140514815438	1.2643076002230476
pca-plink	23	1	0.04096082589992662	0.2134534917709115	1.2706488452494136
pca-plink	24	1	0.0412089153671844	0.21224776848407054	1.2703552343582407
pca-plink	25	1	0.041478315216672806	0.21217831173998347	1.2720113407701872
pca-plink	26	1	0.04167233985181226	0.21228785600389674	1.2727672251580773
pca-plink	27	1	0.04181608265146416	0.21291606701397273	1.274495892279024
pca-plink	28	1	0.04205716585553797	0.2134042013717324	1.2741931716919295
pca-plink	29	1	0.042285110105203756	0.21287212845860262	1.2763274412076901
pca-plink	30	1	0.04254280907006358	0.21214870151608575	1.2776975520664686
pca-plink	31	1	0.042458618734783064	0.21143480377110602	1.2778969888166787
pca-plink	32	1	0.042719909360803575	0.21113000812226018	1.2804384491883882
pca-plink	33	1	0.04249386650888438	0.21204601082124064	1.2779644096221878
pca-plink	34	1	0.042460600189976064	0.2114177419882079	1.2795327365142153
pca-plink	35	1	0.0426833390778452	0.211249492599617	1.2801486784872476
pca-plink	36	1	0.041982085939423305	0.21059289507511786	1.2721121048750315
pca-plink	37	1	0.042112077781137985	0.2099986979020031	1.2715272011433099
pca-plink	38	1	0.042249194552235	0.21007526823520312	1.2718406159744897
pca-plink	39	1	0.042458432125327746	0.2118590901845423	1.279158785735784
pca-plink	40	1	0.04253301102981381	0.2126856671578205	1.2798842728401973
pca-plink	41	1	0.04278682961163291	0.2126027709390781	1.2813446690681358
pca-plink	42	1	0.04307663896988512	0.2134864956555709	1.283716749323111
pca-plink	43	1	0.042890414438481614	0.21348678470749044	1.2816599949367244
pca-plink	44	1	0.04307144168816242	0.21195001743265857	1.2803709251646609
pca-plink	45	1	0.04265346700330749	0.21179664602582488	1.285959612106888
