method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	0	1	0.05877673051346259	0.01168291553892724	1.405939127460394	0.027221683752215	6.893616025587375e-4	1.7099047583049626e-5	0	0.44086021505376344	0.05376344086021505	0.01075268817204301	0
pca-plink-pure	1	1	0.06888333276892547	0.01262116872434615	1.4924224162998283	0.03129575682634477	9.350479178309769e-4	2.609854631097048e-5	0	0.41935483870967744	0.05376344086021505	0.01075268817204301	0.01075268817204301
pca-plink-pure	2	1	0.02266392886407275	0.02437128132678243	1.136500561360872	0.01610103215436687	3.032836530111027e-4	4.499757463072741e-6	0	0.4838709677419355	0.11827956989247312	0.01075268817204301	0.01075268817204301
pca-plink-pure	3	1	0.01770096198593372	0.02579427089048263	1.1046086876939234	0.01503103041124294	2.77185808086626e-4	3.599815689436701e-6	0	0.4946236559139785	0.11827956989247312	0.01075268817204301	0.01075268817204301
pca-plink-pure	4	1	0.01368129592929567	0.03531328830723826	1.0771243533200203	0.01420434347097887	2.690932457595314e-4	3.5999096422679793e-6	0	0.5053763440860215	0.12903225806451613	0.01075268817204301	0.01075268817204301
pca-plink-pure	5	1	0.01371462544729868	0.03450039127096108	1.0774348391934596	0.01421874310954795	2.7089320058066544e-4	3.5999096422679793e-6	0	0.5053763440860215	0.12903225806451613	0.01075268817204301	0.01075268817204301
pca-plink-pure	6	1	0.01344206634946979	0.03487289035041773	1.076368131082715	0.01417464421643016	2.6639331352783046e-4	3.5999096422679793e-6	0	0.5053763440860215	0.11827956989247312	0.01075268817204301	0.01075268817204301
pca-plink-pure	7	1	0.00519529506767356	0.03916644282896864	1.0284303854350298	0.0115260106971315	1.4129645345901818e-4	1.7999548211339896e-6	0	0.5053763440860215	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	8	1	0.00543094426573435	0.03978207153176825	1.0300409011552163	0.01160340875444026	1.4399638569071916e-4	1.7999548211339896e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	9	1	0.00547729601575374	0.03954839798034688	1.0298382937779818	0.0116133085059565	1.4219643086958516e-4	1.7999548211339896e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	10	1	0.00536705462547769	0.04044384417563723	1.0299908424929043	0.01154761015498511	1.4579634051185315e-4	1.7999548211339896e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	11	1	0.00529411581834164	0.04052350724104638	1.0291377362405545	0.01154671017757454	1.4399638569071916e-4	2.6999322317009845e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	12	1	0.00532382633028782	0.04121980341717051	1.03025545851468	0.01159080907069232	1.403964760484512e-4	2.6999322317009845e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	13	1	0.00535031708596117	0.04159628788046275	1.030315063605144	0.01160250877702969	1.403964760484512e-4	2.6999322317009845e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	14	1	0.00539409877605485	0.04090132644534119	1.030152943682458	0.01160700866408253	1.385965212273172e-4	2.6999322317009845e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	15	1	0.00541872987038763	0.0409873407570283	1.0303412906471954	0.0116133085059565	1.385965212273172e-4	2.6999322317009845e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	16	1	0.00551664528116451	0.04075175751888335	1.0308492382255556	0.01164841810828178	1.394966241816948e-4	2.6999346615811896e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	17	1	0.00555350550482247	0.04090142500625606	1.0313883883799309	0.01162951856565071	1.4309653706380304e-4	2.6999346615811896e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	18	1	0.0056357810616552	0.04111744942036874	1.0317654393747544	0.01165111804294336	1.4399651528433012e-4	2.6999346615811896e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	19	1	0.00569338482002421	0.04077776601234663	1.0320399388972248	0.01166642817222358	1.4219668681719717e-4	2.6999370914657688e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	20	1	0.0057449941669773	0.04090598254443538	1.032830319639949	0.01169072760604677	1.4309666584768574e-4	2.6999370914657688e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	21	1	0.00582291490524669	0.04074621784707585	1.0333224427516905	0.0117123271027785	1.4579660293915153e-4	2.6999370914657688e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	22	1	0.0059071861240808	0.04053965913958267	1.0335590098276295	0.0117285267253273	1.4939651906110588e-4	2.6999370914657688e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	23	1	0.00597137916157614	0.0393617032739477	1.0335422815548347	0.01176632584460782	1.466965819696401e-4	1.7999580609771792e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	24	1	0.00605266243277621	0.03921978176882854	1.0340370445690392	0.01179422519455296	1.4849654003061728e-4	1.7999580609771792e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	25	1	0.00608767862029967	0.03901732193431252	1.0346228586356712	0.01178162548812612	1.5029649809159446e-4	1.7999580609771792e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	26	1	0.00610525101630859	0.03891716678308801	1.0344219806155008	0.01180322498485785	1.5299643518306024e-4	2.6999370914657688e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	27	1	0.00594697488580056	0.03835426880686089	1.0339485958906722	0.01176632584460782	1.4219668681719717e-4	1.7999580609771792e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	28	1	0.00596162303413008	0.03818190907803932	1.034010748434972	0.01176452588654684	1.4039672875622e-4	1.7999580609771792e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	29	1	0.00595791162607774	0.03875357180564579	1.0341326710194096	0.01175822603333342	1.3679681263426563e-4	1.7999580609771792e-6	0	0.4946236559139785	0.15053763440860216	0.02150537634408602	0
pca-plink-pure	30	1	0.00599761120809144	0.03892026418715866	1.0345415474104722	0.01176902578169928	1.3589683360377703e-4	1.7999580609771792e-6	0	0.4946236559139785	0.15053763440860216	0.02150537634408602	0
pca-plink-pure	31	1	0.00604961306092593	0.03831924986604888	1.0345248074474305	0.01182212454449811	1.4039672875622e-4	1.7999580609771792e-6	0	0.4946236559139785	0.15053763440860216	0.02150537634408602	0
pca-plink-pure	32	1	0.00609423502758261	0.03816338186377603	1.0346348165651342	0.01183562422995544	1.4039672875622e-4	1.7999580609771792e-6	0	0.4946236559139785	0.15053763440860216	0.02150537634408602	0
pca-plink-pure	33	1	0.00614771515041696	0.03839163096562464	1.0348237653395451	0.01187432332826645	1.376967916647542e-4	1.7999580609771792e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	34	1	0.00605305621042923	0.03816247216846109	1.03432394342604	0.01180232500582736	1.4039672875622e-4	1.7999580609771792e-6	0	0.4946236559139785	0.15053763440860216	0.02150537634408602	0
pca-plink-pure	35	1	0.00605123407157538	0.03834179992502308	1.034216349496979	0.01185272383153472	1.4219668681719717e-4	1.7999580609771792e-6	0	0.4946236559139785	0.12903225806451613	0.02150537634408602	0
pca-plink-pure	36	1	0.00608681072798666	0.03842112704803281	1.0340489975197846	0.011869823433114	1.385967706952428e-4	1.7999580609771792e-6	0	0.4946236559139785	0.13978494623655913	0.02150537634408602	0
pca-plink-pure	37	1	0.00611376559465366	0.03863254485640047	1.034044216327296	0.01187162339117498	1.376967916647542e-4	1.7999580609771792e-6	0	0.4946236559139785	0.12903225806451613	0.02150537634408602	0
pca-plink-pure	38	1	0.00610596220008151	0.03888330333506464	1.0344506757195469	0.01188512307663231	1.394967497257314e-4	1.7999580609771792e-6	0	0.4946236559139785	0.12903225806451613	0.02150537634408602	0
pca-plink-pure	39	1	0.00612949649744633	0.03885560678799589	1.03448654542269	0.01189142292984573	1.4129670778670857e-4	1.7999580609771792e-6	0	0.4946236559139785	0.12903225806451613	0.02150537634408602	0
pca-plink-pure	40	1	0.00609921880940814	0.03680170997828089	1.0346706909633034	0.01178522540424808	1.4129670778670857e-4	1.7999580609771792e-6	0	0.5161290322580645	0.10752688172043012	0.02150537634408602	0
pca-plink-pure	41	1	0.00612168349121367	0.03601072550012201	1.0348237653395451	0.01176632584460782	1.385967706952428e-4	8.999790304885896e-7	0	0.5268817204301075	0.10752688172043012	0.02150537634408602	0
pca-plink-pure	42	1	0.00612248033342896	0.03611837152172745	1.0344219806155008	0.01174652630593707	1.394967497257314e-4	1.7999580609771792e-6	0	0.5268817204301075	0.10752688172043012	0.02150537634408602	0
pca-plink-pure	43	1	0.00615614688020316	0.03595150665347239	1.0347137414485037	0.0117753256349127	1.394967497257314e-4	8.999790304885896e-7	0	0.5268817204301075	0.10752688172043012	0.02150537634408602	0
pca-plink-pure	44	1	0.00615636738171552	0.03621047866969359	1.0349194452813844	0.0117438263688456	1.394967497257314e-4	8.999790304885896e-7	0	0.5161290322580645	0.10752688172043012	0.02150537634408602	0
pca-plink-pure	45	1	0.00623601359099042	0.03422424622909077	1.0354601591846304	0.01177172571879075	1.394967497257314e-4	1.7999580609771792e-6	0	0.5161290322580645	0.0967741935483871	0.02150537634408602	0
pca-plink-pure	46	1	0.0062726927517257	0.03642814215924388	1.035967566392365	0.01183652420898593	1.376967916647542e-4	8.999790304885896e-7	0	0.5161290322580645	0.0967741935483871	0.02150537634408602	0.01075268817204301
pca-plink-pure	47	1	0.00630396865302827	0.03638797589695135	1.036348241817153	0.01183922414607739	1.3679681263426563e-4	8.999790304885896e-7	0	0.5161290322580645	0.0967741935483871	0.02150537634408602	0.01075268817204301
pca-plink-pure	48	1	0.00634623452685703	0.03562494574533571	1.0358574530677476	0.0118941228669372	1.376967916647542e-4	8.999790304885896e-7	0	0.5161290322580645	0.0967741935483871	0.02150537634408602	0.01075268817204301
pca-plink-pure	49	1	0.00635707094530963	0.03581428848975484	1.0365709487242434	0.01186172362183961	1.4309666584768574e-4	8.999790304885896e-7	0	0.5268817204301075	0.11827956989247312	0.02150537634408602	0.01075268817204301
pca-plink-pure	50	1	0.00635338270650432	0.03378072470818325	1.0366140573538565	0.01187072341214449	1.4039672875622e-4	8.999790304885896e-7	0	0.5268817204301075	0.0967741935483871	0.01075268817204301	0
pca-plink-pure	51	1	0.00635864542975428	0.03347233882115799	1.0364033165924478	0.01186172362183961	1.376967916647542e-4	8.999790304885896e-7	0	0.5268817204301075	0.10752688172043012	0.02150537634408602	0
