method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	0	1	0.20656305964435315	0.00170381247405517	3.4662410710547067	0.16817849607926438	0.0391533515268907	0.0101573694708267	0.00266152782678197	0.136	0.004	0	0
pca-plink-pure	1	1	0.20209015581623915	0.00166151214123937	3.3683842853295043	0.16256111523146383	0.03596617870489714	0.00882705559595901	0.00212418182996464	0.14	0.008	0	0
pca-plink-pure	2	1	0.06115773890152301	0.00634615339051595	1.409680596281989	0.03787891061678791	0.00362281663417382	4.518394907714934e-4	3.870338267564585e-5	0.328	0.012	0	0
pca-plink-pure	3	1	0.0644740069740145	0.01095075643514079	1.4457592533791903	0.03529938047418072	0.00224120193229409	1.602144353206224e-4	9.000810973068674e-6	0.404	0.02	0	0
pca-plink-pure	4	1	0.01418674481772044	0.0464794193659687	1.080963283914448	0.01534678329621902	3.519408955320608e-4	7.200836737228866e-6	0	0.508	0.06	0.008	0.008
pca-plink-pure	5	1	0.01320374632934106	0.04748463725828502	1.0742469106583723	0.01522166875790967	3.519408955320608e-4	7.200836737228866e-6	0	0.504	0.06	0.008	0.008
pca-plink-pure	6	1	0.01317699539128275	0.04679568244949268	1.0742026492332566	0.01518296426044706	3.492405817556e-4	6.300732145075258e-6	0	0.512	0.06	0.008	0.008
pca-plink-pure	7	1	0.01308606627995224	0.05248787654965526	1.0732144976811469	0.01508755317367878	3.510407909399072e-4	6.300732145075258e-6	0	0.508	0.064	0.008	0.008
pca-plink-pure	8	1	0.01191268015809008	0.05597170734714624	1.0671284866124984	0.01462039889035105	3.150366072537629e-4	2.7003137764608247e-6	0	0.508	0.06	0.02	0.008
pca-plink-pure	9	1	0.01196660464251247	0.05626661609720137	1.0679533217790445	0.01463210025004905	3.168368164380701e-4	2.7003137764608247e-6	0	0.508	0.06	0.02	0.008
pca-plink-pure	10	1	0.01188172550872075	0.05317746835765293	1.0675910213272877	0.01462039889035105	3.1143618888514847e-4	2.7003137764608247e-6	0	0.516	0.06	0.02	0.008
pca-plink-pure	11	1	0.01191808464199539	0.05281808861143267	1.0676522143179117	0.01462669962249613	3.1143618888514847e-4	2.7003137764608247e-6	0	0.516	0.06	0.02	0.008
pca-plink-pure	12	1	0.01194960344755541	0.05294271123901376	1.0677966401064345	0.01462939993627259	3.105360842929948e-4	2.7003137764608247e-6	0	0.516	0.06	0.02	0.008
