method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	0	1	0.0955893230729347	0.07305888487772418	1.7475517871806578	0.04349892350785227	0.00148692728097525	5.580477688890169e-5	6.30053932616632e-6	0.244	0.108	0.028	0.024
pca-plink-pure	1	1	0.01446846720439474	0.11679531861887282	1.0828395707531624	0.01378377989155871	2.1421833708965487e-4	9.000770465951886e-6	2.7002311397855654e-6	0.296	0.14	0.044	0.044
pca-plink-pure	2	1	0.01854708880080636	0.11606219107430438	1.109865623996758	0.01457677401004847	2.4212116138950545e-4	9.900865335630334e-6	3.6003146675019395e-6	0.296	0.14	0.048	0.044
pca-plink-pure	3	1	0.00821781231008919	0.1246765553712783	1.0460384804744138	0.01247512400867318	1.8541670604521469e-4	1.1701054264989277e-5	9.000810973068673e-7	0.292	0.156	0.06	0.04
pca-plink-pure	4	1	0.00885570585858964	0.12329893170288328	1.0494662183631325	0.01261856627740143	1.9172227812871856e-4	1.1701359697996908e-5	1.8002091843072163e-6	0.288	0.16	0.06	0.04
pca-plink-pure	5	1	0.00902420559321625	0.12338209961120011	1.0506751407232289	0.01264466931057388	1.944225919051794e-4	1.1701359697996908e-5	1.8002091843072163e-6	0.288	0.16	0.06	0.04
pca-plink-pure	6	1	0.00912879971977396	0.12360154216683462	1.051270308075292	0.01267077234374634	1.944225919051794e-4	1.1701359697996908e-5	1.8002091843072163e-6	0.288	0.16	0.06	0.04
pca-plink-pure	7	1	0.00809346233228918	0.1235433237828954	1.0451635627255709	0.01237733824670426	1.9352248731302577e-4	9.901150513689691e-6	9.001045921536083e-7	0.288	0.16	0.06	0.036
pca-plink-pure	8	1	0.00812864468480506	0.12352021413948108	1.0453225985047447	0.01234403437679458	1.9262238272087215e-4	9.001045921536082e-6	9.001045921536083e-7	0.288	0.16	0.056	0.036
pca-plink-pure	9	1	0.00817785112584733	0.12342802194912396	1.0459010609422623	0.01234223416761027	1.9262238272087215e-4	9.901150513689691e-6	9.001045921536083e-7	0.288	0.16	0.056	0.036
pca-plink-pure	10	1	0.00818102497416638	0.12376954680360708	1.045792581248229	0.01235213531812396	1.9082217353656497e-4	9.901150513689691e-6	9.001045921536083e-7	0.288	0.16	0.056	0.036
pca-plink-pure	11	1	0.00818819997413659	0.12383009262949408	1.0455274436137345	0.0123746379329278	1.9262238272087215e-4	9.001045921536082e-6	9.001045921536083e-7	0.288	0.16	0.056	0.036
pca-plink-pure	12	1	0.00818289068369819	0.12291333371651816	1.0460408914623167	0.01234043395842596	1.962228010894866e-4	9.901150513689691e-6	1.8002091843072163e-6	0.288	0.156	0.056	0.036
pca-plink-pure	13	1	0.00812715954755622	0.1220608970668112	1.0455467246782144	0.01237013740996703	1.8902196435225776e-4	8.100941329382474e-6	1.8002091843072163e-6	0.288	0.16	0.056	0.036
pca-plink-pure	14	1	0.00789553321388508	0.12187938358224153	1.0445781757391952	0.01227922684615952	1.8182112761502887e-4	8.100941329382474e-6	9.001045921536083e-7	0.288	0.156	0.056	0.036
pca-plink-pure	15	1	0.00792188177778335	0.12221651025068804	1.04473714580518	0.01228462747371244	1.854215459836433e-4	8.100941329382474e-6	9.001045921536083e-7	0.288	0.16	0.056	0.036
pca-plink-pure	16	1	0.00786649820279045	0.12306477065372642	1.044255473219013	0.01224953442048063	1.9172245069897688e-4	8.10094862108353e-6	9.001054023426143e-7	0.288	0.156	0.056	0.04
pca-plink-pure	17	1	0.00782509882804043	0.12220342928241423	1.0428932273440323	0.01226213589611343	1.9352266150366208e-4	8.10094862108353e-6	9.001054023426143e-7	0.288	0.16	0.056	0.04
pca-plink-pure	18	1	0.00769453717976594	0.1232452135868159	1.0426911682930509	0.01229363958519542	1.9352266150366208e-4	8.10094862108353e-6	9.001054023426143e-7	0.288	0.156	0.064	0.04
pca-plink-pure	19	1	0.00773332857171134	0.12313758925500966	1.0430351670299534	0.01228554969486399	1.917226232695458e-4	8.10095591279771e-6	9.001062125330789e-7	0.288	0.156	0.064	0.04
pca-plink-pure	20	1	0.00766680857160232	0.1229523889979986	1.0424073721826954	0.01224414480908747	1.926227294820789e-4	8.10095591279771e-6	9.001062125330789e-7	0.288	0.156	0.06	0.04
pca-plink-pure	21	1	0.00772157328039379	0.12281189894489589	1.042772950622409	0.01231075266881492	1.9352283569461196e-4	7.200849700264631e-6	9.001062125330789e-7	0.288	0.16	0.06	0.04
pca-plink-pure	22	1	0.00777472037601037	0.12335379711427218	1.0433985012677358	0.01230625213775225	1.962231543322112e-4	7.200849700264631e-6	9.001062125330789e-7	0.288	0.16	0.064	0.04
pca-plink-pure	23	1	0.00778295193475559	0.12303902222899037	1.0444866556135748	0.01229185043835172	1.9802336675727735e-4	6.300743487731552e-6	9.001062125330789e-7	0.292	0.16	0.064	0.04
pca-plink-pure	24	1	0.00774778971518885	0.12210646312902926	1.044033958839345	0.01231525319987758	2.0342400403247583e-4	7.200849700264631e-6	9.001062125330789e-7	0.288	0.148	0.06	0.04
pca-plink-pure	25	1	0.00776552695291068	0.12198499395072676	1.0439809931441204	0.01233865596140344	2.0162379160740967e-4	6.300743487731552e-6	9.001062125330789e-7	0.284	0.148	0.06	0.04
pca-plink-pure	26	1	0.00778675095153056	0.12221718588137122	1.0441784208080636	0.01234585681110371	1.998235791823435e-4	5.400637275198474e-6	9.001062125330789e-7	0.284	0.148	0.06	0.04
pca-plink-pure	27	1	0.00776125819659968	0.12240116394282652	1.043441818858003	0.01234045617382851	1.9712326054474428e-4	6.300743487731552e-6	9.001062125330789e-7	0.288	0.148	0.06	0.04
pca-plink-pure	28	1	0.00773257697118797	0.12249108959125111	1.04253242785726	0.01233505553655331	1.998235791823435e-4	6.300743487731552e-6	9.001062125330789e-7	0.288	0.152	0.06	0.04
