method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.02395633515933739	0.01899331883268512	1.1220356806712697	0.02621360019611899	0.0017297112074897	1.6221738405330208e-4	1.0936003419323737e-5	0.5393258426966292	0.10112359550561796	0	0
gcta	0	1	-0.00599528164648189	0.16563778401544713	0.9655589669065872	0.00945115672097444	9.842107085770318e-5	9.113062116454e-7	0	0.6966292134831461	0.25842696629213485	0.06741573033707865	0.06741573033707865
gcta-labs	0	1	-0.00221101015101983	0.2861515644630495	0.986286814574408	0.00963250665709187	8.566278389466758e-5	1.8226124232907995e-6	0	0.8314606741573034	0.3820224719101123	0.11235955056179776	0.10112359550561796
pca-plink-pure	20	2	0.01032552823649435	0.14524540994045304	1.0592832618002026	0.01268849796727036	1.9138005983816535e-4	2.7340008548309337e-6	0	0.7415730337078652	0.2696629213483146	0.01123595505617977	0
gcta	0	2	-0.0148382722296756	0.1049141572121338	0.9157606981171792	0.0084869947490536	1.0206629570428478e-4	2.7339186349361995e-6	0	0.6741573033707865	0.21348314606741572	0.02247191011235955	0.01123595505617977
gcta-labs	0	2	-0.00273850742770784	0.30101451726229117	0.9834629076408952	0.00930079119605295	7.928364041314979e-5	9.113062116454e-7	0	0.8651685393258427	0.4157303370786517	0.12359550561797752	0.0449438202247191
pca-plink-pure	20	3	0.01231820034448649	0.16801758556118274	1.0689060200406777	0.0147690726177967	3.0438542850451064e-4	7.290668946215824e-6	0	0.7640449438202247	0.25842696629213485	0.0449438202247191	0.0449438202247191
gcta	0	3	-0.01068667464030614	0.19546722737749492	0.9402817006048126	0.00848790605526525	7.472710935492279e-5	9.113062116454e-7	0	0.7191011235955056	0.25842696629213485	0.11235955056179776	0.05617977528089887
gcta-labs	0	3	-0.00203137813421782	0.317056797007917	0.9872525317022188	0.00963432926951516	9.113062116454e-5	9.113062116454e-7	0	0.8876404494382022	0.4382022471910113	0.15730337078651685	0.11235955056179776
pca-plink-pure	20	4	0.01429846772679157	0.11524338059118226	1.085436752393516	0.0142031344408467	2.442374096982301e-4	3.645334473107912e-6	0	0.7303370786516854	0.21348314606741572	0.01123595505617977	0.01123595505617977
gcta	0	4	-0.01335154312993962	0.1149828330037133	0.92560475636937	0.00813249663272354	8.019494662479518e-5	9.113062116454e-7	0	0.651685393258427	0.2247191011235955	0.05617977528089887	0.02247191011235955
gcta-labs	0	4	-0.00269162166652229	0.3447150010643512	0.9829467484997028	0.00976464605778046	9.933237706934858e-5	9.113062116454e-7	0	0.8314606741573034	0.4044943820224719	0.21348314606741572	0.0449438202247191
pca-plink-pure	20	5	0.00826280537853642	0.10243217740075368	1.0474182354668653	0.01200682042079918	1.5219271425225532e-4	9.11333618276978e-7	0	0.7415730337078652	0.21348314606741572	0.03370786516853932	0.01123595505617977
gcta	0	5	-0.02073161965581812	0.06771520400095798	0.8830386207583114	0.00822271594767644	9.933237706934858e-5	0	0	0.6292134831460674	0.0898876404494382	0.0449438202247191	0.0449438202247191
gcta-labs	0	5	-0.00244180433377523	0.24806314950038588	0.9884178479206216	0.0095286177489643	7.654972177821359e-5	9.113062116454e-7	0	0.8426966292134831	0.4044943820224719	0.10112359550561796	0.02247191011235955
pca-plink-pure	20	6	0.01091230979197633	0.11701660814308328	1.06216745772967	0.0131541894462099	1.868233917467805e-4	2.7340008548309337e-6	0	0.7640449438202247	0.21348314606741572	0.0449438202247191	0.03370786516853932
gcta	0	6	-0.01405925097379289	0.08089617950754992	0.9179130568837434	0.00877041098087532	9.933237706934858e-5	0	0	0.7415730337078652	0.20224719101123595	0.02247191011235955	0.01123595505617977
gcta-labs	0	6	-0.0024582603956942602	0.2948408171464219	0.9860327922665272	0.00943293059674153	1.0115498949263938e-4	9.113062116454e-7	0	0.8202247191011236	0.4044943820224719	0.11235955056179776	0.05617977528089887
