method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.00510483972816583	0.07418089694322909	1.0287542458742938	0.0114281235731933	1.330547082684388e-4	0	0	0.449438202247191	0.14606741573033707	0.0449438202247191	0.03370786516853932
gcta	0	1	-3.4425227281951353e-4	0.08475850074620808	0.9988900476553876	0.00999702914175003	8.930800874124919e-5	0	0	0.4606741573033708	0.14606741573033707	0.06741573033707865	0.02247191011235955
pca-plink-pure	20	2	0.00646003634950893	0.02717866896537019	1.0383059145618998	0.01173888833702575	1.3578870912326973e-4	9.11333618276978e-7	0	0.449438202247191	0.07865168539325842	0.01123595505617977	0.01123595505617977
gcta	0	2	3.3356363541127854e-4	0.02183842801447273	1.0008027087339946	0.00991865680754853	8.201755904808598e-5	0	0	0.47191011235955055	0.07865168539325842	0.01123595505617977	0
pca-plink-pure	20	3	0.00819364582766944	0.04688214664198029	1.0485650317444517	0.01246157589631939	1.9684806154782728e-4	9.11333618276978e-7	0	0.4943820224719101	0.06741573033707865	0.03370786516853932	0.01123595505617977
gcta	0	3	2.2523691929575253e-4	0.04590345783125305	1.0003032941488834	0.00997151256782396	9.842107085770318e-5	9.113062116454e-7	0	0.5168539325842697	0.10112359550561796	0.02247191011235955	0.01123595505617977
pca-plink-pure	20	4	0.00386646101730652	0.03399218378396083	1.0233252082335431	0.01103716145095248	1.4763604616087044e-4	2.7340008548309337e-6	0	0.4831460674157303	0.11235955056179776	0.01123595505617977	0.01123595505617977
gcta	0	4	-1.9918596734789132e-4	0.02856428004072483	0.9985218162429712	0.00998244824236371	1.0297760191593018e-4	1.8226124232907995e-6	0	0.47191011235955055	0.11235955056179776	0	0
pca-plink-pure	20	5	0.00718093676934295	0.02225470425912077	1.0414313560795625	0.01205876643704097	1.8044405641884164e-4	4.5566680913848896e-6	0	0.4943820224719101	0.0898876404494382	0.01123595505617977	0
gcta	0	5	3.073094416349438e-4	0.02963523608132803	1.0002986275782555	0.00994599599389789	9.659845843441238e-5	2.7339186349361995e-6	0	0.4943820224719101	0.11235955056179776	0.01123595505617977	0
pca-plink-pure	20	6	0.00736241473917237	0.02923442981517706	1.0423183969936616	0.01212164845670208	1.813553900371186e-4	1.822667236553956e-6	0	0.5280898876404494	0.06741573033707865	0.01123595505617977	0.01123595505617977
gcta	0	6	-2.110002099569159e-4	0.02729348642546408	0.999542852214358	0.00985486537273335	1.0115498949263938e-4	9.113062116454e-7	0	0.5730337078651685	0.05617977528089887	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	7	0.00358974183987785	0.03362382178560026	1.0202303170257947	0.01107999413101149	9.751269715563664e-5	9.11333618276978e-7	0	0.5280898876404494	0.12359550561797752	0.01123595505617977	0.01123595505617977
gcta	0	7	-3.531755027898811e-4	0.0389136750956815	0.9985078347172928	0.01004715098339053	7.928364041314979e-5	2.7339186349361995e-6	0	0.5168539325842697	0.11235955056179776	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	8	0.00253662196353843	0.01220611699364821	1.016780963496455	0.0103472819019168	9.386736268252872e-5	9.11333618276978e-7	9.11333618276978e-7	0.4044943820224719	0.07865168539325842	0	0
gcta	0	8	2.825977237773762e-4	0.01579422507898685	1.0028115319957565	0.00970358854160021	8.019494662479518e-5	9.113062116454e-7	9.113062116454e-7	0.4044943820224719	0.05617977528089887	0	0
pca-plink-pure	20	9	0.00450713662933939	0.03246371345479849	1.0252647866699132	0.01117841816178541	1.1938470399428413e-4	1.822667236553956e-6	0	0.6067415730337079	0.10112359550561796	0.01123595505617977	0.01123595505617977
gcta	0	9	3.778059275158476e-4	0.03630328672939549	1.0017273375739366	0.00995693166843763	7.928364041314979e-5	1.8226124232907995e-6	0	0.5955056179775281	0.10112359550561796	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	10	0.00369855044397172	0.01306258355684129	1.0214143801043258	0.01092780141675924	1.284980401770539e-4	9.11333618276978e-7	0	0.5393258426966292	0.05617977528089887	0	0
gcta	0	10	1.7537002020489727e-4	0.01877392509827004	1.0011108493055276	0.00998518216099864	9.568715222276698e-5	1.8226124232907995e-6	0	0.5280898876404494	0.06741573033707865	0	0
pca-plink-pure	20	11	0.00563143597419673	0.01445991286346096	1.0320900706902345	0.01161221296408525	1.5948338319847114e-4	4.5566680913848896e-6	0	0.449438202247191	0.05617977528089887	0	0
gcta	0	11	-1.9033239367797816e-4	0.02079083077651475	1.0001399736005232	0.00986306712863816	1.0480021433922096e-4	1.8226124232907995e-6	0	0.5280898876404494	0.0898876404494382	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	12	0.00459667998731308	0.04361664322016725	1.0266457341315154	0.01136615288715046	1.4763604616087044e-4	1.822667236553956e-6	0	0.5617977528089888	0.12359550561797752	0.01123595505617977	0.01123595505617977
gcta	0	12	-3.980490154835539e-4	0.06220503147194551	0.9969753908910712	0.0100425944523323	1.0206629570428478e-4	2.7339186349361995e-6	0	0.5955056179775281	0.14606741573033707	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	13	0.0022501541301373	0.03826066355146936	1.0153059574587704	0.01054230729622808	1.3123204103188482e-4	0	0	0.4382022471910113	0.06741573033707865	0.02247191011235955	0.02247191011235955
gcta	0	13	4.416738675405212e-4	0.04532775792335673	1.0031435035396954	0.00991136635785536	1.0206629570428478e-4	0	0	0.4382022471910113	0.0898876404494382	0.03370786516853932	0.03370786516853932
pca-plink-pure	20	14	0.00868260842359215	0.03883239875795437	1.047693382072963	0.01282884334448502	2.0596139773059705e-4	3.645334473107912e-6	0	0.449438202247191	0.0449438202247191	0.0449438202247191	0.01123595505617977
gcta	0	14	2.1031402328774927e-4	0.04460907294905154	1.0012182478460818	0.00997971432372877	1.1117935782073878e-4	2.7339186349361995e-6	0	0.4606741573033708	0.05617977528089887	0.03370786516853932	0.03370786516853932
pca-plink-pure	20	15	0.00627437059306024	0.00712323035806395	1.0353165865670584	0.01182090836267068	1.613060504350251e-4	3.645334473107912e-6	0	0.4044943820224719	0.0449438202247191	0	0
gcta	0	15	-2.946668209603759e-4	0.00798678968914411	0.99892734241778	0.01005079620823711	1.0662282676251176e-4	3.645224846581599e-6	0	0.4157303370786517	0.03370786516853932	0	0
pca-plink-pure	20	16	0.00729717739065905	0.01813080538775752	1.040278314297969	0.01232123051910474	1.603947168167481e-4	3.645334473107912e-6	0	0.4943820224719101	0.0898876404494382	0	0
gcta	0	16	-2.3638069400388895e-4	0.03518878098510919	0.9991744457963002	0.00994872991253283	8.566278389466758e-5	1.8226124232907995e-6	0	0.5056179775280899	0.10112359550561796	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	17	0.00525622585223894	0.06206119881071016	1.0284184802275451	0.01153748360738654	1.3578870912326973e-4	0	0	0.5168539325842697	0.15730337078651685	0.02247191011235955	0.02247191011235955
gcta	0	17	-2.8145856119035406e-4	0.08126023357532923	0.9997200955520702	0.01003621530885078	8.201755904808598e-5	0	0	0.5393258426966292	0.1797752808988764	0.03370786516853932	0.03370786516853932
pca-plink-pure	20	18	0.0063519683974552	0.02001838153979268	1.0360441720444926	0.01176713967919233	1.7588738832745676e-4	2.7340008548309337e-6	0	0.449438202247191	0.06741573033707865	0.01123595505617977	0.01123595505617977
gcta	0	18	-2.8486695089971167e-4	0.02097297155290447	1.0001399736005232	0.00987673672181284	1.0844543918580258e-4	0	0	0.5168539325842697	0.07865168539325842	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	19	0.00731251870513897	0.06109609333900073	1.0412150890550675	0.01221278181852978	1.8044405641884164e-4	2.7340008548309337e-6	0	0.47191011235955055	0.12359550561797752	0.03370786516853932	0.02247191011235955
gcta	0	19	-2.1212472619209832e-4	0.07551242498543162	0.9978601800994432	0.00999064999826851	1.0480021433922096e-4	1.8226124232907995e-6	0	0.47191011235955055	0.1348314606741573	0.03370786516853932	0.02247191011235955
pca-plink-pure	20	20	0.0051286695649445	0.06081761764365185	1.0296976776280016	0.01135795088458597	1.2940937379533088e-4	9.11333618276978e-7	0	0.6067415730337079	0.1348314606741573	0.03370786516853932	0.03370786516853932
gcta	0	20	4.016691172647229e-4	0.07176518940895661	1.0029891969552738	0.00991683419512524	9.295323358783078e-5	0	0	0.6179775280898876	0.16853932584269662	0.03370786516853932	0.03370786516853932
pca-plink-pure	20	21	0.0037363606426856	0.03464103625722992	1.020585430366096	0.01079019004039942	1.24852705703946e-4	1.822667236553956e-6	0	0.4831460674157303	0.10112359550561796	0.02247191011235955	0
gcta	0	21	2.2190484937925663e-4	0.03680924722885678	1.001288294889698	0.00986488974106145	9.933237706934858e-5	2.7339186349361995e-6	0	0.5168539325842697	0.0898876404494382	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	22	0.0015033992952378	0.03101146183859413	1.008081066455561	0.01038555791388444	8.110869202665104e-5	9.11333618276978e-7	0	0.449438202247191	0.10112359550561796	0.01123595505617977	0
gcta	0	22	-2.7021503279370555e-4	0.03859341590482598	0.9997200955520702	0.00998335954857535	7.381580314327739e-5	9.113062116454e-7	0	0.449438202247191	0.11235955056179776	0.02247191011235955	0
pca-plink-pure	20	23	0.00465309400203275	0.01352441744046571	1.027966157285197	0.01096607742872687	1.5037004701570138e-4	9.11333618276978e-7	0	0.4831460674157303	0.06741573033707865	0.01123595505617977	0
gcta	0	23	4.649772628800108e-4	0.01487362263401826	1.0033165345085575	0.00982114704290247	1.038889081275756e-4	9.113062116454e-7	0	0.4943820224719101	0.07865168539325842	0	0
pca-plink-pure	20	24	0.0066021649225957	0.02686401240908008	1.0371626100779336	0.01196581040797672	1.603947168167481e-4	1.822667236553956e-6	0	0.5056179775280899	0.0898876404494382	0.02247191011235955	0
gcta	0	24	6.665906356529733e-4	0.03898549945181332	1.0033773343326542	0.00996331081191915	8.110625283644058e-5	1.8226124232907995e-6	0	0.5168539325842697	0.10112359550561796	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	25	0.00284681083259969	0.01432277337118621	1.016374885687048	0.01054504129708291	1.2576403932222297e-4	9.11333618276978e-7	0	0.5168539325842697	0.0898876404494382	0	0
gcta	0	25	4.933625895662592e-4	0.0169949679728548	1.0035270068692097	0.00994326207526295	1.1938111372554736e-4	9.113062116454e-7	0	0.5280898876404494	0.0898876404494382	0	0
pca-plink-pure	20	26	0.00306179501488554	0.02019302867667249	1.0176407286972349	0.01065895799936753	1.202960376125611e-4	1.822667236553956e-6	0	0.5393258426966292	0.1348314606741573	0	0
gcta	0	26	-2.1203587685663015e-4	0.02668517108568505	0.9992397258084428	0.00988767239635258	1.0115498949263938e-4	0	0	0.5280898876404494	0.14606741573033707	0	0
pca-plink-pure	20	27	0.00519900800567846	0.03028248245565722	1.0277995487983973	0.01160856762961214	1.4672471254259346e-4	2.7340008548309337e-6	0	0.550561797752809	0.10112359550561796	0.01123595505617977	0
gcta	0	27	-2.565640891900357e-4	0.06249804494027861	0.9983773473419676	0.01013372507349684	9.842107085770318e-5	0	0	0.5730337078651685	0.11235955056179776	0.03370786516853932	0.02247191011235955
pca-plink-pure	20	28	0.0054456833334545	0.040501428903185	1.0331313065156984	0.011295980198543141	1.275867065587769e-4	1.822667236553956e-6	0	0.4157303370786517	0.12359550561797752	0	0
gcta	0	28	3.776099244855012e-4	0.05053298555360391	1.0029377652681186	0.00984939753546348	9.568715222276698e-5	1.8226124232907995e-6	0	0.449438202247191	0.15730337078651685	0	0
pca-plink-pure	20	29	0.00800488504563194	0.02080912864272206	1.0475678699854318	0.0126356406174103	2.0596139773059705e-4	2.7340008548309337e-6	0	0.5280898876404494	0.05617977528089887	0.01123595505617977	0.01123595505617977
gcta	0	29	1.963244548091603e-4	0.03206381958236334	1.0007186823756695	0.01009636151881938	1.038889081275756e-4	9.113062116454e-7	0	0.5168539325842697	0.0898876404494382	0.01123595505617977	0.01123595505617977
pca-plink-pure	20	30	0.00353999017556437	0.03906624066416682	1.021949906705559	0.01063799732614716	1.075373669566834e-4	1.822667236553956e-6	0	0.4943820224719101	0.12359550561797752	0	0
gcta	0	30	1.9751769493492945e-4	0.05051803830231449	1.001115518632952	0.00982296965532576	9.750976464605778e-5	1.8226124232907995e-6	0	0.550561797752809	0.1348314606741573	0	0
pca-plink-pure	20	31	0.00346652725155356	0.04516412217374729	1.0214617635476857	0.01096607742872687	1.3396604188671576e-4	2.7340008548309337e-6	0	0.5056179775280899	0.0898876404494382	0.02247191011235955	0.02247191011235955
gcta	0	31	3.164596091862994e-4	0.05284517091434392	1.000798040468298	0.0100225457156761	1.0206629570428478e-4	1.8226124232907995e-6	0	0.5056179775280899	0.12359550561797752	0.03370786516853932	0.02247191011235955
pca-plink-pure	20	32	0.00625035522195248	0.00893139343628503	1.0362117614372173	0.01178354368432132	1.5219271425225532e-4	2.7340008548309337e-6	0	0.4044943820224719	0.02247191011235955	0	0
gcta	0	32	2.5298646903230114e-4	0.01030822498741453	1.0010034591488643	0.00986944627211968	9.20419273761854e-5	0	0	0.4157303370786517	0.05617977528089887	0	0
pca-plink-pure	20	33	0.00595944731684746	0.01815206586975079	1.034673082622371	0.0117525583412999	1.777100555640107e-4	3.645334473107912e-6	0	0.47191011235955055	0.06741573033707865	0	0
gcta	0	33	3.905122965491677e-4	0.02117072991853566	1.0008353870375233	0.0099942952231151	1.1391327645567498e-4	2.7339186349361995e-6	0	0.5056179775280899	0.0898876404494382	0	0
pca-plink-pure	20	34	0.00271626440506146	0.08875612985690724	1.0175792992696335	0.01059880998056125	1.1118270142979132e-4	9.11333618276978e-7	0	0.5393258426966292	0.15730337078651685	0.0449438202247191	0.03370786516853932
gcta	0	34	4.74968218993173e-4	0.08793911073451305	1.0031294749541166	0.00994599599389789	9.842107085770318e-5	9.113062116454e-7	0	0.550561797752809	0.19101123595505615	0.0449438202247191	0.0449438202247191
pca-plink-pure	20	35	0.00349313976696634	0.01185502837036254	1.0222343406863756	0.01057420397286777	1.284980401770539e-4	4.5566680913848896e-6	9.11333618276978e-7	0.5617977528089888	0.05617977528089887	0	0
gcta	0	35	3.445280023709411e-4	0.01296702519988286	1.0004526327721697	0.00966531368071111	1.0206629570428478e-4	2.7339186349361995e-6	9.113062116454e-7	0.5730337078651685	0.0449438202247191	0	0
pca-plink-pure	20	36	0.00671082533125122	0.01656814221860065	1.039661343218591	0.0119029283883156	1.5948338319847114e-4	4.5566680913848896e-6	0	0.4831460674157303	0.07865168539325842	0	0
gcta	0	36	4.13189838884356e-4	0.021211586406424	1.0031435035396954	0.01002710224673433	9.659845843441238e-5	1.8226124232907995e-6	0	0.4831460674157303	0.07865168539325842	0.01123595505617977	0
pca-plink-pure	20	37	0.00743520441582454	0.02843733255789296	1.044241025572544	0.01176987368004717	1.4763604616087044e-4	4.5566680913848896e-6	0	0.550561797752809	0.12359550561797752	0	0
