method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	20	1	0.01392018360728459	0.03793804493150737	1.0746059701600528	0.0163470030798173	4.6028639840020857e-4	1.2760415005154295e-5	9.114582146538784e-7	0.5230125523012552	0.0794979079497908	0.00418410041841004	0
gcta	0	1	2.2641901066395496e-4	0.09770150897406878	1.0006253257759354	0.00992639284854936	9.205451085331798e-5	9.114308005279008e-7	0	0.602510460251046	0.16317991631799164	0.01255230125523012	0.00418410041841004
pca-plink-pure	20	2	0.01098509071094567	0.0639320556672747	1.0612362794692036	0.01407747212532915	2.825520465427023e-4	5.46874928792327e-6	9.114582146538784e-7	0.5146443514644351	0.09623430962343096	0.01255230125523012	0.00418410041841004
gcta	0	2	-8.443972920450025e-4	0.099611916395591	0.9947612643930946	0.00988720132412666	9.478880325490168e-5	3.6457232021116023e-6	0	0.5899581589958159	0.1297071129707113	0.02510460251046025	0.01673640167364016
pca-plink-pure	20	3	0.01174628975311448	0.04076811602866783	1.06443455369942	0.01457877414338878	2.9713537797716435e-4	6.380207502577148e-6	0	0.5146443514644351	0.06276150627615062	0.01673640167364016	0.00418410041841004
gcta	0	3	-6.241915772656013e-4	0.09773896678839358	0.9960725629947096	0.00996831866537365	1.0025738805806908e-4	0	0	0.5523012552301255	0.13389121338912133	0.02092050209205021	0.01673640167364016
pca-plink-pure	20	4	0.01220463303130418	0.04472903730381095	1.0663921645405274	0.01468450329628863	3.4544266335381985e-4	7.291665717231027e-6	0	0.5188284518828452	0.06276150627615062	0.00836820083682008	0.00836820083682008
gcta	0	4	-2.755870033047079e-4	0.0926939678627842	0.99901125933556	0.0098425412149008	9.296594165384588e-5	0	0	0.5564853556485355	0.14225941422594143	0.02510460251046025	0.02510460251046025
pca-plink-pure	20	5	0.01006975413392299	0.04384694237929607	1.0579454509059645	0.01344947741543262	2.488280926005088e-4	8.203123931884905e-6	0	0.4518828451882846	0.09623430962343096	0.00418410041841004	0
gcta	0	5	2.9819882040927546e-4	0.0927881247444894	1.0030499823342232	0.00993641858735517	9.661166485595748e-5	0	0	0.4853556485355648	0.13389121338912133	0.02092050209205021	0.02092050209205021
