method	pc	rep	rmsd	auc	lambda
pca-plink-pure	20	1	0.00452050303599629	0.0854827977506394	1.025492869874835
gcta	0	1	3.5582647052829277e-4	0.09863764218565337	1.0001633039196185
pca-plink-pure	20	2	0.00531552309674936	0.09939936471255596	1.0305916643622284
gcta	0	2	2.7034624417556294e-4	0.09989832727342424	1.0019328950516246
pca-plink-pure	20	3	0.00398716467065459	0.05457393628969574	1.0233679116881371
gcta	0	3	1.989112375321518e-4	0.07061165616182133	1.0006579998649776
pca-plink-pure	20	4	0.00603833434240504	0.16400543553725902	1.0348835645408323
gcta	0	4	-2.0736102595443257e-4	0.1991578478429857	0.9994262572212604
pca-plink-pure	20	5	0.00757720949621033	0.0502397171776382	1.0433383401476262
gcta	0	5	-5.694933879538408e-4	0.07794046444107186	0.996724028580718
pca-plink-pure	20	6	0.00846539020538714	0.06478731874401476	1.0500850581418637
gcta	0	6	7.618441762726566e-4	0.0764579084708671	1.0060364403239073
pca-plink-pure	20	7	0.00494891010906816	0.05018984551928773	1.02935453807895
gcta	0	7	2.9088613029566404e-4	0.06189037133464813	1.0005226408355177
pca-plink-pure	20	8	0.00728862493092273	0.08597853770277256	1.0431482478187084
gcta	0	8	4.341537023545566e-4	0.10293800236191104	1.0033165345085575
pca-plink-pure	20	9	0.00974090971408605	0.03878662159420208	1.052638200936254
gcta	0	9	3.8854290935785813e-4	0.08063715780023177	1.0006113228325582
pca-plink-pure	20	10	0.0057250573619998	0.05829401994452864	1.0305964338189777
gcta	0	10	-3.717769752807985e-4	0.12821695538237998	0.998163002142494
pca-plink-pure	20	11	0.00872679814234451	0.05852046722715096	1.0498166999862095
gcta	0	11	-5.409346355921263e-4	0.07144528229955546	0.9972454239450248
pca-plink-pure	20	12	0.00730459109032399	0.06619899366861601	1.0421885513592306
gcta	0	12	4.8085719876885463e-4	0.08418975456663837	1.001699309387315
pca-plink-pure	20	13	0.00579154705755381	0.09280166324023614	1.03280404606705
gcta	0	13	2.380517501969081e-4	0.1028621600459264	1.0018394560287296
