method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	0	1	0.3188494430222628	0.01378337992365732	7.478668036972557	0.3150287664624092	0.09070706452472332	0.02387364358389078	0.00590900581089741	0.104	0.02	0.012	0.012
pca-plink-pure	1	1	0.13236460650722484	0.01561941949392409	2.148383656885028	0.09321197894539772	0.01420411587231867	0.00219078753141268	3.1772719744810156e-4	0.204	0.032	0.008	0.008
pca-plink-pure	2	1	0.06196199675033714	0.04496596111436778	1.424458503947064	0.03234066836121171	0.00153733159558458	1.107094767312082e-4	1.0800924559142262e-5	0.336	0.076	0.02	0.012
pca-plink-pure	3	1	0.05466641427129663	0.05246725507494899	1.3648448007661245	0.02850544006566962	0.00118090108513288	6.390547030825838e-5	5.400462279571131e-6	0.356	0.076	0.016	0.016
pca-plink-pure	4	1	0.02219175323330611	0.11315325543007244	1.1349929097785978	0.01568564269101435	2.8712457786386514e-4	4.500385232975943e-6	0	0.436	0.16	0.04	0.04
pca-plink-pure	5	1	0.01100658613272624	0.12231111007876304	1.0630894817504175	0.01269738689631832	2.0071718139072703e-4	3.6003081863807543e-6	0	0.448	0.172	0.04	0.036
pca-plink-pure	6	1	0.01082683598992752	0.12432396592222582	1.063726463792216	0.0126442823505692	1.9351656501796552e-4	3.6003081863807543e-6	0	0.456	0.168	0.048	0.028
pca-plink-pure	7	1	0.0108988658546028	0.12451867808764427	1.0635482755486123	0.01267938535538642	1.9981710434413183e-4	3.6003081863807543e-6	0	0.456	0.168	0.044	0.028
pca-plink-pure	8	1	0.01059434687994169	0.1233228514902175	1.0613435047472233	0.01257857672616776	1.9261648797137032e-4	2.7002311397855654e-6	0	0.452	0.16	0.044	0.028
pca-plink-pure	9	1	0.01008538338563727	0.12222696598954656	1.05973596859428	0.01250837071653333	1.8271564045882328e-4	1.8001540931903772e-6	0	0.444	0.164	0.044	0.032
pca-plink-pure	10	1	0.01011632732673291	0.12330315657836569	1.0596726783814272	0.01249396948378781	1.8271564045882328e-4	9.000770465951886e-7	0	0.448	0.164	0.056	0.032
pca-plink-pure	11	1	0.00999277299077812	0.12191633240527934	1.0583028886452737	0.01243456439871253	1.782152552258473e-4	1.8001540931903772e-6	0	0.452	0.164	0.048	0.032
